"","EventResidentCounty","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","positivity","date"
"Adair","Adair","982","30","19","0","0.0305498981670061",2020-08-10
"Adams","Adams","429","16","10","0","0.0372960372960373",2020-08-10
"Allamakee","Allamakee","2080","155","137","4","0.0745192307692308",2020-08-10
"Appanoose","Appanoose","1514","49","36","3","0.0323645970937913",2020-08-10
"Audubon","Audubon","722","28","17","1","0.038781163434903",2020-08-10
"Benton","Benton","3500","157","101","1","0.0448571428571429",2020-08-10
"Black Hawk","Black Hawk","24785","3128","2503","66","0.12620536614888",2020-08-10
"Boone","Boone","4094","259","174","3","0.0632633121641426",2020-08-10
"Bremer","Bremer","3591","226","113","7","0.0629351155666945",2020-08-10
"Buchanan","Buchanan","2972","127","64","1","0.0427321668909825",2020-08-10
"Buena Vista","Buena Vista","7927","1794","1732","12","0.226315125520373",2020-08-10
"Butler","Butler","2278","121","104","2","0.053116769095698",2020-08-10
"Calhoun","Calhoun","1574","83","73","2","0.0527318932655654",2020-08-10
"Carroll","Carroll","3400","192","163","1","0.0564705882352941",2020-08-10
"Cass","Cass","1653","74","43","1","0.044767090139141",2020-08-10
"Cedar","Cedar","2503","133","98","1","0.0531362365161806",2020-08-10
"Cerro Gordo","Cerro Gordo","8159","628","355","17","0.0769702169383503",2020-08-10
"Cherokee","Cherokee","1718","108","93","1","0.0628637951105937",2020-08-10
"Chickasaw","Chickasaw","1653","54","49","0","0.0326678765880218",2020-08-10
"Clarke","Clarke","1539","201","138","3","0.130604288499025",2020-08-10
"Clay","Clay","2598","190","151","1","0.0731331793687452",2020-08-10
"Clayton","Clayton","2258","104","83","3","0.0460584588131089",2020-08-10
"Clinton","Clinton","6046","401","151","3","0.0663248428713199",2020-08-10
"Crawford","Crawford","3673","728","681","3","0.198203103729921",2020-08-10
"Dallas","Dallas","17453","1888","1433","35","0.108176244771672",2020-08-10
"Davis","Davis","832","57","42","2","0.0685096153846154",2020-08-10
"Decatur","Decatur","615","23","16","0","0.0373983739837398",2020-08-10
"Delaware","Delaware","2436","114","87","1","0.0467980295566502",2020-08-10
"Des Moines","Des Moines","4538","180","102","2","0.0396650506831203",2020-08-10
"Dickinson","Dickinson","3941","381","304","4","0.0966759705658462",2020-08-10
"Dubuque","Dubuque","20778","1680","1028","31","0.0808547502165752",2020-08-10
"Emmet","Emmet","1570","192","121","4","0.122292993630573",2020-08-10
"Fayette","Fayette","2691","83","62","0","0.030843552582683",2020-08-10
"Floyd","Floyd","2664","155","96","2","0.0581831831831832",2020-08-10
"Franklin","Franklin","1800","241","185","10","0.133888888888889",2020-08-10
"Fremont","Fremont","712","42","17","0","0.0589887640449438",2020-08-10
"Greene","Greene","1254","42","36","0","0.0334928229665072",2020-08-10
"Grundy","Grundy","1855","79","50","1","0.0425876010781671",2020-08-10
"Guthrie","Guthrie","1788","132","97","5","0.0738255033557047",2020-08-10
"Hamilton","Hamilton","2612","246","235","1","0.0941807044410413",2020-08-10
"Hancock","Hancock","1842","122","102","2","0.0662323561346363",2020-08-10
"Hardin","Hardin","2634","184","102","0","0.0698557327258922",2020-08-10
"Harrison","Harrison","1628","109","82","1","0.066953316953317",2020-08-10
"Henry","Henry","2710","125","90","4","0.0461254612546125",2020-08-10
"Howard","Howard","1288","49","37","0","0.0380434782608696",2020-08-10
"Humboldt","Humboldt","1311","113","77","1","0.0861937452326468",2020-08-10
"Ida","Ida","904","29","24","0","0.0320796460176991",2020-08-10
"Iowa","Iowa","2713","97","63","1","0.0357537781054184",2020-08-10
"Jackson","Jackson","2707","156","75","1","0.0576283708902844",2020-08-10
"Jasper","Jasper","4941","478","372","26","0.0967415502934629",2020-08-10
"Jefferson","Jefferson","1966","84","64","0","0.0427263479145473",2020-08-10
"Johnson","Johnson","25399","2096","1536","19","0.0825229339737785",2020-08-10
"Jones","Jones","2597","130","83","2","0.0500577589526377",2020-08-10
"Keokuk","Keokuk","1097","36","22","1","0.03281677301732",2020-08-10
"Kossuth","Kossuth","2059","91","51","0","0.0441962117532783",2020-08-10
"Lee","Lee","3116","115","54","3","0.0369062901155327",2020-08-10
"Linn","Linn","34750","2389","1827","88","0.0687482014388489",2020-08-10
"Louisa","Louisa","1850","378","353","14","0.204324324324324",2020-08-10
"Lucas","Lucas","860","69","32","4","0.0802325581395349",2020-08-10
"Lyon","Lyon","1088","114","99","2","0.104779411764706",2020-08-10
"Madison","Madison","2330","121","64","2","0.051931330472103",2020-08-10
"Mahaska","Mahaska","2112","139","111","17","0.0658143939393939",2020-08-10
"Marion","Marion","3541","173","137","0","0.0488562552951144",2020-08-10
"Marshall","Marshall","8491","1444","1092","26","0.170062419031916",2020-08-10
"Mills","Mills","2766","89","52","0","0.032176428054953",2020-08-10
"Mitchell","Mitchell","1915","78","67","0","0.0407310704960836",2020-08-10
"Monona","Monona","1176","91","79","0","0.0773809523809524",2020-08-10
"Monroe","Monroe","844","74","48","7","0.0876777251184834",2020-08-10
"Montgomery","Montgomery","1379","59","35","4","0.0427846265409717",2020-08-10
"Muscatine","Muscatine","6866","848","734","48","0.123507136615205",2020-08-10
"O'Brien","O'Brien","1960","139","101","2","0.0709183673469388",2020-08-10
"Osceola","Osceola","652","83","71","0","0.127300613496933",2020-08-10
"Page","Page","1955","94","70","0","0.0480818414322251",2020-08-10
"Palo Alto","Palo Alto","1470","85","55","0","0.0578231292517007",2020-08-10
"Pending Investigation","Pending Investigation","6017","6","1","0","0.000997174671763337",2020-08-10
"Plymouth","Plymouth","4111","462","354","9","0.112381415713938",2020-08-10
"Pocahontas","Pocahontas","1199","115","106","2","0.0959132610508757",2020-08-10
"Polk","Polk","88702","10324","7626","207","0.116389709363938",2020-08-10
"Pottawattamie","Pottawattamie","15412","1325","947","26","0.0859719698935894",2020-08-10
"Poweshiek","Poweshiek","2123","159","110","8","0.0748940178991993",2020-08-10
