"","date","County","Total.Tests","Total.Positive.Tests","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Individuals.Tested","Individuals.Positive","Active","date"
"Adair",2021-04-02,"Adair",11755,957,786,32,22,10,3564,837,19,2021-04-02
"Adams",2021-04-02,"Adams",5176,332,316,4,4,0,1562,320,0,2021-04-02
"Allamakee",2021-04-02,"Allamakee",20037,1536,1393,49,39,10,6122,1485,43,2021-04-02
"Appanoose",2021-04-02,"Appanoose",16795,1425,1187,47,43,4,5919,1254,20,2021-04-02
"Audubon",2021-04-02,"Audubon",11289,505,463,9,8,1,2589,488,16,2021-04-02
"Benton",2021-04-02,"Benton",35060,2640,2356,54,44,10,12602,2477,67,2021-04-02
"Black Hawk",2021-04-02,"Black Hawk",201478,16708,14669,301,279,22,69247,15297,327,2021-04-02
"Boone",2021-04-02,"Boone",41696,2708,2413,31,29,2,13625,2521,77,2021-04-02
"Bremer",2021-04-02,"Bremer",36767,2899,2643,58,49,9,12120,2763,62,2021-04-02
"Buchanan",2021-04-02,"Buchanan",28878,1944,1745,31,26,5,9340,1843,67,2021-04-02
"Buena Vista",2021-04-02,"Buena Vista",42683,4820,4086,39,35,4,14607,4188,63,2021-04-02
"Butler",2021-04-02,"Butler",27996,1699,1555,33,29,4,6952,1612,24,2021-04-02
"Calhoun",2021-04-02,"Calhoun",17397,1376,1284,11,11,0,5244,1325,30,2021-04-02
"Carroll",2021-04-02,"Carroll",34142,2936,2625,49,42,7,11211,2735,61,2021-04-02
"Cass",2021-04-02,"Cass",19683,1401,1243,54,48,6,6262,1331,34,2021-04-02
"Cedar",2021-04-02,"Cedar",28730,1881,1704,23,21,2,9017,1791,64,2021-04-02
"Cerro Gordo",2021-04-02,"Cerro Gordo",71878,5496,4924,85,71,14,24473,5119,110,2021-04-02
"Cherokee",2021-04-02,"Cherokee",19770,1649,1418,37,29,8,5950,1545,90,2021-04-02
"Chickasaw",2021-04-02,"Chickasaw",16465,1279,1191,15,13,2,5360,1212,6,2021-04-02
"Clarke",2021-04-02,"Clarke",12612,1037,929,23,22,1,4820,975,23,2021-04-02
"Clay",2021-04-02,"Clay",27881,2141,1820,25,20,5,8252,2029,184,2021-04-02
"Clayton",2021-04-02,"Clayton",23342,1708,1556,55,46,9,6961,1627,16,2021-04-02
"Clinton",2021-04-02,"Clinton",58458,5685,4947,87,76,11,22254,5210,176,2021-04-02
"Crawford",2021-04-02,"Crawford",26087,2830,2511,37,32,5,8695,2594,46,2021-04-02
"Dallas",2021-04-02,"Dallas",120158,11987,10130,95,83,12,53351,10692,467,2021-04-02
"Davis",2021-04-02,"Davis",10359,857,741,24,23,1,3401,787,22,2021-04-02
"Decatur",2021-04-02,"Decatur",9955,597,569,9,9,0,3506,583,5,2021-04-02
"Delaware",2021-04-02,"Delaware",25725,2003,1820,39,35,4,7909,1958,99,2021-04-02
"Des Moines",2021-04-02,"Des Moines",52803,4691,4231,64,53,11,20879,4353,58,2021-04-02
"Dickinson",2021-04-02,"Dickinson",24581,2467,2002,41,35,6,10224,2285,242,2021-04-02
"Dubuque",2021-04-02,"Dubuque",176605,13983,12242,201,187,14,56206,12757,314,2021-04-02
