"","EventResidentCounty","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Active","positivity","date"
"Adair","Adair","1344","51","34","1","16","0.0379464285714286",2020-09-08
"Adams","Adams","536","23","17","0","6","0.042910447761194",2020-09-08
"Allamakee","Allamakee","2516","194","153","5","36","0.0771065182829889",2020-09-08
"Appanoose","Appanoose","2133","97","79","3","15","0.0454758556024379",2020-09-08
"Audubon","Audubon","914","41","28","1","12","0.0448577680525164",2020-09-08
"Benton","Benton","4342","223","161","1","61","0.0513588208198987",2020-09-08
"Black Hawk","Black Hawk","30708","4037","3112","79","846","0.131464113586036",2020-09-08
"Boone","Boone","5169","384","267","5","112","0.0742890307603018",2020-09-08
"Bremer","Bremer","4507","387","226","7","154","0.0858664299977812",2020-09-08
"Buchanan","Buchanan","3735","190","133","1","56","0.0508701472556894",2020-09-08
"Buena Vista","Buena Vista","8569","1860","1784","12","64","0.217061500758548",2020-09-08
"Butler","Butler","2871","230","196","2","32","0.0801114594218043",2020-09-08
"Calhoun","Calhoun","2089","139","94","2","43","0.0665390138822403",2020-09-08
"Carroll","Carroll","4762","497","224","4","269","0.104367912641747",2020-09-08
"Cass","Cass","2156","118","107","2","9","0.0547309833024119",2020-09-08
"Cedar","Cedar","3121","180","132","1","47","0.0576738224927908",2020-09-08
"Cerro Gordo","Cerro Gordo","10085","891","627","20","244","0.08834903321765",2020-09-08
"Cherokee","Cherokee","2182","148","129","2","17","0.0678276810265811",2020-09-08
"Chickasaw","Chickasaw","2133","144","83","0","61","0.0675105485232067",2020-09-08
"Clarke","Clarke","1972","246","201","3","42","0.12474645030426",2020-09-08
"Clay","Clay","3196","244","200","3","41","0.0763454317897372",2020-09-08
"Clayton","Clayton","2853","193","163","3","27","0.0676480897301087",2020-09-08
"Clinton","Clinton","8373","941","430","14","497","0.112385047175445",2020-09-08
"Crawford","Crawford","4385","869","731","3","135","0.198175598631699",2020-09-08
"Dallas","Dallas","22339","2495","1902","38","555","0.111688079144098",2020-09-08
"Davis","Davis","1092","96","60","3","33","0.0879120879120879",2020-09-08
"Decatur","Decatur","1253","48","27","0","21","0.0383080606544294",2020-09-08
"Delaware","Delaware","3309","262","211","3","48","0.0791779993955878",2020-09-08
"Des Moines","Des Moines","7482","633","189","5","439","0.0846030473135525",2020-09-08
"Dickinson","Dickinson","4590","444","377","6","61","0.0967320261437909",2020-09-08
"Dubuque","Dubuque","25527","2208","1710","36","462","0.0864966506052415",2020-09-08
"Emmet","Emmet","1892","230","192","8","30","0.121564482029598",2020-09-08
"Fayette","Fayette","3454","160","92","1","67","0.0463231036479444",2020-09-08
"Floyd","Floyd","3391","243","190","3","50","0.0716602772043645",2020-09-08
"Franklin","Franklin","2271","310","258","17","35","0.136503742844562",2020-09-08
"Fremont","Fremont","912","63","42","0","21","0.0690789473684211",2020-09-08
"Greene","Greene","1582","67","42","0","25","0.0423514538558786",2020-09-08
"Grundy","Grundy","2359","147","81","1","65","0.0623145400593472",2020-09-08
"Guthrie","Guthrie","2264","182","139","5","38","0.0803886925795053",2020-09-08
"Hamilton","Hamilton","3284","297","244","2","51","0.0904384896467722",2020-09-08
"Hancock","Hancock","2276","164","142","2","20","0.0720562390158172",2020-09-08
"Hardin","Hardin","3189","250","185","1","64","0.0783944810285356",2020-09-08
"Harrison","Harrison","2140","157","137","2","18","0.0733644859813084",2020-09-08
"Henry","Henry","4252","404","135","4","265","0.0950141110065851",2020-09-08
"Howard","Howard","1696","153","71","3","79","0.0902122641509434",2020-09-08
"Humboldt","Humboldt","1901","156","99","2","55","0.0820620725933719",2020-09-08
"Ida","Ida","1225","54","31","0","23","0.0440816326530612",2020-09-08
"Iowa","Iowa","3263","129","97","1","31","0.0395341710082746",2020-09-08
"Jackson","Jackson","3346","240","159","2","79","0.0717274357441721",2020-09-08
"Jasper","Jasper","6550","640","462","30","148","0.0977099236641221",2020-09-08
"Jefferson","Jefferson","2470","124","88","1","35","0.0502024291497976",2020-09-08
"Johnson","Johnson","34670","4590","2118","26","2446","0.132391116238823",2020-09-08
"Jones","Jones","3274","195","140","2","53","0.0595601710445938",2020-09-08
"Keokuk","Keokuk","1380","77","37","1","39","0.0557971014492754",2020-09-08
"Kossuth","Kossuth","2736","136","95","0","41","0.0497076023391813",2020-09-08
"Lee","Lee","5289","500","124","6","370","0.094535829079221",2020-09-08
"Linn","Linn","43804","3255","2569","96","590","0.074308282348644",2020-09-08
"Louisa","Louisa","2199","400","363","14","23","0.181900864029104",2020-09-08
"Lucas","Lucas","1289","105","67","5","33","0.0814584949573313",2020-09-08
"Lyon","Lyon","1392","167","144","2","21","0.119971264367816",2020-09-08
"Madison","Madison","2990","172","133","2","37","0.0575250836120401",2020-09-08
"Mahaska","Mahaska","4034","259","168","18","73","0.0642042637580565",2020-09-08
"Marion","Marion","5856","599","270","2","327","0.10228825136612",2020-09-08
"Marshall","Marshall","9942","1720","1437","32","251","0.173003419835043",2020-09-08
"Mills","Mills","3259","138","94","1","43","0.0423442773857011",2020-09-08
"Mitchell","Mitchell","2399","143","79","0","64","0.0596081700708629",2020-09-08
"Monona","Monona","1473","112","92","1","19","0.0760353021045485",2020-09-08
"Monroe","Monroe","1170","122","67","8","47","0.104273504273504",2020-09-08
"Montgomery","Montgomery","1650","83","74","5","4","0.0503030303030303",2020-09-08
"Muscatine","Muscatine","8399","1003","814","52","137","0.119418978449815",2020-09-08
"O'Brien","O'Brien","2484","228","140","8","80","0.0917874396135266",2020-09-08
"Osceola","Osceola","785","101","86","0","15","0.128662420382166",2020-09-08
"Page","Page","2359","124","115","0","9","0.0525646460364561",2020-09-08
"Palo Alto","Palo Alto","1836","126","91","0","35","0.0686274509803922",2020-09-08
"Pending Investigation","Pending Investigation","963","5","0","0","5","0.00519210799584631",2020-09-08
"Plymouth","Plymouth","5545","850","462","18","370","0.153291253381425",2020-09-08
"Pocahontas","Pocahontas","1466","140","113","2","25","0.0954979536152797",2020-09-08
"Polk","Polk","115848","14113","10393","243","3477","0.121823423796699",2020-09-08
"Pottawattamie","Pottawattamie","18582","1722","1461","34","227","0.0926703261220536",2020-09-08
"Poweshiek","Poweshiek","3004","205","169","8","28","0.0682423435419441",2020-09-08
"Ringgold","Ringgold","965","34","27","2","5","0.0352331606217617",2020-09-08
"Sac","Sac","2149","126","88","0","38","0.0586319218241042",2020-09-08
"Scott","Scott","31961","2387","1781","23","583","0.0746847720659554",2020-09-08
"Shelby","Shelby","2041","224","211","1","12","0.109750122488976",2020-09-08
"Sioux","Sioux","5968","1001","650","3","348","0.167727882037533",2020-09-08
"Story","Story","26770","2941","1264","16","1661","0.109861785580874",2020-09-08
"Tama","Tama","3983","653","530","29","94","0.163946773788602",2020-09-08
"Taylor","Taylor","1073","114","102","1","11","0.106244175209692",2020-09-08
"Union","Union","2670","94","75","3","16","0.0352059925093633",2020-09-08
"Van Buren","Van Buren","1035","107","36","1","70","0.103381642512077",2020-09-08
"Wapello","Wapello","7295","1140","972","54","114","0.156271418779986",2020-09-08
"Warren","Warren","10867","855","576","5","274","0.0786785681420815",2020-09-08
"Washington","Washington","4011","368","306","11","51","0.0917476938419347",2020-09-08
"Wayne","Wayne","892","65","36","2","27","0.0728699551569507",2020-09-08
"Webster","Webster","10740","1080","663","11","406","0.100558659217877",2020-09-08
"Winnebago","Winnebago","2554","175","89","10","76","0.0685199686765857",2020-09-08
"Winneshiek","Winneshiek","3393","244","125","4","115","0.071912761567934",2020-09-08
"Woodbury","Woodbury","25869","4354","3709","57","588","0.168309559704666",2020-09-08
"Worth","Worth","1419","88","68","0","20","0.062015503875969",2020-09-08
"Wright","Wright","3925","527","466","1","60","0.134267515923567",2020-09-08
"Total","Totals","673617","70650","50362","1170","19118","0.104881557324117",2020-09-08
