"","date","Tested","Positive","Recovered","Deaths","Active","New.Pos","New.Test","New.Deaths","Frac.Pos"
"1","2020-07-31",3866,432,317,8,107,NA,NA,NA,NA
"2","2020-08-01",3900,439,321,8,110,7,34,0,0.205882352941176
