"","EventResidentCounty","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Active","positivity","date"
"Adair","Adair","1180","42","20","1","21","0.0355932203389831",2020-08-22
"Adams","Adams","457","20","17","0","3","0.0437636761487965",2020-08-22
"Allamakee","Allamakee","2254","165","141","4","20","0.0732031943212067",2020-08-22
"Appanoose","Appanoose","1765","64","53","3","8","0.0362606232294618",2020-08-22
"Audubon","Audubon","791","32","24","1","7","0.0404551201011378",2020-08-22
"Benton","Benton","3812","181","129","1","51","0.0474816369359916",2020-08-22
"Black Hawk","Black Hawk","27308","3491","2805","69","617","0.127837996191592",2020-08-22
"Boone","Boone","4555","310","218","3","89","0.0680570801317234",2020-08-22
"Bremer","Bremer","3977","260","161","7","92","0.0653759114910737",2020-08-22
"Buchanan","Buchanan","3295","164","89","1","74","0.0497723823975721",2020-08-22
"Buena Vista","Buena Vista","8198","1811","1764","12","35","0.220907538424006",2020-08-22
"Butler","Butler","2492","152","134","2","16","0.0609951845906902",2020-08-22
"Calhoun","Calhoun","1829","100","75","2","23","0.0546746856205577",2020-08-22
"Carroll","Carroll","3859","286","179","2","105","0.0741124643690075",2020-08-22
"Cass","Cass","1922","103","88","2","13","0.0535900104058273",2020-08-22
"Cedar","Cedar","2718","144","109","1","34","0.0529801324503311",2020-08-22
"Cerro Gordo","Cerro Gordo","9016","701","528","20","153","0.0777506654835847",2020-08-22
"Cherokee","Cherokee","1891","126","105","1","20","0.0666314119513485",2020-08-22
"Chickasaw","Chickasaw","1825","85","66","0","19","0.0465753424657534",2020-08-22
"Clarke","Clarke","1736","215","157","3","55","0.123847926267281",2020-08-22
"Clay","Clay","2881","229","166","2","61","0.0794862894828185",2020-08-22
"Clayton","Clayton","2538","149","103","3","43","0.0587076438140268",2020-08-22
"Clinton","Clinton","6976","628","246","5","377","0.0900229357798165",2020-08-22
"Crawford","Crawford","3951","776","696","3","77","0.196405973171349",2020-08-22
"Dallas","Dallas","19787","2076","1652","35","389","0.104917369990398",2020-08-22
"Davis","Davis","943","75","48","2","25","0.0795334040296925",2020-08-22
"Decatur","Decatur","1075","32","24","0","8","0.0297674418604651",2020-08-22
"Delaware","Delaware","2765","160","123","2","35","0.0578661844484629",2020-08-22
"Des Moines","Des Moines","5672","399","127","2","270","0.070345557122708",2020-08-22
"Dickinson","Dickinson","4202","399","351","5","43","0.0949547834364588",2020-08-22
"Dubuque","Dubuque","22927","1890","1344","35","511","0.0824355563309635",2020-08-22
"Emmet","Emmet","1691","211","160","7","44","0.124778237729154",2020-08-22
"Fayette","Fayette","3016","120","71","0","49","0.0397877984084881",2020-08-22
"Floyd","Floyd","3024","183","151","3","29","0.060515873015873",2020-08-22
"Franklin","Franklin","2042","274","228","16","30","0.134182174338883",2020-08-22
"Fremont","Fremont","806","52","25","0","27","0.0645161290322581",2020-08-22
"Greene","Greene","1390","45","38","0","7","0.0323741007194245",2020-08-22
"Grundy","Grundy","2060","109","64","1","44","0.0529126213592233",2020-08-22
"Guthrie","Guthrie","2003","156","120","5","31","0.0778831752371443",2020-08-22
"Hamilton","Hamilton","2965","244","228","2","14","0.0822934232715008",2020-08-22
"Hancock","Hancock","2002","130","117","2","11","0.0649350649350649",2020-08-22
