"","date","County","Total.Tests","Total.Positive.Tests","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Individuals.Tested","Individuals.Positive","Active","date"
"Adair",2021-03-10,"Adair",11121,933,725,30,22,8,3452,818,63,2021-03-10
"Adams",2021-03-10,"Adams",4803,327,312,4,4,0,1513,319,3,2021-03-10
"Allamakee",2021-03-10,"Allamakee",18709,1505,1319,48,38,10,5881,1453,86,2021-03-10
"Appanoose",2021-03-10,"Appanoose",15817,1396,1138,47,43,4,5746,1234,49,2021-03-10
"Audubon",2021-03-10,"Audubon",10614,494,437,9,8,1,2488,476,30,2021-03-10
"Benton",2021-03-10,"Benton",32575,2576,2208,54,44,10,12061,2419,157,2021-03-10
"Black Hawk",2021-03-10,"Black Hawk",190029,16382,14343,294,274,20,67091,14983,346,2021-03-10
"Boone",2021-03-10,"Boone",39182,2632,2322,30,28,2,13139,2452,100,2021-03-10
"Bremer",2021-03-10,"Bremer",33658,2846,2539,55,47,8,11655,2713,119,2021-03-10
"Buchanan",2021-03-10,"Buchanan",26675,1881,1675,29,25,4,8942,1786,82,2021-03-10
"Buena Vista",2021-03-10,"Buena Vista",40489,4766,3998,37,34,3,14245,4136,101,2021-03-10
"Butler",2021-03-10,"Butler",25972,1681,1524,32,28,4,6725,1593,37,2021-03-10
"Calhoun",2021-03-10,"Calhoun",16380,1349,1253,11,11,0,5059,1299,35,2021-03-10
"Carroll",2021-03-10,"Carroll",32215,2877,2578,48,41,7,10856,2672,46,2021-03-10
"Cass",2021-03-10,"Cass",18584,1370,1176,51,46,5,6039,1299,72,2021-03-10
"Cedar",2021-03-10,"Cedar",26834,1814,1595,23,21,2,8718,1735,117,2021-03-10
"Cerro Gordo",2021-03-10,"Cerro Gordo",68384,5390,4829,83,70,13,23647,5021,109,2021-03-10
"Cherokee",2021-03-10,"Cherokee",18235,1571,1387,36,29,7,5723,1466,43,2021-03-10
"Chickasaw",2021-03-10,"Chickasaw",15511,1263,1160,15,13,2,5178,1199,24,2021-03-10
"Clarke",2021-03-10,"Clarke",12012,1013,879,21,21,0,4664,954,54,2021-03-10
"Clay",2021-03-10,"Clay",25904,1974,1779,25,20,5,7894,1858,54,2021-03-10
"Clayton",2021-03-10,"Clayton",21760,1684,1532,54,46,8,6663,1603,17,2021-03-10
"Clinton",2021-03-10,"Clinton",54510,5475,4747,86,75,11,21304,5032,199,2021-03-10
"Crawford",2021-03-10,"Crawford",24273,2781,2408,35,31,4,8451,2542,99,2021-03-10
"Dallas",2021-03-10,"Dallas",112877,11530,9618,93,82,11,51314,10253,542,2021-03-10
"Davis",2021-03-10,"Davis",9589,835,718,23,22,1,3243,766,25,2021-03-10
"Decatur",2021-03-10,"Decatur",9080,588,529,9,9,0,3415,574,36,2021-03-10
"Delaware",2021-03-10,"Delaware",23849,1903,1788,40,35,5,7530,1865,37,2021-03-10
"Des Moines",2021-03-10,"Des Moines",49676,4619,4083,61,53,8,20200,4291,147,2021-03-10
"Dickinson",2021-03-10,"Dickinson",22730,2217,1910,40,34,6,9754,2047,97,2021-03-10
"Dubuque",2021-03-10,"Dubuque",164727,13653,11869,196,183,13,54428,12457,392,2021-03-10
"Emmet",2021-03-10,"Emmet",14587,1226,1089,40,38,2,4767,1153,24,2021-03-10
"Fayette",2021-03-10,"Fayette",30805,1870,1710,35,32,3,8782,1798,53,2021-03-10
"Floyd",2021-03-10,"Floyd",22525,1651,1411,41,31,10,7342,1487,35,2021-03-10
"Franklin",2021-03-10,"Franklin",17732,1196,1056,19,18,1,4980,1097,22,2021-03-10
"Fremont",2021-03-10,"Fremont",6513,597,538,9,7,2,2520,561,14,2021-03-10
"Greene",2021-03-10,"Greene",13234,781,710,10,10,0,3925,732,12,2021-03-10
"Grundy",2021-03-10,"Grundy",17127,1401,1247,31,26,5,5519,1325,47,2021-03-10
"Guthrie",2021-03-10,"Guthrie",15876,1181,1047,28,23,5,5345,1102,27,2021-03-10
"Hamilton",2021-03-10,"Hamilton",21240,1925,1655,42,41,1,7205,1739,42,2021-03-10
"Hancock",2021-03-10,"Hancock",18852,1480,1326,31,26,5,5711,1380,23,2021-03-10
"Hardin",2021-03-10,"Hardin",30199,1833,1609,39,33,6,7972,1705,57,2021-03-10
"Harrison",2021-03-10,"Harrison",18360,1801,1569,70,66,4,6151,1677,38,2021-03-10
"Henry",2021-03-10,"Henry",32361,2941,2714,37,36,1,10481,2800,49,2021-03-10
"Howard",2021-03-10,"Howard",14922,1039,933,22,18,4,4340,998,43,2021-03-10
"Humboldt",2021-03-10,"Humboldt",13806,1187,1083,25,22,3,4521,1141,33,2021-03-10
"Ida",2021-03-10,"Ida",10713,943,765,32,30,2,3132,828,31,2021-03-10
"Iowa",2021-03-10,"Iowa",26038,1470,1326,23,21,2,7730,1409,60,2021-03-10
"Jackson",2021-03-10,"Jackson",22734,2229,2012,39,36,3,8645,2106,55,2021-03-10
"Jasper",2021-03-10,"Jasper",44957,4226,3537,67,62,5,17267,3889,285,2021-03-10
"Jefferson",2021-03-10,"Jefferson",18105,1393,1240,34,28,6,7357,1285,11,2021-03-10
"Johnson",2021-03-10,"Johnson",185675,13972,12651,76,71,5,75609,13192,465,2021-03-10
"Jones",2021-03-10,"Jones",22803,2952,2770,55,51,4,9461,2854,29,2021-03-10
"Keokuk",2021-03-10,"Keokuk",13729,994,871,29,29,0,3978,923,23,2021-03-10
"Kossuth",2021-03-10,"Kossuth",22572,2098,1864,55,49,6,7493,1987,68,2021-03-10
"Lee",2021-03-10,"Lee",47870,3768,3411,53,40,13,15127,3546,82,2021-03-10
"Linn",2021-03-10,"Linn",255455,20788,18667,319,287,32,111040,19531,545,2021-03-10
"Louisa",2021-03-10,"Louisa",15330,1290,1153,45,38,7,5178,1227,29,2021-03-10
"Lucas",2021-03-10,"Lucas",8243,755,668,21,17,4,3622,724,35,2021-03-10
"Lyon",2021-03-10,"Lyon",13373,1464,1389,41,37,4,4382,1457,27,2021-03-10
"Madison",2021-03-10,"Madison",18205,1598,1366,18,14,4,7349,1459,75,2021-03-10
"Mahaska",2021-03-10,"Mahaska",27044,2269,2051,46,41,5,9945,2161,64,2021-03-10
