"","EventResidentCounty","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Active","positivity","date"
"Pending Investigation","Pending Investigation","4643","4","0","0","4","0.000861511953478355",2020-10-16
"Plymouth","Plymouth","7635","1485","1021","24","440","0.194499017681729",2020-10-16
"Pocahontas","Pocahontas","1953","198","148","2","48","0.101382488479263",2020-10-16
"Polk","Polk","145532","17618","15014","281","2323","0.121059285930242",2020-10-16
"Pottawattamie","Pottawattamie","24527","2812","2088","43","681","0.114649162147837",2020-10-16
"Poweshiek","Poweshiek","4420","405","297","11","97","0.0916289592760181",2020-10-16
"Ringgold","Ringgold","1338","80","57","2","21","0.0597907324364723",2020-10-16
"Sac","Sac","3083","349","207","2","140","0.113201427181317",2020-10-16
"Scott","Scott","42626","3847","2723","33","1091","0.0902500821095106",2020-10-16
"Shelby","Shelby","2718","330","290","1","39","0.121412803532009",2020-10-16
"Sioux","Sioux","9024","2232","1323","11","898","0.247340425531915",2020-10-16
"Story","Story","32229","3788","3257","17","514","0.117533898042136",2020-10-16
"Tama","Tama","4953","881","682","36","163","0.177871996769635",2020-10-16
"Taylor","Taylor","1452","212","132","2","78","0.146005509641873",2020-10-16
"Union","Union","3583","203","174","3","26","0.0566564331565727",2020-10-16
"Van Buren","Van Buren","1343","147","107","2","38","0.10945644080417",2020-10-16
"Wapello","Wapello","9093","1456","1337","62","57","0.160123171670516",2020-10-16
"Warren","Warren","14152","1111","927","6","178","0.0785048049745619",2020-10-16
"Washington","Washington","5934","587","431","11","145","0.0989214694978092",2020-10-16
"Wayne","Wayne","1255","110","92","3","15","0.0876494023904383",2020-10-16
"Webster","Webster","13451","1638","1208","14","416","0.121775332689019",2020-10-16
"Winnebago","Winnebago","3344","397","252","16","129","0.11872009569378",2020-10-16
"Winneshiek","Winneshiek","4916","417","321","9","87","0.0848250610252238",2020-10-16
"Woodbury","Woodbury","35478","6625","4912","85","1628","0.186735441682169",2020-10-16
"Worth","Worth","1867","124","101","0","23","0.0664167113015533",2020-10-16
"Wright","Wright","4884","674","561","1","112","0.138001638001638",2020-10-16
"Total","Totals","886557","104552","80486","1521","22545","0.117930375599087",2020-10-16
