"","date","County","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Active","positivity"
"Adair",2021-02-06,"Adair",3243,720,643,25,19,6,52,0.222016651248844
"Adams",2021-02-06,"Adams",1428,313,287,3,3,0,23,0.219187675070028
"Allamakee",2021-02-06,"Allamakee",5404,1346,1204,38,33,5,104,0.249074759437454
"Appanoose",2021-02-06,"Appanoose",5369,1158,1015,45,43,2,98,0.215682622462283
"Audubon",2021-02-06,"Audubon",2327,442,389,9,8,1,44,0.189944134078212
"Benton",2021-02-06,"Benton",11246,2217,2002,51,41,10,164,0.197136759736795
"Black Hawk",2021-02-06,"Black Hawk",63898,14517,13221,265,250,15,1031,0.227190209396225
"Boone",2021-02-06,"Boone",12226,2321,2070,25,23,2,226,0.18984132177327
"Bremer",2021-02-06,"Bremer",10967,2572,2354,52,46,6,166,0.23452174705936
"Buchanan",2021-02-06,"Buchanan",8457,1683,1521,26,24,2,136,0.199006739978716
"Buena Vista",2021-02-06,"Buena Vista",13725,4025,3828,36,33,3,161,0.293260473588342
"Butler",2021-02-06,"Butler",6327,1551,1391,29,26,3,131,0.245139876718824
"Calhoun",2021-02-06,"Calhoun",4849,1255,1200,9,9,0,46,0.258816250773355
"Carroll",2021-02-06,"Carroll",10376,2609,2449,45,39,6,115,0.251445643793369
"Cass",2021-02-06,"Cass",5691,1203,1057,46,44,2,100,0.211386399578282
"Cedar",2021-02-06,"Cedar",8083,1605,1432,20,19,1,153,0.198564889273784
"Cerro Gordo",2021-02-06,"Cerro Gordo",21699,4866,4463,76,64,12,327,0.224249965436195
"Cherokee",2021-02-06,"Cherokee",5394,1415,1311,35,29,6,69,0.262328513162773
"Chickasaw",2021-02-06,"Chickasaw",4822,1155,1092,12,11,1,51,0.23952716715056
"Clarke",2021-02-06,"Clarke",4329,879,729,17,17,0,133,0.203049203049203
"Clay",2021-02-06,"Clay",7507,1778,1601,24,19,5,153,0.236845610763288
"Clayton",2021-02-06,"Clayton",6266,1568,1448,52,44,8,68,0.250239387168848
"Clinton",2021-02-06,"Clinton",19831,4777,4321,76,69,7,380,0.240885482325652
"Crawford",2021-02-06,"Crawford",8021,2418,2215,32,28,4,171,0.301458670988655
"Dallas",2021-02-06,"Dallas",48024,9538,8454,84,73,11,1000,0.198609028818924
"Davis",2021-02-06,"Davis",2930,730,662,23,22,1,45,0.249146757679181
"Decatur",2021-02-06,"Decatur",3194,526,468,7,7,0,51,0.164683782091421
"Delaware",2021-02-06,"Delaware",7133,1814,1649,37,33,4,128,0.254310949109771
"Des Moines",2021-02-06,"Des Moines",19034,4078,3674,54,47,7,350,0.21424818745403
"Dickinson",2021-02-06,"Dickinson",9352,1929,1776,37,31,6,116,0.206266039349872
"Dubuque",2021-02-06,"Dubuque",51900,11945,10923,184,173,11,838,0.230154142581888
"Emmet",2021-02-06,"Emmet",4552,1122,1037,37,36,1,48,0.246485061511424
"Fayette",2021-02-06,"Fayette",8298,1718,1502,26,23,3,190,0.20703784044348
"Floyd",2021-02-06,"Floyd",6902,1445,1320,38,30,8,87,0.20935960591133
"Franklin",2021-02-06,"Franklin",4636,1072,961,19,18,1,92,0.231233822260569
"Fremont",2021-02-06,"Fremont",2414,537,483,9,7,2,45,0.222452361226181
"Greene",2021-02-06,"Greene",3718,712,660,8,8,0,44,0.191500806885422
"Grundy",2021-02-06,"Grundy",5234,1257,1160,30,25,5,67,0.240160489109668
"Guthrie",2021-02-06,"Guthrie",5040,1064,979,27,22,5,58,0.211111111111111
"Hamilton",2021-02-06,"Hamilton",6718,1669,1521,36,35,1,112,0.248437034831795
"Hancock",2021-02-06,"Hancock",5321,1351,1235,26,21,5,90,0.253899642924262
"Hardin",2021-02-06,"Hardin",7462,1627,1492,33,30,3,102,0.218038059501474
"Harrison",2021-02-06,"Harrison",5911,1632,1443,67,63,4,122,0.276095415327356
"Henry",2021-02-06,"Henry",9907,2727,2540,33,33,0,154,0.275259917230241
"Howard",2021-02-06,"Howard",4009,937,779,20,16,4,138,0.233724120728361
"Humboldt",2021-02-06,"Humboldt",4310,1099,1002,21,18,3,76,0.254988399071926
"Ida",2021-02-06,"Ida",2928,794,691,31,30,1,72,0.271174863387978
"Iowa",2021-02-06,"Iowa",7292,1332,1184,23,21,2,125,0.18266593527153
"Jackson",2021-02-06,"Jackson",8108,2024,1828,37,34,3,159,0.249629995066601
"Jasper",2021-02-06,"Jasper",15955,3450,3011,64,60,4,375,0.216233155750548
"Jefferson",2021-02-06,"Jefferson",6937,1251,1132,31,27,4,88,0.180337321608765
"Johnson",2021-02-06,"Johnson",71215,12635,11563,65,61,4,1007,0.177420487256898
"Jones",2021-02-06,"Jones",8955,2804,2629,53,50,3,122,0.313121161362367
"Keokuk",2021-02-06,"Keokuk",3675,881,806,28,28,0,47,0.239727891156463
"Kossuth",2021-02-06,"Kossuth",7059,1895,1619,51,45,6,225,0.268451622042782
"Lee",2021-02-06,"Lee",14302,3411,3025,45,33,12,341,0.238498112152147
"Linn",2021-02-06,"Linn",104621,18816,17032,299,272,27,1485,0.179849169860735
"Louisa",2021-02-06,"Louisa",4899,1188,1088,40,33,7,60,0.242498469075321
"Lucas",2021-02-06,"Lucas",3395,684,619,16,13,3,49,0.201472754050074
"Lyon",2021-02-06,"Lyon",4172,1410,1293,37,33,4,80,0.337967401725791
"Madison",2021-02-06,"Madison",6806,1333,1100,13,10,3,220,0.195856597120188
"Mahaska",2021-02-06,"Mahaska",9370,2073,1806,43,39,4,224,0.221237993596585
"Marion",2021-02-06,"Marion",13952,3244,2891,60,52,8,293,0.232511467889908
"Marshall",2021-02-06,"Marshall",18924,4460,4136,68,63,5,256,0.23567956034665
"Mills",2021-02-06,"Mills",7062,1425,1324,20,17,3,81,0.2017841971113
"Mitchell",2021-02-06,"Mitchell",4989,1182,1089,39,38,1,54,0.236921226698737
