"","date","County","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Active","positivity"
"Adair",2021-02-16,"Adair",3307,775,667,25,19,6,83,0.234351375869368
"Adams",2021-02-16,"Adams",1456,317,295,3,3,0,19,0.21771978021978
"Allamakee",2021-02-16,"Allamakee",5533,1377,1252,41,35,6,84,0.248870413880354
"Appanoose",2021-02-16,"Appanoose",5527,1198,1068,46,43,3,84,0.216754116157047
"Audubon",2021-02-16,"Audubon",2387,457,407,9,8,1,41,0.19145370758274
"Benton",2021-02-16,"Benton",11558,2293,2045,53,43,10,195,0.198390725038934
"Black Hawk",2021-02-16,"Black Hawk",65075,14710,13598,275,259,16,837,0.226046868997311
"Boone",2021-02-16,"Boone",12603,2364,2171,28,26,2,165,0.187574387050702
"Bremer",2021-02-16,"Bremer",11179,2616,2417,53,47,6,146,0.234010197692101
"Buchanan",2021-02-16,"Buchanan",8612,1722,1571,26,24,2,125,0.199953553181607
"Buena Vista",2021-02-16,"Buena Vista",13897,4046,3905,36,33,3,105,0.291141973087717
"Butler",2021-02-16,"Butler",6496,1563,1462,30,27,3,71,0.24060960591133
"Calhoun",2021-02-16,"Calhoun",4921,1269,1219,9,9,0,41,0.257874415769153
"Carroll",2021-02-16,"Carroll",10567,2629,2512,47,39,8,70,0.248793413456989
"Cass",2021-02-16,"Cass",5816,1232,1092,47,45,2,93,0.211829436038514
"Cedar",2021-02-16,"Cedar",8301,1634,1513,20,19,1,101,0.196843753764607
"Cerro Gordo",2021-02-16,"Cerro Gordo",22738,4929,4608,79,67,12,242,0.216773682821708
"Cherokee",2021-02-16,"Cherokee",5565,1427,1356,35,29,6,36,0.256424079065589
"Chickasaw",2021-02-16,"Chickasaw",5030,1174,1120,13,12,1,41,0.233399602385686
"Clarke",2021-02-16,"Clarke",4461,911,779,20,20,0,112,0.20421430172607
"Clay",2021-02-16,"Clay",7672,1814,1659,25,20,5,130,0.236444212721585
