"","date","County","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Active","positivity"
"Adair",2021-01-15,"Adair",3082,681,531,20,16,4,130,0.220960415314731
"Adams",2021-01-15,"Adams",1344,292,228,3,3,0,61,0.217261904761905
"Allamakee",2021-01-15,"Allamakee",5109,1261,1068,27,23,4,166,0.246819338422392
"Appanoose",2021-01-15,"Appanoose",5072,1088,902,38,38,0,148,0.214511041009464
"Audubon",2021-01-15,"Audubon",2160,411,350,8,8,0,53,0.190277777777778
"Benton",2021-01-15,"Benton",10693,2076,1897,43,39,4,136,0.194145702796222
"Black Hawk",2021-01-15,"Black Hawk",59522,13556,12107,228,215,13,1221,0.227747723530795
"Boone",2021-01-15,"Boone",11575,2143,1711,16,14,2,416,0.185140388768898
"Bremer",2021-01-15,"Bremer",9917,2402,2181,48,44,4,173,0.242210345870727
"Buchanan",2021-01-15,"Buchanan",7964,1571,1364,20,19,1,187,0.197262682069312
"Buena Vista",2021-01-15,"Buena Vista",13237,3896,3517,29,26,3,350,0.294326509027725
"Butler",2021-01-15,"Butler",5909,1454,1177,23,20,3,254,0.246065324081909
"Calhoun",2021-01-15,"Calhoun",4680,1215,1148,9,9,0,58,0.259615384615385
"Carroll",2021-01-15,"Carroll",9962,2522,2229,33,27,6,260,0.253162015659506
"Cass",2021-01-15,"Cass",5364,1119,948,41,39,2,130,0.208612975391499
"Cedar",2021-01-15,"Cedar",7638,1492,1282,19,18,1,191,0.195339094003666
"Cerro Gordo",2021-01-15,"Cerro Gordo",20637,4594,4105,66,55,11,423,0.222609875466395
"Cherokee",2021-01-15,"Cherokee",5210,1372,1137,25,23,2,210,0.263339731285988
"Chickasaw",2021-01-15,"Chickasaw",4545,1104,986,11,10,1,107,0.242904290429043
"Clarke",2021-01-15,"Clarke",4005,771,575,7,7,0,189,0.19250936329588
"Clay",2021-01-15,"Clay",7150,1654,1465,19,15,4,170,0.231328671328671
"Clayton",2021-01-15,"Clayton",5937,1500,1286,48,41,7,166,0.252652854977261
"Clinton",2021-01-15,"Clinton",18684,4457,3882,61,55,6,514,0.238546349818026
"Crawford",2021-01-15,"Crawford",7663,2273,1991,22,19,3,260,0.296620122667363
"Dallas",2021-01-15,"Dallas",45520,8745,7392,69,58,11,1284,0.192113356766257
"Davis",2021-01-15,"Davis",2714,682,592,21,20,1,69,0.251289609432572
"Decatur",2021-01-15,"Decatur",2901,474,392,4,4,0,78,0.163391933815926
"Delaware",2021-01-15,"Delaware",6798,1713,1553,36,32,4,124,0.25198587819947
"Des Moines",2021-01-15,"Des Moines",18011,3777,3335,40,36,4,402,0.209705180167675
"Dickinson",2021-01-15,"Dickinson",8973,1833,1631,25,23,2,177,0.204279505182213
"Dubuque",2021-01-15,"Dubuque",49556,11236,10101,148,139,9,987,0.226733392525628
"Emmet",2021-01-15,"Emmet",4357,1099,911,31,30,1,157,0.252237778287813
"Fayette",2021-01-15,"Fayette",7732,1574,1226,22,20,2,326,0.203569580962235
"Floyd",2021-01-15,"Floyd",6587,1374,1210,36,28,8,128,0.208592682556551
"Franklin",2021-01-15,"Franklin",4384,999,825,18,17,1,156,0.227874087591241
"Fremont",2021-01-15,"Fremont",2291,500,443,5,3,2,52,0.218245307725884
"Greene",2021-01-15,"Greene",3598,683,616,7,7,0,60,0.189827682045581
"Grundy",2021-01-15,"Grundy",4865,1186,1000,22,17,5,164,0.243782117163412
"Guthrie",2021-01-15,"Guthrie",4827,1022,867,24,19,5,131,0.211725709550445
"Hamilton",2021-01-15,"Hamilton",6408,1569,1365,28,27,1,176,0.244850187265918
"Hancock",2021-01-15,"Hancock",5035,1279,1086,24,19,5,169,0.254021847070506
"Hardin",2021-01-15,"Hardin",7090,1531,1382,29,26,3,120,0.215937940761636
"Harrison",2021-01-15,"Harrison",5605,1530,1297,61,57,4,172,0.272970561998216
"Henry",2021-01-15,"Henry",9498,2622,2366,30,30,0,226,0.276058117498421
"Howard",2021-01-15,"Howard",3728,818,640,19,15,4,159,0.219420600858369
"Humboldt",2021-01-15,"Humboldt",4092,1040,892,19,16,3,129,0.254154447702835
"Ida",2021-01-15,"Ida",2759,735,656,30,29,1,49,0.266400869880391
"Iowa",2021-01-15,"Iowa",6903,1222,1081,22,21,1,119,0.177024482109228
"Jackson",2021-01-15,"Jackson",7639,1898,1694,31,30,1,173,0.248461840555046
"Jasper",2021-01-15,"Jasper",15145,3160,2628,55,53,2,477,0.208649719379333
"Jefferson",2021-01-15,"Jefferson",6446,1186,891,23,21,2,272,0.183990071362085
"Johnson",2021-01-15,"Johnson",67996,11926,10478,49,45,4,1399,0.175392670157068
"Jones",2021-01-15,"Jones",8492,2689,2505,49,48,1,135,0.316650965614696
"Keokuk",2021-01-15,"Keokuk",3481,841,747,25,25,0,69,0.24159724217179
"Kossuth",2021-01-15,"Kossuth",6620,1697,1476,41,38,3,180,0.256344410876133
"Lee",2021-01-15,"Lee",13527,3112,2678,28,23,5,406,0.230058401715088
"Linn",2021-01-15,"Linn",99154,17576,15723,269,248,21,1584,0.177259616354358
"Louisa",2021-01-15,"Louisa",4670,1137,973,29,25,4,135,0.243468950749465
"Lucas",2021-01-15,"Lucas",3213,645,451,8,8,0,186,0.200746965452848
"Lyon",2021-01-15,"Lyon",3957,1331,1173,32,29,3,126,0.336365933788223
"Madison",2021-01-15,"Madison",6342,1163,874,9,8,1,280,0.183380637023021
"Mahaska",2021-01-15,"Mahaska",8872,1899,1532,36,33,3,331,0.214044183949504
"Marion",2021-01-15,"Marion",13078,2994,2452,52,45,7,490,0.228934087781006
"Marshall",2021-01-15,"Marshall",17660,4247,3889,61,56,5,297,0.240486976217441
"Mills",2021-01-15,"Mills",6801,1353,1219,16,15,1,118,0.198941332157036
"Mitchell",2021-01-15,"Mitchell",4835,1148,943,34,34,0,171,0.237435367114788
"Monona",2021-01-15,"Monona",3205,626,518,16,15,1,92,0.195319812792512
"Monroe",2021-01-15,"Monroe",2840,799,549,18,16,2,232,0.281338028169014
"Montgomery",2021-01-15,"Montgomery",3700,831,658,22,21,1,151,0.224594594594595
"Muscatine",2021-01-15,"Muscatine",18302,3825,3327,75,68,7,423,0.2089935526172
"O'Brien",2021-01-15,"O'Brien",5763,1676,1500,54,50,4,122,0.290820753079993
"Osceola",2021-01-15,"Osceola",2108,634,596,9,7,2,29,0.300759013282732
"Page",2021-01-15,"Page",5246,1433,1314,15,14,1,104,0.273160503240564
"Palo Alto",2021-01-15,"Palo Alto",3856,897,775,9,9,0,113,0.232624481327801
"Pending Investigation",2021-01-15,"Pending Investigation",9756,939,468,0,0,0,471,0.0962484624846248
"Plymouth",2021-01-15,"Plymouth",11646,3484,3187,67,61,6,230,0.299158509359437
"Pocahontas",2021-01-15,"Pocahontas",3080,772,663,11,11,0,98,0.250649350649351
"Polk",2021-01-15,"Polk",230311,44958,38802,440,397,43,5716,0.195205613279435
"Pottawattamie",2021-01-15,"Pottawattamie",41128,8872,7715,112,99,13,1045,0.21571678661739
"Poweshiek",2021-01-15,"Poweshiek",7191,1311,1124,24,22,2,163,0.182311222361285
"Ringgold",2021-01-15,"Ringgold",2021,422,331,9,8,1,82,0.208807521029193
"Sac",2021-01-15,"Sac",4612,1101,993,15,15,0,93,0.238725065047702
"Scott",2021-01-15,"Scott",73302,15228,13346,161,152,9,1721,0.207743308504543
"Shelby",2021-01-15,"Shelby",4489,1010,870,26,26,0,114,0.22499443083092
"Sioux",2021-01-15,"Sioux",13783,4529,4137,51,50,1,341,0.328593194514982
"Story",2021-01-15,"Story",47849,8585,7687,33,29,4,865,0.179418587640285
"Tama",2021-01-15,"Tama",7209,1848,1642,57,55,2,149,0.256346233874324
"Taylor",2021-01-15,"Taylor",2205,590,516,9,7,2,65,0.267573696145125
"Union",2021-01-15,"Union",5737,1080,960,22,21,1,98,0.188251699494509
"Van Buren",2021-01-15,"Van Buren",2294,492,426,12,11,1,54,0.214472537053182
"Wapello",2021-01-15,"Wapello",14381,3380,2875,96,94,2,409,0.235032334330019
"Warren",2021-01-15,"Warren",23357,4308,3457,37,35,2,814,0.184441495055016
"Washington",2021-01-15,"Washington",10080,2138,1711,31,30,1,396,0.212103174603175
"Wayne",2021-01-15,"Wayne",1896,413,342,21,17,4,50,0.217827004219409
"Webster",2021-01-15,"Webster",19083,4646,4185,68,61,7,393,0.24346276790861
"Winnebago",2021-01-15,"Winnebago",5199,1179,1040,29,24,5,110,0.226774379688402
"Winneshiek",2021-01-15,"Winneshiek",8359,1517,1266,19,17,2,232,0.181481038401723
"Woodbury",2021-01-15,"Woodbury",51464,12899,11677,175,162,13,1047,0.250641224933934
"Worth",2021-01-15,"Worth",3136,592,467,3,2,1,122,0.188775510204082
"Wright",2021-01-15,"Wright",6993,1619,1453,24,22,2,142,0.231517231517232
"Total",2021-01-15,"Totals",1414800,302782,263829,4251,3888,363,34702,0.214010460842522
