"","date","County","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Active","positivity"
"Adair",2020-12-11,"Adair",2750,500,327,15,12,3,158,0.181818181818182
"Adams",2020-12-11,"Adams",1171,201,128,2,2,0,71,0.171648163962425
"Allamakee",2020-12-11,"Allamakee",4553,980,586,16,14,2,378,0.215242697122776
"Appanoose",2020-12-11,"Appanoose",4478,858,567,31,31,0,260,0.191603394372488
"Audubon",2020-12-11,"Audubon",1895,321,245,6,6,0,70,0.169393139841689
"Benton",2020-12-11,"Benton",9738,1834,1263,28,25,3,543,0.188334360238242
"Black Hawk",2020-12-11,"Black Hawk",54143,11664,8779,178,166,12,2707,0.215429510740077
"Boone",2020-12-11,"Boone",9976,1579,1056,14,12,2,509,0.158279871692061
"Bremer",2020-12-11,"Bremer",8964,2094,1426,29,26,3,639,0.233601070950469
"Buchanan",2020-12-11,"Buchanan",7211,1305,862,15,14,1,428,0.180973512688947
"Buena Vista",2020-12-11,"Buena Vista",12192,3291,2665,17,15,2,609,0.269931102362205
"Butler",2020-12-11,"Butler",5285,1135,733,11,10,1,391,0.214758751182592
"Calhoun",2020-12-11,"Calhoun",4378,1125,836,8,8,0,281,0.256966651439013
"Carroll",2020-12-11,"Carroll",9017,2113,1626,22,16,6,465,0.234335144726627
"Cass",2020-12-11,"Cass",4784,901,616,35,33,2,250,0.188336120401338
"Cedar",2020-12-11,"Cedar",6839,1219,796,15,14,1,408,0.178242433104255
"Cerro Gordo",2020-12-11,"Cerro Gordo",18570,3937,2523,48,42,6,1366,0.212008616047388
"Cherokee",2020-12-11,"Cherokee",4504,1062,617,13,11,2,432,0.235790408525755
"Chickasaw",2020-12-11,"Chickasaw",4096,945,754,9,8,1,182,0.230712890625
"Clarke",2020-12-11,"Clarke",3422,540,415,6,6,0,119,0.157802454704851
"Clay",2020-12-11,"Clay",6367,1354,851,10,7,3,493,0.212659023087796
"Clayton",2020-12-11,"Clayton",5282,1232,820,24,20,4,388,0.233244982961
"Clinton",2020-12-11,"Clinton",16539,3662,2451,47,43,4,1164,0.221416046919403
"Crawford",2020-12-11,"Crawford",7073,1894,1579,16,13,3,299,0.267778877421179
"Dallas",2020-12-11,"Dallas",40291,6983,5024,59,49,10,1900,0.173314139634161
"Davis",2020-12-11,"Davis",2338,516,340,12,11,1,164,0.220701454234388
"Decatur",2020-12-11,"Decatur",2516,363,255,1,1,0,107,0.144276629570747
"Delaware",2020-12-11,"Delaware",6233,1526,1169,26,25,1,331,0.244825926520135
"Des Moines",2020-12-11,"Des Moines",16279,3197,2216,25,22,3,956,0.196387984519934
"Dickinson",2020-12-11,"Dickinson",8155,1543,1063,12,10,2,468,0.189209074187615
