"","date","County","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Active","positivity"
"Adair",2021-01-25,"Adair",3168,696,582,20,16,4,94,0.21969696969697
"Adams",2021-01-25,"Adams",1381,301,255,3,3,0,43,0.217958001448226
"Allamakee",2021-01-25,"Allamakee",5246,1311,1130,30,26,4,151,0.249904689287076
"Appanoose",2021-01-25,"Appanoose",5207,1126,943,40,39,1,143,0.216247359323987
"Audubon",2021-01-25,"Audubon",2234,423,362,8,8,0,53,0.189346463742167
"Benton",2021-01-25,"Benton",10957,2136,1940,50,40,10,146,0.194943871497673
"Black Hawk",2021-01-25,"Black Hawk",61043,14094,12616,243,229,14,1235,0.230886424323837
"Boone",2021-01-25,"Boone",11896,2232,1840,17,15,2,375,0.187626092804304
"Bremer",2021-01-25,"Bremer",10385,2501,2263,48,44,4,190,0.24082811747713
"Buchanan",2021-01-25,"Buchanan",8149,1622,1413,24,22,2,185,0.199042827340778
"Buena Vista",2021-01-25,"Buena Vista",13476,3964,3644,30,27,3,290,0.294152567527456
"Butler",2021-01-25,"Butler",6078,1518,1249,24,21,3,245,0.249753208292201
"Calhoun",2021-01-25,"Calhoun",4754,1234,1163,9,9,0,62,0.259570887673538
"Carroll",2021-01-25,"Carroll",10173,2585,2300,34,28,6,251,0.254104000786395
"Cass",2021-01-25,"Cass",5515,1153,987,43,41,2,123,0.209066183136899
"Cedar",2021-01-25,"Cedar",7872,1558,1346,19,18,1,193,0.197916666666667
"Cerro Gordo",2021-01-25,"Cerro Gordo",21135,4738,4245,72,61,11,421,0.224177903950793
"Cherokee",2021-01-25,"Cherokee",5293,1401,1207,27,23,4,167,0.264689212167013
"Chickasaw",2021-01-25,"Chickasaw",4680,1137,1017,12,11,1,108,0.242948717948718
"Clarke",2021-01-25,"Clarke",4145,812,662,9,9,0,141,0.195898673100121
"Clay",2021-01-25,"Clay",7298,1726,1511,21,17,4,194,0.236503151548369
"Clayton",2021-01-25,"Clayton",6098,1538,1354,49,41,8,135,0.252213840603477
"Clinton",2021-01-25,"Clinton",19132,4582,4038,68,62,6,476,0.239494041396613
"Crawford",2021-01-25,"Crawford",7839,2350,2068,24,21,3,258,0.299783135604031
"Dallas",2021-01-25,"Dallas",46592,9089,7746,72,61,11,1271,0.195076407967033
"Davis",2021-01-25,"Davis",2806,703,623,21,20,1,59,0.250534568781183
"Decatur",2021-01-25,"Decatur",3002,498,418,4,4,0,76,0.165889407061959
"Delaware",2021-01-25,"Delaware",6951,1764,1585,36,32,4,143,0.253776435045317
"Des Moines",2021-01-25,"Des Moines",18520,3951,3435,43,39,4,473,0.213336933045356
"Dickinson",2021-01-25,"Dickinson",9163,1891,1664,29,26,3,198,0.206373458474299
"Dubuque",2021-01-25,"Dubuque",50798,11641,10391,159,150,9,1091,0.229162565455333
