"","County","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Active","positivity","date"
"1","Adair",4835,1363,1187,44,132,0.281902792140641,2022-01-04
"2","Adams",2321,650,589,12,49,0.28005170185265,2022-01-04
"3","Allamakee",8527,2372,2098,57,217,0.278175208162308,2022-01-04
"4","Appanoose",8556,2341,2083,59,199,0.273609163160355,2022-01-04
"5","Audubon",3780,872,782,18,72,0.230687830687831,2022-01-04
"6","Benton",17840,4786,4239,64,483,0.268273542600897,2022-01-04
"7","Black Hawk",97704,25478,22503,406,2569,0.260767215262425,2022-01-04
"8","Boone",18873,4440,4029,45,366,0.235256715943411,2022-01-04
"9","Bremer",16717,4483,4031,75,377,0.268170126218819,2022-01-04
"10","Buchanan",13301,3612,3230,46,336,0.271558529433877,2022-01-04
"11","Buena Vista",19185,5227,5017,50,160,0.272452436799583,2022-01-04
"12","Butler",9641,2617,2400,48,169,0.271444870864018,2022-01-04
"13","Calhoun",7067,2150,2001,20,129,0.304230932503184,2022-01-04
"14","Carroll",14516,3991,3702,57,232,0.274937999448884,2022-01-04
"15","Cass",8709,2516,2325,73,118,0.288896543805259,2022-01-04
"16","Cedar",12696,3116,2728,27,361,0.245431632010082,2022-01-04
"17","Cerro Gordo",34074,9021,8349,142,530,0.264747314668075,2022-01-04
"18","Cherokee",8014,2391,2163,54,174,0.298352882455703,2022-01-04
"19","Chickasaw",7672,2134,1907,26,201,0.2781543274244,2022-01-04
"20","Clarke",6900,1828,1639,31,158,0.264927536231884,2022-01-04
"21","Clay",11111,3201,2967,40,194,0.288092880928809,2022-01-04
"22","Clayton",10298,2858,2589,65,204,0.277529617401437,2022-01-04
"23","Clinton",32578,9269,8345,122,802,0.284517158818835,2022-01-04
"24","Crawford",11340,3805,3580,49,176,0.335537918871252,2022-01-04
"25","Dallas",75386,17540,15827,123,1590,0.232669195871913,2022-01-04
"26","Davis",4891,1388,1257,27,104,0.283786546718462,2022-01-04
"27","Decatur",4948,1185,1092,18,75,0.239490703314471,2022-01-04
"28","Delaware",11104,3361,3073,64,224,0.302683717579251,2022-01-04
"29","Des Moines",28687,7600,7128,115,357,0.264928364764527,2022-01-04
"30","Dickinson",13235,3461,3173,61,227,0.261503588968644,2022-01-04
"31","Dubuque",76541,21191,19318,268,1605,0.276858154453169,2022-01-04
"32","Emmet",6786,1984,1794,49,141,0.292366637194223,2022-01-04
"33","Fayette",12849,3256,2901,59,296,0.253404934236127,2022-01-04
"34","Floyd",10840,2842,2642,55,145,0.262177121771218,2022-01-04
"35","Franklin",7594,2033,1891,35,107,0.267711351066632,2022-01-04
"36","Fremont",3955,1085,1002,19,64,0.274336283185841,2022-01-04
"37","Greene",5748,1391,1287,18,86,0.241997216423104,2022-01-04
"38","Grundy",7804,2046,1872,38,136,0.262173244490005,2022-01-04
"39","Guthrie",8116,1868,1724,41,103,0.230162641695416,2022-01-04
"40","Hamilton",10545,2826,2599,61,166,0.267994310099573,2022-01-04
"41","Hancock",8221,2415,2263,43,109,0.293759883225885,2022-01-04
"42","Hardin",12073,3237,2927,55,255,0.268118943096165,2022-01-04
"43","Harrison",8776,2733,2454,84,195,0.311417502278943,2022-01-04
"44","Henry",15539,4582,4268,57,257,0.294870969817878,2022-01-04
"45","Howard",6214,1686,1543,24,119,0.271322819439974,2022-01-04
