"","date","County","Total.Tests","Total.Positive.Tests","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Individuals.Tested","Individuals.Positive","Active","date"
"Adair",2021-03-02,"Adair",10834,919,689,28,22,6,3390,808,91,2021-03-02
"Adams",2021-03-02,"Adams",4646,327,309,4,4,0,1499,318,5,2021-03-02
"Allamakee",2021-03-02,"Allamakee",18123,1457,1296,46,38,8,5702,1409,67,2021-03-02
"Appanoose",2021-03-02,"Appanoose",15432,1391,1116,47,43,4,5686,1227,64,2021-03-02
"Audubon",2021-03-02,"Audubon",10158,487,424,9,8,1,2451,470,37,2021-03-02
"Benton",2021-03-02,"Benton",31457,2530,2141,54,44,10,11865,2376,181,2021-03-02
"Black Hawk",2021-03-02,"Black Hawk",184773,16246,14158,291,272,19,66338,14879,430,2021-03-02
"Boone",2021-03-02,"Boone",38163,2596,2274,30,28,2,12929,2414,110,2021-03-02
"Bremer",2021-03-02,"Bremer",32311,2802,2499,54,47,7,11464,2670,117,2021-03-02
"Buchanan",2021-03-02,"Buchanan",25814,1851,1642,29,25,4,8818,1756,85,2021-03-02
"Buena Vista",2021-03-02,"Buena Vista",39622,4736,3981,36,33,3,14115,4108,91,2021-03-02
"Butler",2021-03-02,"Butler",25077,1668,1511,31,28,3,6640,1579,37,2021-03-02
"Calhoun",2021-03-02,"Calhoun",15949,1338,1242,11,11,0,5005,1286,33,2021-03-02
"Carroll",2021-03-02,"Carroll",31506,2856,2560,48,40,8,10731,2659,51,2021-03-02
"Cass",2021-03-02,"Cass",18107,1343,1143,51,46,5,5944,1266,72,2021-03-02
"Cedar",2021-03-02,"Cedar",25936,1780,1576,23,21,2,8550,1702,103,2021-03-02
"Cerro Gordo",2021-03-02,"Cerro Gordo",66672,5335,4776,81,68,13,23263,4977,120,2021-03-02
"Cherokee",2021-03-02,"Cherokee",17525,1540,1378,35,29,6,5628,1442,29,2021-03-02
"Chickasaw",2021-03-02,"Chickasaw",15191,1250,1149,13,12,1,5115,1186,24,2021-03-02
"Clarke",2021-03-02,"Clarke",11690,1004,848,20,20,0,4583,944,76,2021-03-02
"Clay",2021-03-02,"Clay",25342,1934,1747,25,20,5,7797,1830,58,2021-03-02
"Clayton",2021-03-02,"Clayton",21140,1681,1522,53,45,8,6570,1598,23,2021-03-02
"Clinton",2021-03-02,"Clinton",53064,5431,4666,84,74,10,20939,4987,237,2021-03-02
"Crawford",2021-03-02,"Crawford",23533,2749,2368,35,31,4,8344,2513,110,2021-03-02
"Dallas",2021-03-02,"Dallas",109690,11357,9359,90,79,11,50516,10114,665,2021-03-02
"Davis",2021-03-02,"Davis",9270,826,705,23,22,1,3196,757,29,2021-03-02
"Decatur",2021-03-02,"Decatur",8768,578,521,9,9,0,3355,561,31,2021-03-02
"Delaware",2021-03-02,"Delaware",23225,1892,1767,39,34,5,7425,1850,44,2021-03-02
"Des Moines",2021-03-02,"Des Moines",47608,4576,4011,61,53,8,19965,4260,188,2021-03-02
"Dickinson",2021-03-02,"Dickinson",22153,2175,1885,39,33,6,9661,2015,91,2021-03-02
"Dubuque",2021-03-02,"Dubuque",160733,13544,11706,194,180,14,53861,12381,481,2021-03-02
"Emmet",2021-03-02,"Emmet",14280,1213,1076,40,38,2,4711,1143,27,2021-03-02
"Fayette",2021-03-02,"Fayette",30018,1848,1671,35,32,3,8667,1770,64,2021-03-02
"Floyd",2021-03-02,"Floyd",22130,1628,1401,40,31,9,7261,1470,29,2021-03-02
"Franklin",2021-03-02,"Franklin",17389,1183,1042,19,18,1,4918,1089,28,2021-03-02
"Fremont",2021-03-02,"Fremont",6414,589,533,9,7,2,2490,554,12,2021-03-02
"Greene",2021-03-02,"Greene",12962,773,703,10,10,0,3870,725,12,2021-03-02
"Grundy",2021-03-02,"Grundy",16597,1391,1223,30,25,5,5454,1316,63,2021-03-02
"Guthrie",2021-03-02,"Guthrie",15393,1166,1036,28,23,5,5263,1085,21,2021-03-02
"Hamilton",2021-03-02,"Hamilton",20701,1921,1618,42,41,1,7117,1735,75,2021-03-02
"Hancock",2021-03-02,"Hancock",18436,1469,1321,29,24,5,5646,1373,23,2021-03-02
"Hardin",2021-03-02,"Hardin",29407,1811,1581,39,33,6,7864,1689,69,2021-03-02
"Harrison",2021-03-02,"Harrison",17891,1793,1553,69,65,4,6084,1669,47,2021-03-02
"Henry",2021-03-02,"Henry",31484,2933,2691,37,36,1,10337,2792,64,2021-03-02
"Howard",2021-03-02,"Howard",14393,1029,897,21,17,4,4272,990,72,2021-03-02
"Humboldt",2021-03-02,"Humboldt",13451,1174,1068,25,22,3,4465,1125,32,2021-03-02
"Ida",2021-03-02,"Ida",10281,911,757,32,30,2,3067,807,18,2021-03-02
"Iowa",2021-03-02,"Iowa",25369,1446,1302,23,21,2,7618,1384,59,2021-03-02
"Jackson",2021-03-02,"Jackson",22198,2216,1975,38,35,3,8496,2094,81,2021-03-02
"Jasper",2021-03-02,"Jasper",43453,4171,3405,66,62,4,16983,3845,374,2021-03-02
"Jefferson",2021-03-02,"Jefferson",17483,1383,1227,32,27,5,7268,1277,18,2021-03-02
"Johnson",2021-03-02,"Johnson",180133,13834,12447,73,68,5,74482,13079,559,2021-03-02
"Jones",2021-03-02,"Jones",22200,2942,2742,54,50,4,9342,2846,50,2021-03-02
"Keokuk",2021-03-02,"Keokuk",13341,980,853,29,29,0,3920,914,32,2021-03-02
"Kossuth",2021-03-02,"Kossuth",21897,2082,1838,54,47,7,7400,1974,82,2021-03-02
"Lee",2021-03-02,"Lee",46642,3753,3366,52,39,13,14953,3536,118,2021-03-02
"Linn",2021-03-02,"Linn",248761,20649,18353,312,282,30,109418,19411,746,2021-03-02
"Louisa",2021-03-02,"Louisa",14970,1281,1150,41,34,7,5113,1221,30,2021-03-02
"Lucas",2021-03-02,"Lucas",8038,740,662,21,17,4,3568,709,26,2021-03-02
"Lyon",2021-03-02,"Lyon",12956,1458,1373,41,37,4,4329,1452,38,2021-03-02
"Madison",2021-03-02,"Madison",17249,1546,1314,18,14,4,7190,1412,80,2021-03-02
"Mahaska",2021-03-02,"Mahaska",26289,2246,1997,46,41,5,9795,2141,98,2021-03-02
"Marion",2021-03-02,"Marion",35104,3589,3155,69,60,9,14798,3391,167,2021-03-02
"Marshall",2021-03-02,"Marshall",70303,4960,4363,72,64,8,19969,4609,174,2021-03-02
"Mills",2021-03-02,"Mills",19032,1630,1398,20,17,3,7270,1479,61,2021-03-02
"Mitchell",2021-03-02,"Mitchell",15244,1307,1153,40,38,2,5183,1199,6,2021-03-02
"Monona",2021-03-02,"Monona",15662,816,716,27,26,1,3532,762,19,2021-03-02
