"","EventResidentCounty","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Active","positivity","date"
"Adair","Adair","2058","195","74","1","120","0.0947521865889213",2020-10-29
"Adams","Adams","848","84","47","1","36","0.0990566037735849",2020-10-29
"Allamakee","Allamakee","3410","393","261","9","123","0.11524926686217",2020-10-29
"Appanoose","Appanoose","3224","238","150","3","85","0.0738213399503722",2020-10-29
"Audubon","Audubon","1472","156","97","1","58","0.105978260869565",2020-10-29
"Benton","Benton","6982","639","349","2","288","0.0915210541392151",2020-10-29
"Black Hawk","Black Hawk","41645","5910","4511","102","1297","0.14191379517349",2020-10-29
"Boone","Boone","7601","743","537","9","197","0.0977502960136824",2020-10-29
"Bremer","Bremer","6386","707","511","9","187","0.110710930159724",2020-10-29
"Buchanan","Buchanan","5393","479","303","5","171","0.0888188392360467",2020-10-29
"Buena Vista","Buena Vista","10360","2284","2020","12","252","0.22046332046332",2020-10-29
"Butler","Butler","3979","402","345","3","54","0.101030409650666",2020-10-29
"Calhoun","Calhoun","3131","326","251","4","71","0.104120089428298",2020-10-29
"Carroll","Carroll","7122","1192","721","13","458","0.167368716652626",2020-10-29
"Cass","Cass","3627","418","286","3","129","0.115246760408051",2020-10-29
"Cedar","Cedar","5016","498","270","7","221","0.0992822966507177",2020-10-29
"Cerro Gordo","Cerro Gordo","13608","1476","1081","27","368","0.108465608465608",2020-10-29
"Cherokee","Cherokee","3364","412","284","2","126","0.122473246135553",2020-10-29
"Chickasaw","Chickasaw","3013","369","338","1","30","0.122469299701294",2020-10-29
"Clarke","Clarke","2784","358","263","3","92","0.128591954022989",2020-10-29
"Clay","Clay","4701","551","364","4","183","0.117209104445863",2020-10-29
"Clayton","Clayton","3949","463","326","3","134","0.117244872119524",2020-10-29
"Clinton","Clinton","11947","1534","1148","27","359","0.128400435255713",2020-10-29
"Crawford","Crawford","6064","1371","1114","14","243","0.226088390501319",2020-10-29
"Dallas","Dallas","30652","3553","2853","47","653","0.115914132846144",2020-10-29
"Davis","Davis","1631","188","129","4","55","0.115266707541386",2020-10-29
"Decatur","Decatur","1954","160","69","0","91","0.0818833162743091",2020-10-29
"Delaware","Delaware","4794","817","537","13","267","0.170421360033375",2020-10-29
"Des Moines","Des Moines","11886","1504","855","10","639","0.126535419821639",2020-10-29
"Dickinson","Dickinson","6307","790","554","9","227","0.125257650229903",2020-10-29
"Dubuque","Dubuque","36264","5431","3583","58","1790","0.149762850209574",2020-10-29
"Emmet","Emmet","2842","450","303","20","127","0.158339197748065",2020-10-29
"Fayette","Fayette","4998","399","245","4","150","0.0798319327731092",2020-10-29
"Floyd","Floyd","4489","455","399","11","45","0.101358877255513",2020-10-29
"Franklin","Franklin","2885","393","347","18","28","0.136221837088388",2020-10-29
"Fremont","Fremont","1569","213","134","1","78","0.135755258126195",2020-10-29
"Greene","Greene","2531","191","117","0","74","0.0754642433820624",2020-10-29
"Grundy","Grundy","3302","338","236","6","96","0.102362204724409",2020-10-29
"Guthrie","Guthrie","3284","417","265","15","137","0.126979293544458",2020-10-29
"Hamilton","Hamilton","4365","480","432","4","44","0.109965635738832",2020-10-29
"Hancock","Hancock","3139","349","261","4","84","0.111181905065307",2020-10-29
"Hardin","Hardin","4680","492","312","7","173","0.105128205128205",2020-10-29
"Harrison","Harrison","3766","692","318","15","359","0.183749336165693",2020-10-29
"Henry","Henry","6307","1115","819","5","291","0.17678769621056",2020-10-29
"Howard","Howard","2480","282","187","9","86","0.113709677419355",2020-10-29
"Humboldt","Humboldt","2837","358","247","3","108","0.12618963694043",2020-10-29
