"","date","Tested","Positive","Recovered","Deaths","Active","New.Pos","New.Test","New.Deaths","Frac.Pos"
"1","2020-07-31",2613,75,38,0,37,NA,NA,NA,NA
"2","2020-08-01",2636,77,38,0,39,2,23,0,0.0869565217391304
