"","date","County","Total.Tests","Total.Positive.Tests","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Individuals.Tested","Individuals.Positive","Active","date"
"Adair",2021-03-18,"Adair",11335,946,759,31,22,9,3480,825,35,2021-03-18
"Adams",2021-03-18,"Adams",4924,328,315,4,4,0,1529,319,0,2021-03-18
"Allamakee",2021-03-18,"Allamakee",19135,1520,1340,48,38,10,5968,1468,80,2021-03-18
"Appanoose",2021-03-18,"Appanoose",16161,1406,1168,47,43,4,5799,1238,23,2021-03-18
"Audubon",2021-03-18,"Audubon",10746,495,452,9,8,1,2505,478,17,2021-03-18
"Benton",2021-03-18,"Benton",33463,2600,2266,54,44,10,12290,2445,125,2021-03-18
"Black Hawk",2021-03-18,"Black Hawk",193889,16477,14466,298,277,21,67774,15089,325,2021-03-18
"Boone",2021-03-18,"Boone",40284,2659,2353,30,28,2,13293,2475,92,2021-03-18
"Bremer",2021-03-18,"Bremer",34625,2870,2569,57,48,9,11799,2734,108,2021-03-18
"Buchanan",2021-03-18,"Buchanan",27411,1896,1697,30,26,4,9064,1799,72,2021-03-18
"Buena Vista",2021-03-18,"Buena Vista",41164,4790,4016,38,35,3,14351,4153,99,2021-03-18
"Butler",2021-03-18,"Butler",26606,1687,1536,32,28,4,6803,1598,30,2021-03-18
"Calhoun",2021-03-18,"Calhoun",16736,1359,1265,11,11,0,5116,1307,31,2021-03-18
"Carroll",2021-03-18,"Carroll",32821,2911,2594,49,42,7,10959,2704,61,2021-03-18
"Cass",2021-03-18,"Cass",18912,1385,1193,52,47,5,6104,1313,68,2021-03-18
"Cedar",2021-03-18,"Cedar",27558,1833,1623,23,21,2,8829,1755,109,2021-03-18
"Cerro Gordo",2021-03-18,"Cerro Gordo",69528,5416,4852,85,71,14,23959,5048,111,2021-03-18
"Cherokee",2021-03-18,"Cherokee",18609,1603,1393,37,29,8,5809,1502,72,2021-03-18
"Chickasaw",2021-03-18,"Chickasaw",15820,1268,1172,15,13,2,5233,1202,15,2021-03-18
"Clarke",2021-03-18,"Clarke",12214,1023,901,21,21,0,4709,964,42,2021-03-18
"Clay",2021-03-18,"Clay",26470,2016,1800,25,20,5,7986,1899,74,2021-03-18
"Clayton",2021-03-18,"Clayton",22245,1697,1542,55,46,9,6746,1610,13,2021-03-18
