"","date","County","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Active","positivity"
"Adair",2021-02-11,"Adair",3254,724,658,25,19,6,41,0.222495390288875
"Adams",2021-02-11,"Adams",1438,313,290,3,3,0,20,0.217663421418637
"Allamakee",2021-02-11,"Allamakee",5451,1358,1220,41,35,6,97,0.249128600256834
"Appanoose",2021-02-11,"Appanoose",5427,1184,1048,45,43,2,91,0.218168417173392
"Audubon",2021-02-11,"Audubon",2346,449,400,9,8,1,40,0.191389599317988
"Benton",2021-02-11,"Benton",11325,2251,2025,52,42,10,174,0.198763796909492
"Black Hawk",2021-02-11,"Black Hawk",64293,14603,13398,267,251,16,938,0.227132036147014
"Boone",2021-02-11,"Boone",12296,2341,2117,27,25,2,197,0.190387117761874
"Bremer",2021-02-11,"Bremer",11027,2592,2381,52,46,6,159,0.235059399655391
"Buchanan",2021-02-11,"Buchanan",8511,1701,1544,26,24,2,131,0.199859005992245
"Buena Vista",2021-02-11,"Buena Vista",13771,4029,3870,36,33,3,123,0.292571345581294
"Butler",2021-02-11,"Butler",6377,1557,1426,29,26,3,102,0.244158695311275
"Calhoun",2021-02-11,"Calhoun",4877,1262,1206,9,9,0,47,0.258765634611441
"Carroll",2021-02-11,"Carroll",10434,2618,2477,45,38,7,96,0.250910484953038
"Cass",2021-02-11,"Cass",5739,1221,1076,46,44,2,99,0.212754835337167
"Cedar",2021-02-11,"Cedar",8144,1619,1459,20,19,1,140,0.198796660117878
"Cerro Gordo",2021-02-11,"Cerro Gordo",21857,4898,4517,77,65,12,304,0.224092967927895
"Cherokee",2021-02-11,"Cherokee",5420,1421,1341,35,29,6,45,0.262177121771218
"Chickasaw",2021-02-11,"Chickasaw",4852,1160,1105,12,11,1,43,0.239076669414674
"Clarke",2021-02-11,"Clarke",4384,894,752,18,18,0,124,0.203923357664234
"Clay",2021-02-11,"Clay",7558,1798,1624,25,20,5,149,0.237893622651495
"Clayton",2021-02-11,"Clayton",6312,1574,1464,53,45,8,57,0.24936628643853
"Clinton",2021-02-11,"Clinton",19953,4814,4384,76,69,7,354,0.241266977396883
"Crawford",2021-02-11,"Crawford",8079,2435,2236,34,30,4,165,0.30139868795643
"Dallas",2021-02-11,"Dallas",48395,9658,8647,84,73,11,927,0.19956607087509
"Davis",2021-02-11,"Davis",2967,737,666,23,22,1,48,0.248399056285811
"Decatur",2021-02-11,"Decatur",3208,531,479,7,7,0,45,0.165523690773067
"Delaware",2021-02-11,"Delaware",7178,1824,1665,37,33,4,122,0.254109779882976
"Des Moines",2021-02-11,"Des Moines",19167,4115,3720,55,48,7,340,0.214691918401419
"Dickinson",2021-02-11,"Dickinson",9411,1944,1802,37,31,6,105,0.206566783551164
"Dubuque",2021-02-11,"Dubuque",52208,12038,11061,187,176,11,790,0.230577689243028
"Emmet",2021-02-11,"Emmet",4583,1128,1050,39,37,2,39,0.246126991053895
"Fayette",2021-02-11,"Fayette",8347,1732,1543,28,25,3,161,0.207499700491194
"Floyd",2021-02-11,"Floyd",6942,1454,1335,38,30,8,81,0.209449726303659
"Franklin",2021-02-11,"Franklin",4670,1078,980,19,18,1,79,0.230835117773019
"Fremont",2021-02-11,"Fremont",2422,539,494,9,7,2,36,0.222543352601156
"Greene",2021-02-11,"Greene",3743,716,673,8,8,0,35,0.191290408763024
"Grundy",2021-02-11,"Grundy",5274,1273,1173,30,25,5,70,0.241372772089496
"Guthrie",2021-02-11,"Guthrie",5064,1067,994,27,22,5,46,0.210703001579779
"Hamilton",2021-02-11,"Hamilton",6769,1688,1536,38,37,1,114,0.249372137686512
"Hancock",2021-02-11,"Hancock",5344,1356,1256,26,21,5,74,0.25374251497006
"Hardin",2021-02-11,"Hardin",7517,1638,1506,34,31,3,98,0.217906079553013
"Harrison",2021-02-11,"Harrison",5950,1636,1469,67,63,4,100,0.274957983193277
"Henry",2021-02-11,"Henry",9961,2737,2586,33,33,0,118,0.274771609276177
"Howard",2021-02-11,"Howard",4039,948,792,20,16,4,136,0.234711562267888
"Humboldt",2021-02-11,"Humboldt",4338,1105,1012,22,19,3,71,0.254725680036883
"Ida",2021-02-11,"Ida",2948,799,699,31,30,1,69,0.271031207598372
"Iowa",2021-02-11,"Iowa",7331,1342,1198,23,21,2,121,0.183058245805484
"Jackson",2021-02-11,"Jackson",8163,2041,1866,37,34,3,138,0.250030625995345
"Jasper",2021-02-11,"Jasper",16078,3517,3100,64,60,4,353,0.218746112700585
"Jefferson",2021-02-11,"Jefferson",6978,1254,1168,31,27,4,55,0.179707652622528
"Johnson",2021-02-11,"Johnson",71676,12738,11772,65,61,4,901,0.177716390423573
"Jones",2021-02-11,"Jones",9019,2816,2640,53,50,3,123,0.312229737221421
"Keokuk",2021-02-11,"Keokuk",3726,889,816,28,28,0,45,0.238593666129898
"Kossuth",2021-02-11,"Kossuth",7097,1907,1671,52,46,6,184,0.268705086656334
"Lee",2021-02-11,"Lee",14428,3442,3071,47,35,12,324,0.238563903520932
"Linn",2021-02-11,"Linn",105355,18951,17219,301,274,27,1431,0.179877556831664
"Louisa",2021-02-11,"Louisa",4921,1191,1101,41,34,7,49,0.242023978866084
"Lucas",2021-02-11,"Lucas",3423,685,633,17,14,3,35,0.200116856558574
"Lyon",2021-02-11,"Lyon",4200,1416,1309,40,36,4,67,0.337142857142857
"Madison",2021-02-11,"Madison",6871,1351,1151,15,11,4,185,0.196623490030563
"Mahaska",2021-02-11,"Mahaska",9436,2099,1836,44,39,5,219,0.222445951674438
"Marion",2021-02-11,"Marion",14071,3266,2967,65,57,8,234,0.232108592139862
"Marshall",2021-02-11,"Marshall",19061,4493,4177,68,63,5,248,0.235716908871518
"Mills",2021-02-11,"Mills",7096,1438,1330,20,17,3,88,0.202649379932356
"Mitchell",2021-02-11,"Mitchell",5000,1184,1116,39,38,1,29,0.2368
"Monona",2021-02-11,"Monona",3412,742,628,22,21,1,92,0.21746776084408
"Monroe",2021-02-11,"Monroe",3049,863,780,26,21,5,57,0.283043620859298
"Montgomery",2021-02-11,"Montgomery",4034,945,805,34,32,2,106,0.234258800198314
"Muscatine",2021-02-11,"Muscatine",19316,4059,3724,85,76,9,250,0.210136674259681
"O'Brien",2021-02-11,"O'Brien",6068,1755,1627,58,54,4,70,0.289222148978247
"Osceola",2021-02-11,"Osceola",2207,656,620,13,11,2,23,0.297236067059357
"Page",2021-02-11,"Page",5507,1544,1426,17,16,1,101,0.280370437624841
"Palo Alto",2021-02-11,"Palo Alto",4058,962,880,18,17,1,64,0.237062592410054
"Pending Investigation",2021-02-11,"Pending Investigation",8889,1119,869,0,0,0,250,0.12588592642592
"Plymouth",2021-02-11,"Plymouth",12163,3602,3409,74,67,7,119,0.296144043410343
"Pocahontas",2021-02-11,"Pocahontas",3202,802,757,17,17,0,28,0.250468457214241
"Polk",2021-02-11,"Polk",245496,49383,44376,514,458,56,4493,0.20115602698211
"Pottawattamie",2021-02-11,"Pottawattamie",43227,9509,8755,136,122,14,618,0.219978254331783
"Poweshiek",2021-02-11,"Poweshiek",8031,1442,1292,28,26,2,122,0.179554227368945
"Ringgold",2021-02-11,"Ringgold",2177,488,428,16,15,1,44,0.224161690399633
"Sac",2021-02-11,"Sac",4851,1150,1084,17,17,0,49,0.237064522778808
"Scott",2021-02-11,"Scott",77698,16573,15076,191,180,11,1306,0.213300213647713
"Shelby",2021-02-11,"Shelby",4826,1114,979,32,29,3,103,0.230832987981765
"Sioux",2021-02-11,"Sioux",14453,4677,4467,66,63,3,144,0.323600636546046
"Story",2021-02-11,"Story",50396,9208,8502,43,38,5,663,0.182712913723311
"Tama",2021-02-11,"Tama",7729,1968,1790,63,61,2,115,0.254625436667098
"Taylor",2021-02-11,"Taylor",2325,626,583,11,9,2,32,0.269247311827957
"Union",2021-02-11,"Union",6027,1159,1057,31,26,5,71,0.19230131076821
"Van Buren",2021-02-11,"Van Buren",2453,527,477,17,14,3,33,0.214838972686506
"Wapello",2021-02-11,"Wapello",15913,3761,3307,103,101,2,351,0.236347640294099
"Warren",2021-02-11,"Warren",25044,4889,4245,66,62,4,578,0.19521641910238
"Washington",2021-02-11,"Washington",10719,2320,2092,40,38,2,188,0.216438100569083
"Wayne",2021-02-11,"Wayne",2000,436,394,21,17,4,21,0.218
"Webster",2021-02-11,"Webster",19867,4826,4574,83,70,13,169,0.242915387325716
"Winnebago",2021-02-11,"Winnebago",5523,1262,1140,30,25,5,92,0.228499004164403
"Winneshiek",2021-02-11,"Winneshiek",9042,1718,1483,26,22,4,209,0.190002211900022
"Woodbury",2021-02-11,"Woodbury",53918,13415,12722,202,188,14,491,0.248803739011091
"Worth",2021-02-11,"Worth",3333,639,584,4,3,1,51,0.191719171917192
"Wright",2021-02-11,"Wright",7334,1698,1591,30,25,5,77,0.231524406872103
"Total",2021-02-11,"Totals",1501787,326414,297820,5145,4650,495,23449,0.217350396560897
