"","date","County","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Active","positivity"
"Adair",2020-12-28,"Adair",2914,583,436,17,13,4,130,0.200068634179822
"Adams",2020-12-28,"Adams",1263,253,170,2,2,0,81,0.200316706254949
"Allamakee",2020-12-28,"Allamakee",4890,1145,810,20,16,4,315,0.234151329243354
"Appanoose",2020-12-28,"Appanoose",4754,945,797,34,34,0,114,0.198779974758098
"Audubon",2020-12-28,"Audubon",2036,364,297,7,7,0,60,0.178781925343811
"Benton",2020-12-28,"Benton",10227,1963,1688,36,32,4,239,0.191942896255011
"Black Hawk",2020-12-28,"Black Hawk",56771,12554,10925,215,202,13,1414,0.221134029698261
"Boone",2020-12-28,"Boone",10728,1829,1396,15,13,2,418,0.170488441461596
"Bremer",2020-12-28,"Bremer",9410,2226,1977,41,38,3,208,0.236556854410202
"Buchanan",2020-12-28,"Buchanan",7566,1407,1179,16,15,1,212,0.185963521015067
"Buena Vista",2020-12-28,"Buena Vista",12761,3651,3064,25,22,3,562,0.286106104537262
"Butler",2020-12-28,"Butler",5562,1248,1032,18,17,1,198,0.224379719525351
"Calhoun",2020-12-28,"Calhoun",4546,1166,1061,9,9,0,96,0.256489221293445
"Carroll",2020-12-28,"Carroll",9490,2326,1976,27,21,6,323,0.245100105374078
"Cass",2020-12-28,"Cass",5076,1016,796,38,36,2,182,0.200157604412924
"Cedar",2020-12-28,"Cedar",7255,1352,1080,18,17,1,254,0.186354238456237
"Cerro Gordo",2020-12-28,"Cerro Gordo",19586,4259,3566,59,50,9,634,0.21745124068212
"Cherokee",2020-12-28,"Cherokee",4827,1202,895,20,18,2,287,0.249015951937021
"Chickasaw",2020-12-28,"Chickasaw",4288,1016,863,10,9,1,143,0.236940298507463
"Clarke",2020-12-28,"Clarke",3729,655,487,6,6,0,162,0.175650308393671
"Clay",2020-12-28,"Clay",6826,1516,1183,11,8,3,322,0.222092001171989
"Clayton",2020-12-28,"Clayton",5590,1345,1122,39,35,4,184,0.240608228980322
"Clinton",2020-12-28,"Clinton",17615,4043,3334,53,47,6,656,0.229520295202952
"Crawford",2020-12-28,"Crawford",7330,2072,1763,21,18,3,288,0.282673942701228
"Dallas",2020-12-28,"Dallas",42884,7741,6390,64,54,10,1287,0.180510213599478
"Davis",2020-12-28,"Davis",2565,625,497,18,17,1,110,0.243664717348928
