"","date","Tested","Positive","Recovered","Deaths","Active","New.Pos","New.Test","New.Deaths","Frac.Pos"
"1","2020-07-31",23095,2953,2231,62,660,NA,NA,NA,NA
"2","2020-08-01",23293,2971,2246,62,663,18,198,0,0.0909090909090909
