"","date","County","Total.Tests","Total.Positive.Tests","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Individuals.Tested","Individuals.Positive","Active","date"
"Adair",2021-05-10,"Adair",12450,983,811,32,22,10,3717,863,20,2021-05-10
"Adams",2021-05-10,"Adams",5762,349,325,4,4,0,1642,338,9,2021-05-10
"Allamakee",2021-05-10,"Allamakee",21700,1563,1442,51,41,10,6376,1508,15,2021-05-10
"Appanoose",2021-05-10,"Appanoose",18364,1455,1215,49,44,5,6213,1279,15,2021-05-10
"Audubon",2021-05-10,"Audubon",12417,525,480,10,9,1,2748,506,16,2021-05-10
"Benton",2021-05-10,"Benton",37873,2713,2440,55,44,11,13264,2554,59,2021-05-10
"Black Hawk",2021-05-10,"Black Hawk",218213,17240,15183,308,285,23,72468,15771,280,2021-05-10
"Boone",2021-05-10,"Boone",45009,2815,2537,34,31,3,14342,2632,61,2021-05-10
"Bremer",2021-05-10,"Bremer",39986,2968,2721,60,51,9,12659,2832,51,2021-05-10
"Buchanan",2021-05-10,"Buchanan",31850,2008,1844,31,26,5,9794,1905,30,2021-05-10
"Buena Vista",2021-05-10,"Buena Vista",45658,4894,4173,40,36,4,15138,4241,28,2021-05-10
"Butler",2021-05-10,"Butler",29958,1739,1585,34,30,4,7281,1645,26,2021-05-10
"Calhoun",2021-05-10,"Calhoun",18772,1422,1318,13,12,1,5477,1373,42,2021-05-10
"Carroll",2021-05-10,"Carroll",37233,3064,2725,52,43,9,11696,2852,75,2021-05-10
"Cass",2021-05-10,"Cass",21068,1462,1291,54,48,6,6553,1379,34,2021-05-10
"Cedar",2021-05-10,"Cedar",31970,1984,1799,23,21,2,9496,1891,69,2021-05-10
"Cerro Gordo",2021-05-10,"Cerro Gordo",77943,5795,5102,89,74,15,25874,5370,179,2021-05-10
"Cherokee",2021-05-10,"Cherokee",21211,1685,1524,38,30,8,6175,1584,22,2021-05-10
"Chickasaw",2021-05-10,"Chickasaw",17866,1307,1212,15,13,2,5620,1238,11,2021-05-10
"Clarke",2021-05-10,"Clarke",13691,1056,959,24,22,2,5027,998,15,2021-05-10
"Clay",2021-05-10,"Clay",31242,2257,2065,25,20,5,8731,2151,61,2021-05-10
"Clayton",2021-05-10,"Clayton",25657,1783,1607,56,47,9,7394,1693,30,2021-05-10
"Clinton",2021-05-10,"Clinton",64740,6000,5232,92,79,13,23839,5524,200,2021-05-10
"Crawford",2021-05-10,"Crawford",28469,2903,2582,40,35,5,9051,2660,38,2021-05-10
"Dallas",2021-05-10,"Dallas",130299,12472,10748,98,85,13,56083,11134,288,2021-05-10
"Davis",2021-05-10,"Davis",11399,896,775,24,23,1,3604,823,24,2021-05-10
"Decatur",2021-05-10,"Decatur",10541,621,586,9,9,0,3644,606,11,2021-05-10
"Delaware",2021-05-10,"Delaware",29325,2132,1971,40,36,4,8362,2086,75,2021-05-10
"Des Moines",2021-05-10,"Des Moines",57172,4886,4341,66,55,11,21861,4530,123,2021-05-10
"Dickinson",2021-05-10,"Dickinson",27315,2668,2349,43,37,6,10809,2477,85,2021-05-10
"Dubuque",2021-05-10,"Dubuque",194632,14631,12826,209,193,16,58890,13345,310,2021-05-10
"Emmet",2021-05-10,"Emmet",17378,1416,1234,40,38,2,5348,1339,65,2021-05-10
"Fayette",2021-05-10,"Fayette",37002,1925,1791,41,36,5,9591,1847,15,2021-05-10
"Floyd",2021-05-10,"Floyd",26209,1778,1503,42,32,10,8003,1601,56,2021-05-10
"Franklin",2021-05-10,"Franklin",19925,1283,1101,21,19,2,5523,1177,55,2021-05-10
"Fremont",2021-05-10,"Fremont",7449,658,602,9,7,2,2748,622,11,2021-05-10
"Greene",2021-05-10,"Greene",15208,824,754,10,10,0,4256,776,12,2021-05-10
"Grundy",2021-05-10,"Grundy",19618,1440,1317,33,27,6,5957,1362,12,2021-05-10
"Guthrie",2021-05-10,"Guthrie",18908,1289,1150,29,24,5,5907,1208,29,2021-05-10
"Hamilton",2021-05-10,"Hamilton",23723,1983,1729,49,45,4,7792,1792,14,2021-05-10
"Hancock",2021-05-10,"Hancock",21842,1571,1395,34,27,7,6281,1470,41,2021-05-10
"Hardin",2021-05-10,"Hardin",35561,1978,1749,43,34,9,8756,1848,56,2021-05-10
"Harrison",2021-05-10,"Harrison",21732,1929,1675,73,69,4,6636,1792,44,2021-05-10
"Henry",2021-05-10,"Henry",36847,3058,2818,37,36,1,11333,2908,53,2021-05-10
"Howard",2021-05-10,"Howard",17161,1087,1005,22,18,4,4753,1043,16,2021-05-10
"Humboldt",2021-05-10,"Humboldt",15660,1235,1155,26,23,3,4854,1188,7,2021-05-10
"Ida",2021-05-10,"Ida",12773,1013,851,34,32,2,3444,902,17,2021-05-10
"Iowa",2021-05-10,"Iowa",30212,1544,1429,24,22,2,8434,1481,28,2021-05-10
"Jackson",2021-05-10,"Jackson",26157,2342,2136,42,39,3,9465,2210,32,2021-05-10
"Jasper",2021-05-10,"Jasper",52975,4521,4036,71,66,5,18929,4174,67,2021-05-10
"Jefferson",2021-05-10,"Jefferson",20885,1438,1281,35,29,6,7911,1324,8,2021-05-10
"Johnson",2021-05-10,"Johnson",214781,15301,13787,83,77,6,83349,14436,566,2021-05-10
"Jones",2021-05-10,"Jones",27051,3095,2869,57,51,6,10398,2973,47,2021-05-10
"Keokuk",2021-05-10,"Keokuk",16015,1024,916,31,31,0,4403,957,10,2021-05-10
"Kossuth",2021-05-10,"Kossuth",26721,2272,2058,64,56,8,8205,2150,28,2021-05-10
"Lee",2021-05-10,"Lee",54755,3986,3627,55,42,13,16416,3741,59,2021-05-10
"Linn",2021-05-10,"Linn",297414,22154,19834,334,298,36,121937,20772,604,2021-05-10
"Louisa",2021-05-10,"Louisa",17636,1341,1217,49,42,7,5581,1279,13,2021-05-10
"Lucas",2021-05-10,"Lucas",9566,800,729,23,18,5,3965,771,19,2021-05-10
"Lyon",2021-05-10,"Lyon",16818,1580,1497,41,37,4,4863,1575,37,2021-05-10
"Madison",2021-05-10,"Madison",21157,1755,1506,19,15,4,8088,1613,88,2021-05-10
"Mahaska",2021-05-10,"Mahaska",31956,2404,2177,51,46,5,10820,2293,65,2021-05-10
"Marion",2021-05-10,"Marion",43125,3816,3482,75,64,11,16623,3607,50,2021-05-10
"Marshall",2021-05-10,"Marshall",83787,5182,4694,75,67,8,22121,4815,46,2021-05-10
"Mills",2021-05-10,"Mills",21627,1785,1561,22,19,3,7826,1616,33,2021-05-10
"Mitchell",2021-05-10,"Mitchell",18206,1371,1221,42,39,3,5603,1258,-5,2021-05-10
"Monona",2021-05-10,"Monona",18423,884,777,30,28,2,3897,828,21,2021-05-10
"Monroe",2021-05-10,"Monroe",9912,995,906,29,22,7,3628,951,16,2021-05-10
"Montgomery",2021-05-10,"Montgomery",14599,1113,964,38,36,2,4427,1032,30,2021-05-10
"Muscatine",2021-05-10,"Muscatine",56804,5092,4474,99,90,9,22322,4757,184,2021-05-10
