"","County","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Active","positivity","date"
"1","Adair",4061,927,876,32,19,0.22826889928589,2021-09-01
"2","Adams",1790,373,358,4,11,0.208379888268156,2021-09-01
"3","Allamakee",7155,1666,1526,52,88,0.232844164919637,2021-09-01
"4","Appanoose",6934,1391,1252,49,90,0.200605710989328,2021-09-01
"5","Audubon",3058,566,525,14,27,0.185088293001962,2021-09-01
"6","Benton",14671,2899,2605,56,238,0.197600708881467,2021-09-01
"7","Black Hawk",81581,18512,16807,330,1375,0.226915580833773,2021-09-01
"8","Boone",15769,2936,2744,36,156,0.186188090557423,2021-09-01
"9","Bremer",13972,3131,2904,65,162,0.2240910392213,2021-09-01
"10","Buchanan",10817,2218,1957,35,226,0.205047610243136,2021-09-01
"11","Buena Vista",16840,4591,4307,40,244,0.272624703087886,2021-09-01
"12","Butler",8025,1847,1683,36,128,0.230155763239875,2021-09-01
"13","Calhoun",6003,1552,1448,13,91,0.258537397967683,2021-09-01
"14","Carroll",12592,3043,2840,53,150,0.241661372299873,2021-09-01
"15","Cass",7098,1496,1377,56,63,0.21076359537898,2021-09-01
"16","Cedar",10463,2095,1930,24,141,0.20022937971901,2021-09-01
"17","Cerro Gordo",28607,5996,5617,100,279,0.209599049183766,2021-09-01
"18","Cherokee",6716,1714,1595,39,80,0.255211435378201,2021-09-01
"19","Chickasaw",6247,1336,1263,18,55,0.213862654073955,2021-09-01
"20","Clarke",5593,1159,1016,24,119,0.207223314857858,2021-09-01
"21","Clay",9429,2284,2159,27,98,0.242231413723619,2021-09-01
"22","Clayton",8271,1839,1706,58,75,0.22234312658687,2021-09-01
"23","Clinton",26572,5961,5604,95,262,0.224333885292789,2021-09-01
"24","Crawford",9983,3077,2737,43,297,0.308223980767304,2021-09-01
"25","Dallas",62217,12293,11522,102,669,0.197582654258482,2021-09-01
"26","Davis",4136,977,869,25,83,0.236218568665377,2021-09-01
"27","Decatur",4038,708,669,10,29,0.175334323922734,2021-09-01
"28","Delaware",9186,2277,2109,43,125,0.247877204441541,2021-09-01
"29","Des Moines",24612,5507,4885,80,542,0.223752640988136,2021-09-01
"30","Dickinson",11538,2605,2479,46,80,0.225775697694574,2021-09-01
"31","Dubuque",64162,14164,13452,217,495,0.220753717153455,2021-09-01
"32","Emmet",5787,1426,1332,41,53,0.246414377052013,2021-09-01
"33","Fayette",10737,2089,1879,44,166,0.194560864301015,2021-09-01
"34","Floyd",8879,1784,1622,42,120,0.200923527424259,2021-09-01
"35","Franklin",6368,1424,1293,23,108,0.223618090452261,2021-09-01
"36","Fremont",3102,700,650,10,40,0.225660863958736,2021-09-01
"37","Greene",4733,884,794,11,79,0.186773716458906,2021-09-01
"38","Grundy",6537,1502,1379,34,89,0.229769007189842,2021-09-01
"39","Guthrie",6615,1320,1240,32,48,0.199546485260771,2021-09-01
"40","Hamilton",8737,2031,1871,52,108,0.232459654343596,2021-09-01
"41","Hancock",6965,1619,1518,35,66,0.232447954055994,2021-09-01
"42","Hardin",9878,2125,1909,46,170,0.215124519133428,2021-09-01
"43","Harrison",7209,1924,1771,75,78,0.2668886114579,2021-09-01
"44","Henry",12621,3273,3016,39,218,0.259329688614214,2021-09-01
"45","Howard",5236,1106,1041,22,43,0.211229946524064,2021-09-01
"46","Humboldt",5404,1391,1251,26,114,0.25740192450037,2021-09-01
"47","Ida",3850,1015,924,37,54,0.263636363636364,2021-09-01
"48","Iowa",9255,1656,1491,24,141,0.178930307941653,2021-09-01
"49","Jackson",10436,2365,2230,43,92,0.226619394403986,2021-09-01
"50","Jasper",21181,4882,4543,75,264,0.230489589726642,2021-09-01
"51","Jefferson",9784,1566,1363,37,166,0.16005723630417,2021-09-01
"52","Johnson",94115,15885,14806,89,990,0.168782872018276,2021-09-01
"53","Jones",11321,3184,2976,58,150,0.281247239643141,2021-09-01
"54","Keokuk",4952,1083,982,32,69,0.218699515347334,2021-09-01
"55","Kossuth",9016,2375,2181,68,126,0.263420585625555,2021-09-01
"56","Lee",19135,4752,4124,69,559,0.248340736869611,2021-09-01
"57","Linn",135976,23994,21459,349,2186,0.1764576101665,2021-09-01
"58","Louisa",6275,1450,1280,49,121,0.231075697211155,2021-09-01
"59","Lucas",4479,853,774,23,56,0.190444295601697,2021-09-01
"60","Lyon",5348,1685,1577,41,67,0.31507105459985,2021-09-01
"61","Madison",9028,1849,1691,19,139,0.204807266282676,2021-09-01
