"","date","County","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Active","positivity"
"Pending Investigation",2021-02-05,"Pending Investigation",8896,1084,777,0,0,0,307,0.121852517985612
"Plymouth",2021-02-05,"Plymouth",12092,3585,3368,74,67,7,143,0.296477009593119
"Pocahontas",2021-02-05,"Pocahontas",3181,797,750,17,17,0,30,0.250550141464948
"Polk",2021-02-05,"Polk",243144,48766,43298,509,454,55,4959,0.200564274668509
"Pottawattamie",2021-02-05,"Pottawattamie",42961,9439,8584,130,116,14,725,0.219710900584251
"Poweshiek",2021-02-05,"Poweshiek",7953,1428,1257,27,25,2,144,0.179554884949076
"Ringgold",2021-02-05,"Ringgold",2158,480,398,15,14,1,67,0.222428174235403
"Sac",2021-02-05,"Sac",4812,1146,1064,17,17,0,65,0.238154613466334
"Scott",2021-02-05,"Scott",77199,16445,14823,186,175,11,1436,0.213020894053032
"Shelby",2021-02-05,"Shelby",4770,1109,958,30,29,1,121,0.232494758909853
"Sioux",2021-02-05,"Sioux",14333,4657,4413,64,61,3,180,0.324914532896114
"Story",2021-02-05,"Story",49998,9127,8310,41,36,5,776,0.182547301892076
"Tama",2021-02-05,"Tama",7675,1957,1773,63,61,2,121,0.254983713355049
"Taylor",2021-02-05,"Taylor",2309,623,574,11,9,2,38,0.269813772195756
"Union",2021-02-05,"Union",6002,1156,1039,29,25,4,88,0.192602465844718
"Van Buren",2021-02-05,"Van Buren",2418,524,468,16,13,3,40,0.216708023159636
"Wapello",2021-02-05,"Wapello",15496,3641,3185,101,99,2,355,0.234963861641714
"Warren",2021-02-05,"Warren",24832,4843,4063,62,58,4,718,0.195030605670103
"Washington",2021-02-05,"Washington",10617,2301,2023,40,38,2,238,0.216727889234247
"Wayne",2021-02-05,"Wayne",1983,427,390,21,17,4,16,0.215330307614725
"Webster",2021-02-05,"Webster",19742,4793,4528,81,69,12,184,0.242781886333705
"Winnebago",2021-02-05,"Winnebago",5496,1256,1121,30,25,5,105,0.228529839883552
"Winneshiek",2021-02-05,"Winneshiek",8941,1686,1437,25,21,4,224,0.188569511240353
"Woodbury",2021-02-05,"Woodbury",53518,13348,12544,201,187,14,603,0.249411412982548
"Worth",2021-02-05,"Worth",3300,631,566,4,3,1,61,0.191212121212121
"Wright",2021-02-05,"Wright",7292,1694,1566,28,24,4,100,0.232309380142622
"Total",2021-02-05,"Totals",1489077,323301,291529,5033,4555,478,26739,0.217115031660552
