"","date","County","Total.Tests","Total.Positive.Tests","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Individuals.Tested","Individuals.Positive","Active","date"
"Adair",2021-05-19,"Adair",12563,987,817,32,22,10,3752,866,17,2021-05-19
"Adams",2021-05-19,"Adams",5878,350,334,4,4,0,1658,338,0,2021-05-19
"Allamakee",2021-05-19,"Allamakee",22140,1571,1445,51,41,10,6433,1516,20,2021-05-19
"Appanoose",2021-05-19,"Appanoose",18586,1458,1220,49,44,5,6293,1283,14,2021-05-19
"Audubon",2021-05-19,"Audubon",12818,531,484,10,9,1,2784,510,16,2021-05-19
"Benton",2021-05-19,"Benton",38694,2724,2460,55,44,11,13387,2567,52,2021-05-19
"Black Hawk",2021-05-19,"Black Hawk",221638,17311,15315,308,285,23,73140,15837,214,2021-05-19
"Boone",2021-05-19,"Boone",45594,2843,2570,34,31,3,14486,2655,51,2021-05-19
"Bremer",2021-05-19,"Bremer",40809,2993,2738,60,51,9,12769,2852,54,2021-05-19
"Buchanan",2021-05-19,"Buchanan",32453,2021,1858,32,26,6,9884,1916,26,2021-05-19
"Buena Vista",2021-05-19,"Buena Vista",46020,4897,4183,40,36,4,15230,4249,26,2021-05-19
"Butler",2021-05-19,"Butler",30362,1743,1589,34,30,4,7357,1652,29,2021-05-19
"Calhoun",2021-05-19,"Calhoun",19093,1435,1322,13,12,1,5532,1386,51,2021-05-19
"Carroll",2021-05-19,"Carroll",37791,3072,2757,52,43,9,11778,2859,50,2021-05-19
"Cass",2021-05-19,"Cass",21325,1472,1306,54,48,6,6616,1386,26,2021-05-19
"Cedar",2021-05-19,"Cedar",32444,1995,1822,23,21,2,9588,1903,58,2021-05-19
"Cerro Gordo",2021-05-19,"Cerro Gordo",79143,5845,5166,89,74,15,26150,5419,164,2021-05-19
"Cherokee",2021-05-19,"Cherokee",21439,1691,1538,38,30,8,6215,1591,15,2021-05-19
"Chickasaw",2021-05-19,"Chickasaw",18235,1310,1218,16,14,2,5684,1241,7,2021-05-19
"Clarke",2021-05-19,"Clarke",13896,1062,963,24,22,2,5098,1003,16,2021-05-19
"Clay",2021-05-19,"Clay",31704,2266,2106,26,21,5,8806,2157,25,2021-05-19
"Clayton",2021-05-19,"Clayton",26125,1785,1626,56,47,9,7459,1695,13,2021-05-19
"Clinton",2021-05-19,"Clinton",65929,6040,5332,93,79,14,24119,5562,137,2021-05-19
