County,Total Tests,Total Positive Tests,Total Recovered,Total Deaths,Underlying Cause Deaths,Contributing Factor Deaths
Polk,1089093,98951,81137,857,754,103
Linn,478772,39651,32441,447,402,45
Scott,339731,32823,27045,310,279,31
Johnson,339428,23871,19985,116,106,10
Black Hawk,334664,26548,22012,399,361,38
Dubuque,297947,22555,18823,263,240,23
Story,228700,15882,13943,64,56,8
Woodbury,220247,23570,20529,282,259,23
Dallas,198129,18675,15509,120,105,15
Pottawattamie,177364,19457,16062,249,217,32
Marshall,132614,7686,6674,94,83,11
Cerro Gordo,126007,9661,8134,137,118,19
Warren,121926,10094,8552,112,102,10
Webster,112811,8444,7328,128,107,21
Clinton,103451,9757,8028,121,104,17
Lee,96080,6872,5911,109,93,16
Des Moines,89140,8099,7065,110,96,14
Muscatine,88351,7782,6626,119,110,9
Jasper,80878,7383,6222,91,82,9
Wapello,74969,7686,6432,157,150,7
Boone,69992,4628,3925,44,40,4
Washington,69492,4563,3894,68,64,4
Marion,68820,6386,5607,103,87,16
Sioux,66634,6797,6141,78,74,4
Bremer,66267,4593,3962,74,64,10
Poweshiek,66137,2837,2383,47,43,4
Buena Vista,62906,5988,4977,49,44,5
Benton,61995,4908,4084,63,50,13
Fayette,60382,3325,2839,57,50,7
Hardin,59892,3367,2844,55,42,13
Henry,59849,4697,4233,57,53,4
Winneshiek,56767,3140,2648,45,38,7
Plymouth,53425,5560,4848,90,82,8
Carroll,52130,4166,3678,57,45,12
Cedar,51488,3142,2667,27,25,2
Buchanan,51445,3706,3095,44,37,7
Tama,49301,3264,2755,80,76,4
Iowa,48761,2711,2316,36,34,2
Mahaska,48026,4216,3646,69,62,7
Clay,47409,3286,2946,38,33,5
Delaware,46106,3393,2979,61,53,8
Butler,45580,2715,2324,48,41,7
Floyd,42154,3040,2576,54,43,11
Jones,41942,4635,4090,67,60,7
Clayton,41446,2999,2494,64,55,9
Kossuth,41318,3412,2862,80,71,9
Jackson,40326,3894,3205,52,47,5
Crawford,38918,4030,3524,49,43,6
Jefferson,38865,2807,2263,44,36,8
Dickinson,38761,3614,3125,60,52,8
O'Brien,38078,2887,2402,67,61,6
Hamilton,37244,3025,2572,60,53,7
Page,34873,3008,2738,39,33,6
Cass,34858,2616,2296,72,66,6
Cherokee,34024,2474,2119,50,38,12
Hancock,33978,2552,2194,42,34,8
Mills,33035,2721,2239,30,26,4
Franklin,32815,2185,1850,35,32,3
Madison,32269,2739,2360,25,21,4
Allamakee,32138,2423,2033,57,47,10
Harrison,30532,2872,2349,83,78,5
Appanoose,30505,2525,2033,59,53,6
Calhoun,30399,2178,1974,20,19,1
Wright,30319,3024,2655,54,45,9
Sac,29937,1982,1734,28,26,2
Mitchell,29705,2144,1819,47,43,4
Grundy,29513,2121,1825,37,31,6
Winnebago,28893,2623,2201,41,35,6
Guthrie,28873,1945,1680,40,32,8
Palo Alto,28796,1720,1485,32,31,1
Chickasaw,28379,2195,1839,24,20,4
Union,28170,2327,1952,44,35,9
Louisa,28081,2090,1750,54,47,7
Monona,27005,1425,1229,41,38,3
Shelby,26365,2262,1959,44,40,4
Howard,25929,1746,1490,24,20,4
Lyon,25577,2264,2058,44,40,4
Keokuk,25192,1734,1494,42,41,1
Emmet,24438,2060,1748,47,44,3
Humboldt,23992,2183,1837,33,28,5
Greene,23526,1431,1270,18,17,1
Montgomery,22424,1825,1601,48,45,3
Worth,22401,1417,1236,10,9,1
Clarke,21658,1868,1604,31,29,2
Audubon,20521,884,764,18,17,1
Davis,20207,1451,1239,26,23,3
Pocahontas,20195,1361,1196,25,25,0
Ida,18966,1563,1312,42,38,4
Adair,17178,1478,1148,44,33,11
Decatur,16549,1187,1043,17,17,0
Lucas,16095,1415,1242,29,23,6
Monroe,15945,1613,1410,43,32,11
Van Buren,15775,1124,936,24,21,3
Ringgold,15507,882,770,31,25,6
Osceola,14883,1162,1039,18,15,3
Taylor,14431,1113,1002,20,18,2
Wayne,13876,1015,844,26,20,6
Fremont,11222,1128,982,17,13,4
Adams,9469,673,578,11,9,2
Unknown,7066,52,0,0,0,0
