County,Total Tests,Total Positive Tests,Total Recovered,Total Deaths,Underlying Cause Deaths,Contributing Factor Deaths
Polk,825949,71760,59201,659,577,82
Linn,351479,25611,21459,349,313,36
Black Hawk,263672,20232,16807,330,302,28
Scott,257660,23625,20519,254,229,25
Johnson,251379,16863,14806,89,81,8
Dubuque,222006,15561,13452,217,196,21
Story,183294,12313,10972,48,42,6
Woodbury,171520,17624,15351,232,213,19
Dallas,150555,13744,11522,102,88,14
Pottawattamie,138069,13726,11385,180,156,24
Marshall,99647,5786,4897,79,70,9
Cerro Gordo,93825,6495,5617,100,83,17
Warren,91519,6980,5911,92,82,10
Webster,86098,6344,5478,102,86,16
Clinton,76417,6465,5604,95,80,15
Lee,71897,5083,4124,69,55,14
Des Moines,70024,5957,4885,80,67,13
Muscatine,67291,5740,4896,107,98,9
Jasper,61919,5276,4543,75,69,6
Wapello,56023,5164,4322,127,122,5
Sioux,51987,5528,5148,74,71,3
Buena Vista,51910,5357,4307,40,36,4
Poweshiek,51856,1789,1579,36,33,3
Boone,51817,3147,2744,36,33,3
Marion,50471,4395,3746,81,69,12
Washington,50078,3044,2589,53,49,4
Bremer,47522,3279,2904,65,55,10
Benton,45039,3083,2605,56,45,11
Winneshiek,45025,2177,1978,37,32,5
Henry,43967,3441,3016,39,37,2
Hardin,43874,2273,1909,46,35,11
Fayette,43794,2189,1879,44,39,5
Plymouth,43553,4544,3993,82,74,8
Carroll,42217,3261,2840,53,44,9
Tama,38270,2404,2080,73,69,4
Cedar,38061,2199,1930,24,22,2
Buchanan,37552,2352,1957,35,28,7
Mahaska,37156,2689,2318,52,47,5
Clay,35617,2403,2159,27,22,5
Iowa,34890,1724,1491,24,22,2
Butler,34336,1949,1683,36,31,5
Delaware,34288,2339,2109,43,38,5
Crawford,32978,3359,2737,43,37,6
Jones,31058,3327,2976,58,52,6
Dickinson,31044,2805,2479,46,40,6
Kossuth,30722,2513,2181,68,59,9
Clayton,30629,1935,1706,58,49,9
Jackson,30449,2506,2230,43,39,4
Floyd,30259,1971,1622,42,32,10
O'Brien,29266,2245,1965,61,56,5
Hamilton,27867,2240,1871,52,47,5
Jefferson,26745,1706,1363,37,30,7
Page,25860,2218,1947,23,20,3
Hancock,25543,1727,1518,35,28,7
Allamakee,25165,1729,1526,52,42,10
Mills,25043,1960,1646,24,21,3
Cherokee,24707,1829,1595,39,31,8
Madison,24562,2000,1691,19,15,4
Franklin,24498,1543,1293,23,21,2
Cass,24339,1593,1377,56,50,6
Harrison,23985,2065,1771,75,70,5
Wright,23974,2166,1906,40,33,7
Sac,23839,1488,1321,20,19,1
Calhoun,22475,1608,1448,13,12,1
Grundy,22459,1587,1379,34,28,6
Guthrie,21893,1417,1240,32,26,6
Palo Alto,21713,1283,1135,24,23,1
Appanoose,21474,1584,1252,49,44,5
Louisa,21348,1532,1280,49,42,7
Mitchell,21056,1473,1240,43,40,3
Winnebago,20967,1698,1448,31,26,5
Monona,20587,982,851,32,30,2
Chickasaw,20525,1413,1263,18,15,3
Shelby,20346,1492,1304,39,35,4
Union,20204,1441,1272,37,29,8
Howard,19607,1163,1041,22,18,4
Emmet,19364,1514,1332,41,39,2
Lyon,19044,1698,1577,41,37,4
Humboldt,18592,1446,1251,26,23,3
Keokuk,18269,1152,982,32,31,1
Greene,17582,941,794,11,10,1
Montgomery,16488,1211,1032,38,36,2
Worth,16290,949,774,8,7,1
Clarke,15765,1227,1016,24,22,2
Pocahontas,15618,966,858,23,23,0
Audubon,15507,586,525,14,13,1
Ida,14954,1132,924,37,33,4
Davis,14084,1059,869,25,23,2
Adair,13717,1061,876,32,22,10
Decatur,12496,724,669,10,10,0
Ringgold,11803,628,554,26,20,6
Lucas,11764,885,774,23,18,5
Monroe,11660,1127,997,33,25,8
Van Buren,10904,697,562,18,15,3
Osceola,10618,848,782,17,14,3
Taylor,10453,732,661,12,10,2
Wayne,9049,656,548,23,18,5
Fremont,8813,742,650,10,8,2
Adams,6924,388,358,4,4,0
Unknown,5729,7,0,0,0,0
