County,Total Tests,Total Positive Tests,Total Recovered,Total Deaths,Underlying Cause Deaths,Contributing Factor Deaths
Polk,798518,68947,58294,651,570,81
Linn,337586,24236,21118,346,310,36
Black Hawk,253792,19438,16362,324,297,27
Scott,248673,22801,20216,252,228,24
Johnson,243359,16284,14641,86,78,8
Dubuque,215230,15244,13381,216,196,20
Story,179168,12026,10777,48,42,6
Woodbury,167084,17200,15113,231,212,19
Dallas,146089,13320,11347,101,87,14
Pottawattamie,133105,13127,11149,178,154,24
Marshall,94599,5532,4842,79,70,9
Cerro Gordo,90402,6309,5534,98,81,17
Warren,88394,6701,5840,92,82,10
Webster,82602,6084,5293,100,84,16
Clinton,73309,6278,5555,94,79,15
Lee,68490,4744,3900,59,46,13
Des Moines,67461,5586,4750,79,66,13
Muscatine,65068,5506,4820,106,97,9
Jasper,59964,5104,4452,73,67,6
Wapello,54265,4963,4247,124,119,5
Sioux,50637,5446,5122,74,71,3
Poweshiek,50110,1722,1564,36,33,3
Boone,50060,3041,2682,35,32,3
Buena Vista,49790,5152,4269,40,36,4
Marion,48530,4163,3629,79,67,12
Washington,47918,2911,2554,51,47,4
Bremer,45788,3169,2862,63,53,10
Winneshiek,44245,2123,1971,37,32,5
Benton,43269,2915,2573,56,45,11
Henry,42407,3309,2972,38,36,2
Plymouth,42268,4433,3969,82,74,8
Hardin,41944,2167,1865,44,34,10
Fayette,41467,2079,1841,43,38,5
Carroll,41021,3148,2812,52,43,9
Tama,36877,2322,2063,72,68,4
Cedar,36362,2109,1907,23,21,2
Buchanan,35955,2217,1937,35,28,7
Mahaska,35613,2554,2269,51,46,5
Clay,34497,2325,2148,27,22,5
Iowa,33634,1631,1462,24,22,2
Delaware,33570,2270,2071,43,38,5
Butler,33304,1892,1641,36,31,5
Crawford,31460,3155,2677,43,37,6
Dickinson,30473,2747,2464,46,40,6
Jones,30152,3234,2958,57,51,6
Kossuth,29866,2432,2140,67,58,9
Clayton,29677,1879,1682,58,49,9
Jackson,29520,2448,2222,43,39,4
Floyd,29453,1885,1606,42,32,10
O'Brien,28509,2204,1950,61,56,5
Hamilton,26740,2179,1824,51,46,5
Jefferson,25431,1595,1315,35,29,6
Hancock,24723,1685,1495,34,27,7
Page,24623,2096,1936,22,20,2
Allamakee,24565,1672,1509,52,42,10
Franklin,23921,1476,1254,23,21,2
Madison,23890,1919,1661,19,15,4
Mills,23823,1892,1618,24,21,3
Cherokee,23639,1773,1575,39,31,8
Cass,23574,1548,1358,55,49,6
Harrison,23344,2010,1748,75,70,5
Sac,23089,1455,1311,20,19,1
Wright,22985,2068,1860,40,33,7
Calhoun,21729,1537,1420,13,12,1
Grundy,21689,1527,1359,34,28,6
Guthrie,21276,1375,1220,32,26,6
Palo Alto,21117,1239,1123,24,23,1
Appanoose,20664,1510,1233,49,44,5
Louisa,20459,1450,1258,49,42,7
Winnebago,20329,1635,1430,31,26,5
Mitchell,20322,1407,1240,43,40,3
Monona,20079,948,834,32,30,2
Chickasaw,20010,1381,1250,17,14,3
Union,19718,1398,1267,35,27,8
Shelby,19453,1441,1288,38,34,4
Howard,19050,1132,1032,22,18,4
Emmet,18901,1474,1322,41,39,2
Lyon,18535,1646,1574,41,37,4
Humboldt,17874,1363,1222,26,23,3
Keokuk,17808,1105,969,32,31,1
Greene,16873,886,780,11,10,1
Montgomery,15922,1165,1030,38,36,2
Worth,15550,851,751,8,7,1
Clarke,15296,1159,999,24,22,2
Pocahontas,15280,936,850,22,22,0
Audubon,15112,567,514,14,13,1
Ida,14539,1105,891,35,32,3
Adair,13495,1048,865,32,22,10
Davis,13394,1014,843,25,23,2
Decatur,12086,705,659,10,10,0
Ringgold,11493,609,547,24,18,6
Lucas,11284,855,754,23,18,5
Monroe,11191,1099,975,33,25,8
Van Buren,10401,643,551,18,15,3
Osceola,10198,838,776,17,14,3
Taylor,10120,705,659,12,10,2
Wayne,8586,622,541,23,18,5
Fremont,8537,720,643,10,8,2
Adams,6777,381,347,4,4,0
Unknown,5394,7,0,0,0,0
