County,Total Tests,Total Positive Tests,Total Recovered,Total Deaths,Underlying Cause Deaths,Contributing Factor Deaths
Polk,788141,68076,58105,649,569,80
Linn,332046,23665,21054,344,308,36
Black Hawk,249343,19047,16232,320,294,26
Scott,245168,22423,20156,251,227,24
Johnson,239902,15999,14596,86,78,8
Dubuque,212708,15123,13355,215,195,20
Story,177052,11901,10724,48,42,6
Woodbury,164808,17047,15064,231,212,19
Dallas,144133,13141,11287,100,86,14
Pottawattamie,131631,12882,11109,178,154,24
Marshall,92570,5424,4838,79,70,9
Cerro Gordo,88889,6253,5514,98,81,17
Warren,87353,6599,5819,92,82,10
Webster,80288,5984,5207,100,84,16
Clinton,72581,6213,5543,94,79,15
Lee,66649,4609,3844,59,46,13
Des Moines,66193,5450,4698,78,65,13
Muscatine,64113,5425,4802,106,97,9
Jasper,59314,5030,4443,73,67,6
Wapello,53421,4878,4237,124,119,5
Sioux,50162,5419,5120,74,71,3
Poweshiek,49470,1698,1561,36,33,3
Boone,49321,3014,2665,35,32,3
Buena Vista,49314,5103,4258,40,36,4
Marion,47850,4078,3608,78,66,12
Washington,47025,2854,2554,51,47,4
Bremer,45127,3135,2855,63,53,10
Winneshiek,43938,2109,1967,37,32,5
Benton,42795,2863,2568,55,44,11
Plymouth,41915,4408,3966,82,74,8
Henry,41718,3264,2966,37,36,1
Hardin,41021,2139,1851,44,34,10
Fayette,40625,2038,1837,43,38,5
Carroll,40571,3120,2811,52,43,9
Tama,36379,2298,2059,72,68,4
Cedar,35527,2066,1903,23,21,2
Buchanan,35515,2157,1921,35,28,7
Mahaska,35189,2517,2256,51,46,5
Clay,34283,2308,2148,27,22,5
Iowa,33167,1606,1458,24,22,2
Delaware,33134,2234,2067,43,38,5
Butler,32845,1853,1633,36,31,5
Crawford,31169,3095,2660,43,37,6
Dickinson,30269,2731,2461,46,40,6
Jones,29828,3195,2956,57,51,6
Kossuth,29503,2398,2119,67,58,9
Clayton,29210,1857,1675,58,49,9
Floyd,29165,1865,1606,42,32,10
Jackson,29141,2424,2220,43,39,4
O'Brien,28274,2192,1948,61,56,5
Hamilton,26110,2149,1800,51,46,5
Jefferson,24818,1544,1315,35,29,6
Hancock,24509,1672,1489,34,27,7
Page,24278,2047,1934,22,20,2
Allamakee,24272,1652,1502,52,42,10
Madison,23597,1880,1656,19,15,4
Mills,23528,1858,1613,24,21,3
Franklin,23422,1455,1240,23,21,2
Cherokee,23365,1757,1573,39,31,8
Harrison,23165,1995,1741,74,70,4
Cass,22970,1533,1350,55,49,6
Sac,22886,1442,1308,20,19,1
Wright,22728,2033,1845,40,33,7
Grundy,21411,1508,1357,34,28,6
Calhoun,21328,1525,1407,13,12,1
Guthrie,20943,1367,1216,32,26,6
Palo Alto,20822,1229,1122,24,23,1
Appanoose,20371,1502,1227,49,44,5
Mitchell,20180,1398,1240,43,40,3
Louisa,20120,1429,1258,49,42,7
Winnebago,20110,1614,1425,31,26,5
Monona,19912,942,831,32,30,2
Chickasaw,19763,1368,1243,17,14,3
Union,19390,1389,1267,35,27,8
Shelby,19096,1419,1284,38,34,4
Howard,18804,1122,1032,22,18,4
Emmet,18704,1464,1323,41,39,2
Lyon,18386,1628,1573,41,37,4
Keokuk,17624,1083,969,32,31,1
Humboldt,17608,1346,1204,26,23,3
Greene,16427,867,778,11,10,1
Montgomery,15702,1158,1022,38,36,2
Worth,15371,839,749,8,7,1
Pocahontas,15153,930,849,22,22,0
Clarke,15098,1130,997,24,22,2
Audubon,14893,561,515,14,13,1
Ida,14168,1094,885,35,32,3
Adair,13358,1043,856,32,22,10
Davis,13012,979,833,25,23,2
Decatur,11830,698,651,10,10,0
Ringgold,11366,591,544,24,18,6
Lucas,11091,846,752,23,18,5
Monroe,11090,1085,954,33,25,8
Van Buren,10128,625,551,18,15,3
Osceola,10059,831,776,17,14,3
Taylor,9986,698,659,12,10,2
Fremont,8452,703,642,10,8,2
Wayne,8350,613,538,23,18,5
Adams,6657,376,343,4,4,0
Unknown,5257,14,0,0,0,0
