"","date","Adair","Adams","Allamakee","Appanoose","Audubon","Benton","Black.Hawk","Boone","Bremer","Buchanan","Buena.Vista","Butler","Calhoun","Carroll","Cass","Cedar","Cerro.Gordo","Cherokee","Chickasaw","Clarke","Clay","Clayton","Clinton","Crawford","Dallas","Davis","Decatur","Delaware","Des.Moines","Dickinson","Dubuque","Emmet","Fayette","Floyd","Franklin","Fremont","Greene","Grundy","Guthrie","Hamilton","Hancock","Hardin","Harrison","Henry","Howard","Humboldt","Ida","Iowa","Jackson","Jasper","Jefferson","Johnson","Jones","Keokuk","Kossuth","Lee","Linn","Louisa","Lucas","Lyon","Madison","Mahaska","Marion","Marshall","Mills","Mitchell","Monona","Monroe","Montgomery","Muscatine","O.Brien","Osceola","Page","Palo.Alto","Pending.Investigation","Plymouth","Pocahontas","Polk","Pottawattamie","Poweshiek","Ringgold","Sac","Scott","Shelby","Sioux","Story","Tama","Taylor","Union","Van.Buren","Wapello","Warren","Washington","Wayne","Webster","Winnebago","Winneshiek","Woodbury","Worth","Wright"
"1","2020-07-31","20","15","147","40","28","127","2953","226","179","103","1782","106","81","174","40","116","567","97","48","172","168","91","280","707","1736","49","20","83","137","369","1460","178","75","106","208","33","37","71","124","237","109","155","89","109","47","86","29","84","131","448","75","1868","119","28","76","87","1979","377","41","98","93","133","144","1370","75","76","89","66","42","798","115","77","69","74","3","432","113","9445","1146","136","21","79","1544","154","583","1086","533","93","67","29","823","501","284","15","684","71","74","3617","56","439"
"2","2020-08-01","  20","  15"," 149","  40","  28"," 130","2971"," 227"," 182"," 105","1782"," 111","  81"," 175","  42"," 117"," 574","  97","  48"," 178"," 168","  95"," 294"," 708","1752","  49","  21","  86"," 144"," 371","1489"," 178","  77"," 109"," 211","  34","  38","  72"," 125"," 237"," 114"," 161","  92"," 110","  47","  87","  29","  88"," 134"," 450","  75","1887"," 122","  30","  77","  89","2008"," 378","  42","  99","  96"," 134"," 147","1375","  77","  76","  90","  66","  42"," 809"," 116","  77","  69","  74","   5"," 439"," 113","9538","1171"," 141","  21","  79","1563"," 156"," 588","1093"," 534","  93","  67","  29"," 827"," 510"," 285","  15"," 699","  71","  77","3627","  59"," 439"
