"Date","Adair","Adams","Allamakee","Appanoose","Audubon","Benton","Black.Hawk","Boone","Bremer","Buchanan","Buena.Vista","Butler","Calhoun","Carroll","Cass","Cedar","Cerro.Gordo","Cherokee","Chickasaw","Clarke","Clay","Clayton","Clinton","Crawford","Dallas","Davis","Decatur","Delaware","Des.Moines","Dickinson","Dubuque","Emmet","Fayette","Floyd","Franklin","Fremont","Greene","Grundy","Guthrie","Hamilton","Hancock","Hardin","Harrison","Henry","Howard","Humboldt","Ida","Iowa","Jackson","Jasper","Jefferson","Johnson","Jones","Keokuk","Kossuth","Lee","Linn","Louisa","Lucas","Lyon","Madison","Mahaska","Marion","Marshall","Mills","Mitchell","Monona","Monroe","Montgomery","Muscatine","O.Brien","Osceola","Page","Palo.Alto","Plymouth","Pocahontas","Polk","Pottawattamie","Poweshiek","Ringgold","Sac","Scott","Shelby","Sioux","Story","Tama","Taylor","Union","Unknown","Van.Buren","Wapello","Warren","Washington","Wayne","Webster","Winnebago","Winneshiek","Woodbury","Worth","Wright"
"2022-03-29",0,0,9,1,0,7,49,2,4,2,-2,8,2,0,1,5,10,1,3,1,3,4,7,1,34,1,2,8,6,1,22,3,2,5,5,-1,0,4,2,2,0,1,0,6,3,1,3,-1,0,2,1,50,6,0,0,5,78,1,1,3,5,1,5,10,6,5,-1,-1,2,1,3,0,3,2,3,6,79,30,5,2,3,15,1,4,30,6,0,1,-10,1,6,11,3,1,1,2,8,8,0,2
"2022-04-05",0,1,5,6,0,11,48,4,4,8,6,5,2,10,6,3,15,2,5,4,2,14,9,7,43,1,0,5,6,3,31,1,5,10,0,2,23,-3,1,3,3,6,6,6,3,0,5,12,-1,3,8,140,5,9,1,11,154,1,3,2,3,6,43,14,4,1,3,6,1,15,7,2,7,3,4,2,194,36,5,4,1,53,5,-1,30,5,0,0,-11,2,10,15,15,0,6,4,4,26,-1,2
"2022-04-12",0,0,3,3,5,10,53,9,9,8,3,1,2,4,3,5,11,3,5,2,0,5,16,0,55,1,1,10,17,3,31,2,6,4,2,22,6,1,1,2,3,4,2,3,0,0,7,8,3,6,6,185,7,22,0,8,129,5,2,6,7,2,8,8,8,5,0,0,1,12,5,1,4,0,1,8,199,25,4,1,1,53,5,6,25,8,0,1,-20,1,15,9,36,1,7,5,12,12,2,0
"2022-04-20",0,0,1,1,9,10,62,18,8,7,4,4,1,5,3,7,15,5,3,1,7,8,16,0,48,3,4,9,12,2,51,0,0,2,-1,3,0,5,2,-2,3,5,5,8,3,-1,11,8,6,7,29,222,9,-2,4,1,165,5,1,6,5,7,7,4,2,27,1,3,2,16,2,1,0,0,2,5,272,31,20,1,7,69,2,-3,36,26,-1,2,5,-2,3,15,15,2,13,5,13,19,5,0
"2022-04-20",4,2,5,11,4,19,99,16,19,11,-2,11,1,9,0,12,25,4,6,1,9,4,32,3,73,2,0,8,15,1,80,4,6,6,7,0,2,6,2,-1,2,6,3,7,11,19,9,7,8,17,14,369,21,25,2,11,255,5,0,4,13,14,13,20,6,8,1,0,1,30,5,2,1,4,4,4,391,40,49,1,7,84,0,1,61,24,1,3,1,1,7,18,9,1,11,9,26,19,12,6
"2022-04-27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022-04-20",-4,-2,-5,-11,-4,-19,-99,-16,-19,-11,2,-11,-1,-9,0,-12,-25,-4,-6,-1,-9,-4,-32,-3,-73,-2,0,-8,-15,-1,-80,-4,-6,-6,-7,0,-2,-6,-2,1,-2,-6,-3,-7,-11,-19,-9,-7,-8,-17,-14,-369,-21,-25,-2,-11,-255,-5,0,-4,-13,-14,-13,-20,-6,-8,-1,0,-1,-30,-5,-2,-1,-4,-4,-4,-391,-40,-49,-1,-7,-84,0,-1,-61,-24,-1,-3,-1,-1,-7,-18,-9,-1,-11,-9,-26,-19,-12,-6
"2022-04-20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022-04-26",4,2,5,11,4,19,99,16,19,11,-2,11,1,9,0,12,25,4,6,1,9,4,32,3,73,2,0,8,15,1,80,4,6,6,7,0,2,6,2,-1,2,6,3,7,11,19,9,7,8,17,14,369,21,25,2,11,255,5,0,4,13,14,13,20,6,8,1,0,1,30,5,2,1,4,4,4,391,40,49,1,7,84,0,1,61,24,1,3,1,1,7,18,9,1,11,9,26,19,12,6
"19102",-4,-2,-5,-11,-4,-19,-99,-16,-19,-11,2,-11,-1,-9,0,-12,-25,-4,-6,-1,-9,-4,-32,-3,-73,-2,0,-8,-15,-1,-80,-4,-6,-6,-7,0,-2,-6,-2,1,-2,-6,-3,-7,-11,-19,-9,-7,-8,-17,-14,-369,-21,-25,-2,-11,-255,-5,0,-4,-13,-14,-13,-20,-6,-8,-1,0,-1,-30,-5,-2,-1,-4,-4,-4,-391,-40,-49,-1,-7,-84,0,-1,-61,-24,-1,-3,-1,-1,-7,-18,-9,-1,-11,-9,-26,-19,-12,-6
