"","date","Adair","Adams","Allamakee","Appanoose","Audubon","Benton","Black.Hawk","Boone","Bremer","Buchanan","Buena.Vista","Butler","Calhoun","Carroll","Cass","Cedar","Cerro.Gordo","Cherokee","Chickasaw","Clarke","Clay","Clayton","Clinton","Crawford","Dallas","Davis","Decatur","Delaware","Des.Moines","Dickinson","Dubuque","Emmet","Fayette","Floyd","Franklin","Fremont","Greene","Grundy","Guthrie","Hamilton","Hancock","Hardin","Harrison","Henry","Howard","Humboldt","Ida","Iowa","Jackson","Jasper","Jefferson","Johnson","Jones","Keokuk","Kossuth","Lee","Linn","Louisa","Lucas","Lyon","Madison","Mahaska","Marion","Marshall","Mills","Mitchell","Monona","Monroe","Montgomery","Muscatine","O.Brien","Osceola","Page","Palo.Alto","Pending.Investigation","Plymouth","Pocahontas","Polk","Pottawattamie","Poweshiek","Ringgold","Sac","Scott","Shelby","Sioux","Story","Tama","Taylor","Union","Van.Buren","Wapello","Warren","Washington","Wayne","Webster","Winnebago","Winneshiek","Woodbury","Worth","Wright"
"1","2020-07-31","880","397","1955","1345","670","3108","23095","3734","3255","2690","7733","2107","1487","3147","1296","2275","7578","1609","1498","1413","2422","2074","5225","3485","15856","758","573","1998","4037","3679","19267","1455","2506","2419","1658","637","1168","1715","1657","2494","1703","2449","1495","2497","1206","1206","853","2500","2483","4489","1738","23162","2337","1019","1877","2710","30944","1767","732","985","2069","1940","3126","7904","2613","1799","1106","762","1174","6366","1642","594","1735","1380","5113","3866","1145","80775","14081","1840","692","1615","22728","1473","3921","12004","3090","834","1998","648","5425","7345","2951","442","6547","1473","2116","20503","1056","3099"
"2","2020-08-01","  886","  398"," 1970"," 1356","  688"," 3164","23293"," 3763"," 3302"," 2725"," 7749"," 2128"," 1492"," 3168"," 1320"," 2298"," 7656"," 1618"," 1512"," 1430"," 2439"," 2095"," 5312"," 3507","16006","  764","  578"," 2025"," 4096"," 3688","19447"," 1459"," 2527"," 2442"," 1679","  644"," 1176"," 1739"," 1667"," 2498"," 1720"," 2466"," 1508"," 2523"," 1217"," 1211","  858"," 2527"," 2514"," 4527"," 1753","23394"," 2368"," 1026"," 1894"," 2772","31349"," 1781","  734"," 1002"," 2097"," 1951"," 3166"," 7981"," 2636"," 1810"," 1117","  772"," 1185"," 6413"," 1664","  601"," 1748"," 1388"," 5178"," 3900"," 1146","81629","14287"," 1885","  697"," 1624","23016"," 1519"," 3992","12209"," 3111","  837"," 2014","  653"," 5488"," 7418"," 2969","  442"," 6568"," 1490"," 2135","20647"," 1065"," 3127"
