"","date","Total.Tested","positive","Recovered","deaths","hospitalized","new.hospital","ICU","Admit","RMCC6.Hospitalized","RMCC6.ICU","RMCC6.Admit","RMCC6.Leave","negative","Percent.Pos","discharged","never_hospitalized","New.Positive","New.Negative","New.Percent.Positive","Week.Positivity.Rate","Total.Daily.Tests","Still.Sick","Percent.Hospitalized","New.Deaths","Bremer.Positive","Butler.P","BlackHawk.P","Bremer.Recovered","Butler.R","BlackHawk.R","Bremer.Death","Butler.D","BlackHawk.D","Bremer.SS","Butler.SS","BlackHawk.SS","Knights.Positive","Knights.Isolation","Kights.Quarantine","TotalTested2","TotalPositive2","TotalRecovered2","TotalDeaths2","Individuals.Reported","Individuals.Positive","X","Bremer.Rep","Bremer.Pos","Black.Hawk.Rep","Black.Hawk.Pos","Butler.Rep","Butler.Pos","Bremer.Pct","Black.Hawk.Pct","Butler.Pct","State.7Day","State.14Day","Bremer.7Day","Black.Hawk.7Day","Butler.7Day","Bremer.School","Black.Hawk.School","Butler.School","Total.Tests","Individuals.Tested","Positive.Tests","Individuals.Postive","Bremer.Total.Tests","Bremer.Individuals.Tested","Bremer.Positive.Tests","Bremer.Individuals.Postive","Butler.Total.Tests","Butler.Individuals.Tested","Butler.Positive.Tests","Butler.Individuals.Postive","Black.Hawk.Total.Tests","Black.Hawk.Individuals.Tested","Black.Hawk.Positive.Tests","Black.Hawk.Individuals.Postive","np_7day","Week.Positivity","Week.Tests","Week.Deaths","Day.Total.Tests","Day.Positive.Tests","Day.Bremer.Total.Tests","Day.Bremer.Positive.Tests","wktot","nd_7day","pp_7day","P2"
"213",2020-10-16,886557,104552,80486,1521,468,-14,105,66,94,17,15,23,782005,11.7930375599087,NA,NA,1537,5922,0.206059793538008,0.199466362717923,7459,24066,1.94465220643231,16,594,333,5075,457,304,4245,7,2,96,130,27,734,8,8,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1100,7700,38603,88,NA,NA,NA,NA,7700,88,0.199466362717923,10931120704
"214",2020-10-17,893668,106047,81468,1524,461,-7,104,55,97,17,14,11,787621,11.8664873308656,NA,NA,1495,5616,0.210237659963437,0.202056582106692,7111,24579,1.87558484885471,3,605,337,5130,462,304,4281,7,2,96,136,31,753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1106,7742,38316,70,NA,NA,NA,NA,7742,70,0.202056582106692,11245966209
"215",2020-10-18,898873,107062,81781,1528,475,14,108,84,103,19,21,15,791811,11.9106926117483,NA,NA,1015,4190,0.195004803073967,0.201080642982575,5205,25281,1.8788813733634,4,611,340,5167,464,304,4286,7,2,96,140,34,785,5,5,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1063.28571428571,7443,37015,68,NA,NA,NA,NA,7443,68,0.201080642982575,11462271844
"216",2020-10-19,901734,107562,82046,1532,480,5,113,63,97,19,11,17,794172,11.9283513763482,NA,NA,500,2361,0.174764068507515,0.20168991416309,2861,25516,1.88117259758583,4,611,342,5176,465,304,4300,7,2,96,139,36,780,3,3,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1074.14285714286,7519,37280,70,NA,NA,NA,NA,7519,70,0.20168991416309,11569583844
"217",2020-10-20,905212,108176,83416,1548,501,21,122,71,106,24,19,10,797036,11.9503497523232,NA,NA,614,2864,0.176538240368028,0.201311406059965,3478,24760,2.02342487883683,16,614,344,5195,469,317,4326,8,2,96,137,25,773,5,5,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1087.71428571429,7614,37822,67,NA,NA,NA,NA,7614,67,0.201311406059965,11702046976
"218",2020-10-21,910774,109313,84604,1576,534,33,134,90,116,28,21,11,801461,12.0022091100536,NA,NA,1137,4425,0.204422869471413,0.200768065207169,5562,24709,2.16115585414222,28,625,347,5269,476,319,4345,9,2,96,140,26,828,6,6,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1097.85714285714,7685,38278,85,NA,NA,NA,NA,7685,85,0.200768065207169,11949331969
"219",2020-10-22,917195,110779,85593,1594,530,-4,135,85,124,31,29,21,806416,12.0780204863742,NA,NA,1466,4955,0.228313346830712,0.203795574454681,6421,25186,2.10434368299849,18,630,352,5314,481,319,4366,9,2,98,140,31,850,7,7,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1109.14285714286,7764,38097,89,NA,NA,NA,NA,7764,89,0.203795574454681,12271986841
"220",2020-10-23,923998,112346,86520,1617,536,6,134,78,129,28,20,15,811652,12.1586843261565,NA,NA,1567,5236,0.230339556078201,0.208167516893245,6803,25826,2.07542786339348,23,644,356,5402,486,320,4389,9,2,98,149,34,915,7,7,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1113.42857142857,7794,37441,96,NA,NA,NA,NA,7794,96,0.208167516893245,12621623716
"221",2020-10-24,931803,114462,87448,1629,545,9,130,101,122,28,26,33,817341,12.2839269673955,NA,NA,2116,5689,0.271108263933376,0.220663432542284,7805,27014,2.01747242170726,12,660,362,5498,489,323,4410,9,2,98,162,37,990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1202.14285714286,8415,38135,105,NA,NA,NA,NA,8415,105,0.220663432542284,13101549444
"222",2020-10-25,936811,115775,87711,1634,541,-4,119,85,112,23,21,31,821036,12.3584159451586,NA,NA,1313,3695,0.262180511182109,0.229664188939849,5008,28064,1.92773660205245,5,669,373,5561,490,329,4415,9,2,98,170,42,1048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1244.71428571429,8713,37938,106,NA,NA,NA,NA,8713,106,0.229664188939849,13403850625
"223",2020-10-26,939205,116350,87970,1635,561,20,129,73,112,23,13,13,822855,12.3881367752514,NA,NA,575,1819,0.240183792815372,0.234528035013744,2394,28380,1.97674418604651,1,672,378,5575,491,332,4422,9,2,98,172,44,1055,7,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1255.42857142857,8788,37471,103,NA,NA,NA,NA,8788,103,0.234528035013744,13537322500
"224",2020-10-27,944005,117619,89402,1657,564,3,128,78,124,25,25,13,826386,12.459573837003,NA,NA,1269,3531,0.264375,0.243420204676101,4800,28217,1.99879505262785,22,677,384,5650,500,336,4452,9,2,98,168,46,1100,10,10,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1349,9443,38793,109,NA,NA,NA,NA,9443,109,0.243420204676101,13834229161
"225",2020-10-28,948490,119187,90406,1679,596,32,136,113,132,27,26,18,829303,12.5659732838512,NA,NA,1568,2917,0.349609810479376,0.261798706119419,4485,28781,2.07081060421806,22,691,389,5756,508,338,4489,9,3,101,174,48,1166,13,13,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1410.57142857143,9874,37716,103,NA,NA,NA,NA,9874,103,0.261798706119419,14205540969
"226",2020-10-29,956356,121742,91376,1691,605,9,135,113,135,28,30,27,834614,12.7297784507025,NA,NA,2555,5311,0.324815662344266,0.279946885932433,7866,30366,1.9923598761773,12,707,402,5910,511,345,4511,9,3,102,187,54,1297,11,11,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1566.14285714286,10963,39161,97,NA,NA,NA,NA,10963,97,0.279946885932433,14821114564
"227",2020-10-30,963686,124358,92261,1705,606,1,152,95,143,42,29,21,839328,12.9044107728036,NA,NA,2616,4714,0.356889495225102,0.302660753880266,7330,32097,1.88802691840359,14,728,410,6042,513,347,4530,9,3,102,206,60,1410,12,12,64,NA,NA,NA,NA,NA,NA,0.216746333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1716,12012,39688,88,NA,NA,NA,NA,12012,88,0.302660753880266,15464912164
"228",2020-10-31,971195,127111,93181,1714,630,24,153,99,171,49,40,12,844084,13.0881028011882,NA,NA,2753,4756,0.366626714609136,0.321105808285946,7509,33930,1.85676392572944,9,757,420,6212,518,348,4551,9,3,102,230,69,1559,10,10,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1807,12649,39392,85,NA,NA,NA,NA,12649,85,0.321105808285946,16157206321
"229",2020-11-01,979817,130042,93507,1716,676,46,164,128,176,50,37,32,849775,13.2720701926992,NA,NA,2931,5691,0.339944328462074,0.331744407757057,8622,36535,1.85028055289448,2,781,435,6415,520,348,4555,9,3,102,252,84,1758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2038.14285714286,14267,43006,82,NA,NA,NA,NA,14267,82,0.331744407757057,16910921764
"230",2020-11-02,983754,131372,93807,1733,718,42,156,108,183,48,29,22,852382,13.3541515460166,NA,NA,1330,2607,0.337820675641351,0.337201732923298,3937,37565,1.91135365366698,17,798,438,6468,523,351,4567,9,3,103,266,84,1798,9,9,51,NA,NA,NA,NA,NA,NA,0.212745098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2146,15022,44549,98,NA,NA,NA,NA,15022,98,0.337201732923298,17258602384
"231",2020-11-03,987737,132989,95411,1755,730,12,170,92,198,54,31,16,854748,13.4640091441345,NA,NA,1617,2366,0.40597539543058,0.351458885941645,3983,37578,1.94262600457715,22,833,455,6541,532,371,4624,9,3,104,292,81,1813,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.255231359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2195.71428571429,15370,43732,98,NA,NA,NA,NA,15370,98,0.351458885941645,17686074121
"232",2020-11-04,994459,135931,96621,1779,777,47,182,164,216,58,55,37,858528,13.6688390371046,NA,NA,2942,3780,0.437667360904493,0.364245469773108,6722,39310,1.97659628593233,24,876,478,6725,532,377,4669,9,3,106,335,98,1950,11,11,74,NA,NA,NA,NA,NA,NA,0.234593475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2392,16744,45969,100,NA,NA,NA,NA,16744,100,0.364245469773108,18477236761
"233",2020-11-05,1002772,139605,97927,1801,839,62,188,156,227,60,43,32,863167,13.9219084697219,NA,NA,3674,4639,0.441958378443402,0.384845742847294,8313,41678,2.01305244973367,22,911,492,6920,549,378,4718,10,3,106,352,111,2096,10,10,79,NA,NA,NA,NA,NA,NA,0.245418049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2551.85714285714,17863,46416,110,NA,NA,NA,NA,17863,110,0.384845742847294,19489556025
"234",2020-11-06,1012646,143860,99178,1814,912,73,188,164,246,43,51,32,868786,14.2063465416345,NA,NA,4255,5619,0.430929714401458,0.398325163398693,9874,44682,2.04109037196186,13,966,522,7130,561,392,4770,10,3,107,395,127,2253,12,12,73,NA,NA,NA,NA,NA,NA,0.276994163,NA,53,485,158,49,34,0.61627907,0.325773196,0.310126582,0.252465483,0.24652616,0.61627907,0.325773196,0.693877551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2786,19502,48960,109,NA,NA,NA,NA,19502,109,0.398325163398693,20695699600
"235",2020-11-07,1021619,148246,100343,1828,949,37,194,165,204,30,42,84,873373,14.5108890887895,NA,NA,4386,4587,0.488799732530926,0.419145644930985,8973,47903,1.98108677953364,14,1021,539,7319,567,405,4816,10,3,107,444,131,2396,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.284148788,NA,14,231,65,29,14,0.237288136,0.281385281,0.446153846,0.258028673,0.252199413,0.462068966,0.311452514,0.615384615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3019.28571428571,21135,50424,114,NA,NA,NA,NA,21135,114,0.419145644930985,21976876516
"236",2020-11-08,1029894,152117,100708,1842,992,43,190,181,269,39,59,-6,877777,14.7701608126662,NA,NA,3871,4404,0.467794561933535,0.440821135451405,8275,51409,1.92962321772452,14,1053,554,7528,566,405,4824,11,3,108,476,146,2596,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.283206707,NA,20,362,109,34,9,0.289855072,0.301104972,0.311926606,0.262344778,0.25687747,0.406542056,0.307977737,0.508928571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3153.57142857143,22075,50077,126,NA,NA,NA,NA,22075,126,0.440821135451405,23139581689
"237",2020-11-09,1040914,156816,101036,1845,1034,42,184,152,276,33,44,37,884098,15.0652215264662,NA,NA,4699,6321,0.426406533575318,0.445136459062281,11020,55780,1.85371100752958,3,1129,596,7750,568,430,4834,11,3,108,550,163,2808,20,20,89,NA,NA,NA,NA,NA,NA,0.27588785,NA,37,375,100,41,17,0.327433628,0.266666667,0.41,0.270281052,0.260195759,0.379204893,0.297315898,0.483660131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3634.85714285714,25444,57160,112,NA,NA,NA,NA,25444,112,0.445136459062281,24591257856
"238",2020-11-10,1049802,161248,102887,1872,1135,101,196,166,297,32,33,12,888554,15.359848809585,NA,NA,4432,4456,0.498649864986499,0.455312978329171,8888,58361,1.94479189869947,27,1171,620,7902,584,431,4896,12,3,110,575,186,2896,26,26,134,NA,NA,NA,NA,NA,NA,0.291767174,NA,37,402,129,58,21,0.430232558,0.320895522,0.449612403,0.274828965,0.264445542,0.389830508,0.302425876,0.450236967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4037,28259,62065,117,NA,NA,NA,NA,28259,117,0.455312978329171,26000917504
"239",2020-11-11,1059705,166021,104213,1898,1190,55,210,230,311,40,55,41,893684,15.6667185679033,NA,NA,4773,5130,0.481975159042714,0.46117769671704,9903,61808,1.92531711105359,26,1249,654,8210,589,432,4944,12,3,110,648,219,3156,33,33,140,NA,NA,NA,NA,NA,NA,0.293073765,NA,38,403,137,62,17,0.383838384,0.339950372,0.452554745,0.279717831,0.267203327,0.388671875,0.309123118,0.41025641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4298.57142857143,30090,65246,119,NA,NA,NA,NA,30090,119,0.46117769671704,27562972441
"240",2020-11-12,1068253,170338,105356,1927,1208,18,215,207,323,44,52,40,897915,15.9454735909939,NA,NA,4317,4231,0.505030416471689,0.469342251950948,8548,64982,1.8589763319073,29,1285,679,8384,598,432,4996,12,3,112,675,244,3276,38,38,169,NA,NA,NA,NA,NA,NA,0.292454835,NA,31,336,115,27,15,0.281818182,0.342261905,0.234782609,0.284688507,0.269909791,0.36977492,0.313415574,0.423333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4390.42857142857,30733,65481,126,NA,NA,NA,NA,30733,126,0.469342251950948,29015034244
"241",2020-11-13,1079246,175425,106492,1947,1227,19,240,213,319,44,43,47,903821,16.2544035372844,NA,NA,5087,5906,0.462749022104976,0.473948948948949,10993,68933,1.77998926493842,20,1341,699,8593,603,434,5038,12,3,112,726,262,3443,35,35,161,NA,NA,NA,NA,NA,NA,0.288345381,NA,34,455,140,40,15,0.382022472,0.307692308,0.285714286,0.286835591,0.275449754,0.3376,0.310062402,0.371134021,0.308,0.264,0.223,NA,1079246,NA,175425,18418,NA,NA,1341,13814,NA,NA,699,106361,NA,NA,8593,4509.28571428571,31565,66600,133,NA,NA,NA,NA,31565,133,0.473948948948949,30773930625
"242",2020-11-14,1089765,180251,107593,1972,1261,34,246,217,327,48,56,48,909514,16.5403550306717,NA,NA,4826,5693,0.458788858256488,0.469653391248202,10519,72658,1.73552809050621,25,1423,738,8866,610,434,5075,12,3,113,801,301,3678,NA,NA,NA,NA,NA,NA,NA,10519,4826,0.285308136,NA,36,343,108,39,11,0.4,0.314868805,0.361111111,0.286822748,0.2765857,0.355182927,0.313153961,0.348837209,0.301,0.264,0.23,NA,1089765,NA,180251,18508,NA,NA,1423,13854,NA,NA,738,106816,NA,NA,8866,4572.14285714286,32005,68146,144,NA,NA,90,NA,32005,144,0.469653391248202,32490423001
"243",2020-11-15,1100077,184684,107880,1985,1279,18,247,208,336,52,60,51,915393,16.7882793658989,NA,NA,4433,5879,0.42988750969744,0.464029750794352,10312,76804,1.66527785011197,13,1485,767,9060,610,434,5086,12,3,115,863,330,3859,NA,NA,NA,NA,NA,NA,NA,10312,4433,0.253283652,NA,25,453,105,54,22,0.23364486,0.231788079,0.514285714,0.282072897,0.274401425,0.342939481,0.301409469,0.367601246,0.293,0.259,0.238,NA,1100077,NA,184684,18615,NA,NA,1485,13893,NA,NA,767,107159,NA,NA,9060,4652.42857142857,32567,70183,143,NA,NA,107,NA,32567,143,0.464029750794352,34108179856
"244",2020-11-16,1105462,187001,108175,1989,1392,113,271,243,347,51,47,36,918461,16.9160948092291,NA,NA,2317,3068,0.430269266480966,0.467636487575138,5385,78826,1.76591479968538,4,1511,774,9143,612,434,5094,12,3,116,887,337,3933,34,34,124,NA,NA,NA,NA,5385,2317,0.268077045,NA,29,310,90,35,10,0.298969072,0.290322581,0.388888889,0.281730491,0.27677183,0.339233038,0.304959289,0.352380952,0.301,0.259,0.235,NA,1105462,NA,187001,18712,NA,NA,1511,13947,NA,NA,774,107612,NA,NA,9143,4312.14285714286,30185,64548,144,NA,NA,97,NA,30185,144,0.467636487575138,34969374001
"245",2020-11-17,1114058,190580,109929,2023,1510,118,288,215,374,58,60,33,923478,17.106829267417,NA,NA,3579,5017,0.416356444858074,0.456486553784861,8596,80651,1.87226444805396,34,1549,793,9309,622,439,5182,12,3,118,915,351,4009,41,41,130,NA,NA,NA,NA,8596,3579,0.243733268,NA,20,292,77,38,10,0.281690141,0.26369863,0.493506494,0.275386434,0.275126264,0.321266968,0.297839506,0.338983051,0.294,0.254,0.228,NA,1114058,NA,190580,18783,NA,NA,1549,13982,NA,NA,793,107922,NA,NA,9309,4190.28571428571,29332,64256,151,NA,NA,71,NA,29332,151,0.456486553784861,36320736400
"246",2020-11-18,1123441,194464,111285,2064,1527,17,283,234,383,58,71,62,928977,17.3096762535816,NA,NA,3884,5499,0.413940104444208,0.446262708673277,9383,83179,1.83579990141743,41,1594,809,9523,630,441,5252,12,3,122,952,365,4149,35,35,126,NA,NA,NA,NA,9383,3884,0.263008631,NA,19,328,78,32,5,0.306451613,0.237804878,0.41025641,0.27177985,0.275593011,0.309904153,0.283273739,0.332075472,0.293,0.25,0.225,NA,1123441,NA,194464,18845,NA,NA,1594,14020,NA,NA,809,108214,NA,NA,9523,4063.28571428571,28443,63736,166,NA,NA,62,NA,28443,166,0.446262708673277,37816247296
"247",2020-11-19,1133850,198641,112777,2102,1516,-11,286,233,373,51,62,72,935209,17.5191603827667,NA,NA,4177,6232,0.401287347487751,0.431467902495541,10409,85864,1.76558278207398,38,1620,829,9624,642,442,5345,12,3,124,966,384,4155,31,31,129,NA,NA,NA,NA,10409,4177,0.235714941,NA,20,392,98,44,11,0.273972603,0.25,0.448979592,0.26292233,0.273578302,0.310696095,0.27050136,0.29787234,0.289,0.244,0.289,NA,1133850,NA,198641,18918,NA,NA,1620,14052,NA,NA,829,108542,NA,NA,9624,4043.28571428571,28303,65597,175,NA,NA,73,NA,28303,175,0.431467902495541,39458246881
"248",2020-11-20,1144660,203023,114293,2127,1447,-69,275,207,346,49,56,83,941637,17.7365331190048,NA,NA,4382,6428,0.40536540240518,0.421897453144587,10810,88730,1.63079003719148,25,1688,865,9911,650,448,5431,12,3,125,1026,414,4355,36,36,123,NA,NA,NA,NA,10810,4382,0.233685891,NA,34,419,90,41,15,0.409638554,0.214797136,0.455555556,0.254628023,0.270117238,0.313893654,0.254631454,0.296819788,0.286,0.237,0.225,NA,1144660,NA,203023,19001,NA,NA,1688,14096,NA,NA,865,108934,NA,NA,9911,3942.57142857143,27598,65414,180,NA,NA,83,NA,27598,180,0.421897453144587,41218338529
"249",2020-11-21,1153797,206648,115732,2159,1416,-31,273,200,351,47,52,47,947149,17.9102563102522,NA,NA,3625,5512,0.396738535624384,0.41224700149925,9137,90916,1.55748163139601,32,1714,876,10044,662,448,5506,12,3,125,1040,425,4413,NA,NA,NA,NA,NA,NA,NA,9137,3625,0.235745406,NA,13,419,100,37,8,0.224137931,0.238663484,0.37,0.245900123,0.266673244,0.290381125,0.244163796,0.288256228,0.279,0.23,0.215,NA,1153797,NA,206648,19059,NA,NA,1714,14137,NA,NA,876,109353,NA,NA,10044,3771,26397,64032,187,NA,NA,58,NA,26397,187,0.41224700149925,42703395904
"250",2020-11-22,1162482,210055,116307,2192,1340,-76,255,186,314,41,37,74,952427,18.069527098054,NA,NA,3407,5278,0.392285549798503,0.406553962022274,8685,93748,1.4293638264283,33,1749,891,10175,664,448,5537,12,3,126,1073,440,4512,NA,NA,NA,NA,NA,NA,NA,8685,3407,0.226300784,NA,16,370,68,29,6,0.23880597,0.183783784,0.426470588,0.241996068,0.263157101,0.295499022,0.237549407,0.25390625,0.278,0.227,0.213,NA,1162482,NA,210055,19126,NA,NA,1749,14174,NA,NA,891,109772,NA,NA,10175,3624.42857142857,25371,62405,207,NA,NA,67,NA,25371,207,0.406553962022274,44123103025
"251",2020-11-23,1167506,211718,116805,2202,1333,-7,273,135,309,50,36,41,955788,18.1342108734345,NA,NA,1663,3361,0.331011146496815,0.398378570047063,5024,94913,1.40444406983237,10,1760,894,10209,669,451,5568,12,3,126,1079,440,4515,21,21,75,NA,NA,NA,NA,5024,1663,0.213682678,NA,14,166,29,20,5,0.5,0.174698795,0.689655172,0.236295345,0.259458368,0.307692308,0.226320201,0.248962656,0.276,0.222,0.205,NA,1167506,NA,211718,19154,NA,NA,1760,14203,NA,NA,894,110142,NA,NA,10209,3531,24717,62044,213,NA,NA,28,NA,24717,213,0.398378570047063,44824511524
"252",2020-11-24,1177279,215569,119681,2222,1351,18,275,165,313,53,39,35,961710,18.3107827456363,NA,NA,3851,5922,0.394044817353934,0.395264231821705,9773,95888,1.40893542466211,20,1830,913,10413,704,452,5738,12,4,127,1114,457,4548,20,20,61,NA,NA,NA,NA,9773,3851,0.222194791,NA,22,404,78,34,7,0.275,0.193069307,0.435897436,0.233511162,0.254666583,0.305986696,0.216573259,0.240506329,0.266,0.204,0.187,NA,1177279,NA,215569,19234,NA,NA,1830,14223,NA,NA,913,110308,NA,NA,10413,3569.85714285714,24989,63221,199,NA,NA,80,NA,24989,199,0.395264231821705,46469993761
"253",2020-11-25,1185848,218943,122048,2271,1305,-46,269,198,313,47,42,42,966905,18.4629901977319,NA,NA,3374,5195,0.393744894386743,0.392247664524813,8569,96895,1.34681872129625,49,1881,950,10600,722,453,5875,12,5,131,1147,492,4594,15,15,48,NA,NA,NA,NA,8569,3374,0.219896749,NA,21,245,51,22,8,0.313432836,0.208163265,0.431372549,0.228082335,0.250417639,0.307017544,0.212836439,0.264317181,0.269,0.197,0.194,NA,1185848,NA,218943,19301,NA,NA,1881,14257,NA,NA,950,110712,NA,NA,10600,3497,24479,62407,207,NA,NA,67,NA,24479,207,0.392247664524813,47936037249
"254",2020-11-26,1194529,222278,124521,2312,1269,-36,271,193,308,43,44,49,972251,18.6080036566714,NA,NA,3335,5346,0.384172330376685,0.389541686580201,8681,97757,1.29811675890218,41,1907,964,10724,742,453,6030,12,6,132,1153,505,4562,9,9,35,NA,NA,NA,NA,8681,3335,0.220730028,NA,9,292,46,25,8,0.173076923,0.157534247,0.543478261,0.225621575,0.245233983,0.296551724,0.199568035,0.274038462,0.261,0.195,0.199,NA,1194529,NA,222278,19353,NA,NA,1907,14279,NA,NA,964,110957,NA,NA,10724,3376.71428571429,23637,60679,210,NA,NA,52,NA,23637,210,0.389541686580201,49407509284
"255",2020-11-27,1197769,223538,127349,2349,1226,-43,256,183,289,42,41,60,974231,18.662864041397,NA,NA,1260,1980,0.388888888888889,0.386281044644034,3240,96189,1.27457401573985,37,1915,977,10736,780,457,6242,12,6,134,1123,514,4360,NA,NA,NA,NA,NA,NA,NA,3240,1260,0.215650591,NA,10,243,54,26,10,0.238095238,0.222222222,0.481481481,0.223170225,0.240316771,0.266497462,0.199158485,0.269430052,0.252,0.184,0.194,NA,1197769,NA,223538,19395,NA,NA,1915,14304,NA,NA,977,111249,NA,NA,10736,2930.71428571429,20515,53109,222,NA,NA,42,NA,20515,222,0.386281044644034,49969237444
