County,Total Tests,Total Positive Tests,Total Recovered,Total Deaths,Underlying Cause Deaths,Contributing Factor Deaths
Polk,1071445,96893,79757,853,750,103
Linn,470785,38364,31754,439,394,45
Scott,333788,31831,26522,310,279,31
Johnson,332856,23064,19669,116,106,10
Black Hawk,329800,25959,21629,397,360,37
Dubuque,294270,22195,18366,260,237,23
Story,225830,15703,13773,61,53,8
Woodbury,216980,23334,20266,281,258,23
Dallas,194738,18251,15269,119,104,15
Pottawattamie,174926,19093,15733,244,212,32
Marshall,131363,7550,6607,94,83,11
Cerro Gordo,124400,9540,7937,133,114,19
Warren,120156,9913,8377,111,101,10
Webster,110659,8250,7222,128,107,21
Clinton,102037,9577,7778,119,102,17
Lee,94581,6787,5830,109,93,16
Des Moines,88332,8020,7021,110,96,14
Muscatine,87118,7618,6547,119,110,9
Jasper,79624,7243,6131,91,82,9
Wapello,73968,7568,6299,157,150,7
Boone,68883,4532,3862,44,40,4
Washington,68139,4450,3855,67,63,4
Marion,67968,6282,5515,102,86,16
Sioux,65865,6730,6033,78,74,4
Bremer,65465,4510,3889,74,64,10
Poweshiek,65404,2768,2345,46,42,4
Buena Vista,62568,5964,4971,49,44,5
Benton,61081,4815,3979,62,49,13
Fayette,59721,3263,2796,57,50,7
Hardin,59092,3314,2798,55,42,13
Henry,58935,4636,4195,56,52,4
Winneshiek,56178,3065,2549,44,37,7
Plymouth,52814,5503,4799,90,82,8
Carroll,51624,4122,3621,57,45,12
Cedar,50806,3058,2629,27,25,2
Buchanan,50619,3650,3019,44,37,7
Tama,48787,3200,2721,80,76,4
Iowa,47941,2657,2270,36,34,2
Mahaska,47484,4144,3575,69,62,7
Clay,46696,3249,2925,38,33,5
Delaware,45485,3337,2890,61,53,8
Butler,45034,2680,2280,47,40,7
Jones,41548,4584,3991,67,60,7
Floyd,41500,3016,2519,53,42,11
Clayton,40696,2935,2425,63,54,9
Kossuth,40559,3333,2823,80,71,9
Jackson,39619,3822,3048,49,44,5
Crawford,38628,4007,3497,49,43,6
Dickinson,38307,3570,3102,60,52,8
Jefferson,38020,2736,2202,44,36,8
O'Brien,37725,2849,2346,67,61,6
Hamilton,36807,2996,2551,60,53,7
Page,34583,2978,2699,38,33,5
Cass,34162,2590,2269,71,65,6
Hancock,33616,2529,2114,41,33,8
Cherokee,33464,2440,2059,50,38,12
Mills,32593,2672,2192,30,26,4
Franklin,32384,2149,1804,35,32,3
Madison,31815,2706,2327,25,21,4
Allamakee,31534,2364,1979,57,47,10
Harrison,30220,2820,2272,83,78,5
Calhoun,30065,2147,1948,20,19,1
Appanoose,29996,2486,1989,58,52,6
Wright,29927,2953,2627,54,45,9
Sac,29690,1968,1691,27,25,2
Mitchell,29372,2111,1786,46,42,4
Grundy,29108,2094,1796,37,31,6
Guthrie,28620,1918,1660,40,32,8
Winnebago,28550,2590,2138,41,35,6
Palo Alto,28306,1691,1469,32,31,1
Chickasaw,27944,2156,1783,23,19,4
Union,27829,2283,1890,44,35,9
Louisa,27717,2039,1732,54,47,7
Monona,26721,1411,1202,41,38,3
Shelby,26108,2223,1928,44,40,4
Howard,25636,1719,1454,24,20,4
Lyon,25273,2224,2022,44,40,4
Keokuk,24693,1704,1474,41,40,1
Emmet,24182,2039,1731,47,44,3
Humboldt,23435,2097,1814,33,28,5
Greene,23166,1413,1258,18,17,1
Worth,22057,1398,1213,10,9,1
Montgomery,22040,1809,1585,48,45,3
Clarke,21390,1830,1583,31,29,2
Audubon,20184,868,737,18,17,1
Pocahontas,19982,1349,1184,25,25,0
Davis,19895,1429,1219,26,23,3
Ida,18759,1549,1266,42,38,4
Adair,16957,1458,1115,43,32,11
Decatur,16356,1165,1013,16,16,0
Lucas,15857,1387,1225,28,22,6
Monroe,15719,1600,1400,43,32,11
Van Buren,15352,1091,911,24,21,3
Ringgold,15324,874,752,31,25,6
Osceola,14690,1142,1031,18,15,3
Taylor,14274,1103,988,19,17,2
Wayne,13559,1004,817,26,20,6
Fremont,11134,1114,965,16,12,4
Adams,9360,665,569,11,9,2
Unknown,6901,43,0,0,0,0
