RECIP_ADDRESS_COUNTY,Vaccinations Completed,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19153,242703,230113,12590
19161,4066,3732,334
19027,9954,8961,993
19013,60263,54973,5290
19171,7878,7092,786
19151,2735,2528,207
19193,39887,35428,4459
19129,5770,5497,273
19163,70458,65352,5106
19075,5990,5528,462
19145,6175,5670,505
19021,9289,6338,2951
19169,48619,45956,2663
19049,46394,44088,2306
19015,13278,12556,722
19017,11878,10847,1031
19107,3706,3413,293
19127,18988,16452,2536
19187,15846,14524,1322
19019,8773,8166,607
19077,4921,4594,327
19181,23308,22027,1281
19165,5384,5168,216
19103,86624,81933,4691
19029,5951,5600,351
19113,116731,108580,8151
19039,3816,3120,696
19041,6671,6292,379
19069,4197,3834,363
19099,16652,15101,1551
19033,20568,18931,1637
19043,6855,6288,567
19111,12492,10994,1498
19157,8565,8123,442
19125,13360,11252,2108
19045,18657,17271,1386
19047,6819,5514,1305
19083,7423,6516,907
19155,36455,34358,2097
19167,11368,9735,1633
19061,50015,48317,1698
19195,2973,2797,176
19081,4181,3728,453
19059,8024,7767,257
19139,19548,15751,3797
19091,3762,3412,350
19009,2638,2490,148
19037,5098,4424,674
19087,8216,6678,1538
19191,10028,9161,867
19185,2053,1888,165
19079,7281,6620,661
19023,6734,6315,419
19131,4094,3903,191
19007,4509,4101,408
19175,4856,4605,251
19065,8440,7886,554
19057,14734,13863,871
19197,5676,4780,896
19085,5309,4960,349
19183,9747,9060,687
19071,2518,2321,197
19135,2817,2507,310
19159,2025,1987,38
19121,6784,6465,319
19109,6315,5776,539
19031,8798,8139,659
19051,2522,2369,153
19011,11492,10607,885
19133,3608,3392,216
19101,6878,6174,704
19117,3065,2682,383
19149,10237,8171,2066
19105,9798,8790,1008
19147,3600,3382,218
19143,2200,2000,200
19189,4363,3789,574
19141,5578,5071,507
19003,1515,1458,57
19173,2254,2184,70
19067,6474,5978,496
19123,7300,6527,773
19073,4029,3524,505
19035,4787,4433,354
19179,12980,10680,2300
19025,4574,4243,331
19001,2863,2546,317
19089,3647,3194,453
19097,8212,7845,367
19005,5219,5003,216
19053,2433,2208,225
19063,3706,3396,310
19137,4257,3738,519
19095,7991,7318,673
19177,2239,2044,195
19055,7190,6362,828
19115,4299,3281,1018
19093,2612,2216,396
19119,3399,3234,165
,44,38,6
