County,Total Tests,Total Positive Tests,Total Recovered,Total Deaths,Underlying Cause Deaths,Contributing Factor Deaths
Polk,759858,66137,57821,644,565,79
Linn,320056,22831,20921,342,306,36
Scott,237116,21825,20075,250,226,24
Black Hawk,235442,18087,15843,316,292,24
Johnson,231216,15592,14535,86,78,8
Dubuque,207501,14898,13311,213,195,18
Story,172254,11547,10698,48,42,6
Woodbury,158139,16592,15002,230,211,19
Dallas,138986,12753,11251,99,85,14
Pottawattamie,127820,12410,11054,177,153,24
Marshall,89539,5293,4798,77,69,8
Cerro Gordo,85597,6064,5465,97,80,17
Warren,84960,6422,5782,92,82,10
Webster,74920,5598,5056,95,80,15
Clinton,70621,6105,5535,93,79,14
Des Moines,62762,5123,4618,74,62,12
Muscatine,61492,5249,4785,106,97,9
Lee,60703,4133,3780,58,45,13
Jasper,57474,4869,4422,73,67,6
Wapello,51439,4732,4220,123,118,5
Sioux,49029,5367,5105,74,71,3
Poweshiek,48439,1667,1554,36,33,3
Buena Vista,48036,5005,4245,40,36,4
Boone,47228,2885,2655,34,31,3
Marion,46036,3876,3586,77,65,12
Washington,45367,2770,2543,51,47,4
Bremer,43757,3053,2828,62,52,10
Winneshiek,43080,2082,1942,35,30,5
Benton,41293,2793,2542,55,44,11
Plymouth,41087,4360,3953,82,74,8
Henry,40183,3161,2956,37,36,1
Carroll,39572,3069,2803,52,43,9
Fayette,39229,1965,1822,43,38,5
Hardin,38531,2034,1842,44,34,10
Tama,35303,2263,2051,72,68,4
Buchanan,34485,2072,1908,34,27,7
Cedar,34339,2015,1900,23,21,2
Mahaska,33911,2424,2237,51,46,5
Clay,33275,2285,2142,27,22,5
Iowa,31914,1544,1456,24,22,2
Butler,31698,1764,1624,35,31,4
Delaware,31674,2160,2064,43,38,5
Crawford,30332,2951,2648,41,35,6
Dickinson,29655,2699,2459,45,39,6
Jones,29041,3144,2952,57,51,6
Jackson,28479,2394,2217,42,39,3
Kossuth,28457,2299,2110,66,57,9
Floyd,28293,1826,1599,42,32,10
Clayton,27905,1812,1665,57,48,9
O'Brien,27815,2167,1950,61,56,5
Hamilton,24984,2039,1779,51,46,5
Hancock,23725,1620,1468,34,27,7
Jefferson,23568,1470,1310,35,29,6
Allamakee,23331,1609,1488,52,42,10
Page,23243,2017,1929,22,20,2
Madison,22942,1813,1644,19,15,4
Mills,22735,1805,1607,24,21,3
Cherokee,22672,1715,1563,38,30,8
Harrison,22667,1949,1737,73,69,4
Sac,22322,1412,1307,20,19,1
Franklin,22046,1377,1219,23,21,2
Wright,22003,1951,1820,40,33,7
Cass,21986,1483,1336,55,49,6
Grundy,20662,1470,1350,33,27,6
Guthrie,20272,1324,1209,32,26,6
Palo Alto,20240,1208,1117,24,23,1
Calhoun,20160,1473,1377,13,12,1
Mitchell,19564,1384,1230,43,40,3
Appanoose,19539,1453,1227,49,44,5
Monona,19524,919,817,31,29,2
Winnebago,19469,1566,1416,31,26,5
Louisa,19194,1373,1253,49,42,7
Chickasaw,19138,1326,1237,17,14,3
Union,18700,1376,1261,35,27,8
Emmet,18376,1448,1321,41,39,2
Shelby,18358,1370,1269,38,34,4
Howard,18174,1104,1029,22,18,4
Lyon,17880,1617,1558,41,37,4
Keokuk,17048,1065,950,32,31,1
Humboldt,16775,1280,1182,26,23,3
Greene,15963,841,775,11,10,1
Montgomery,15314,1139,1014,38,36,2
Worth,14856,799,745,8,7,1
Pocahontas,14661,914,844,22,22,0
Clarke,14627,1086,990,24,22,2
Audubon,14228,547,514,12,11,1
Ida,13434,1036,881,35,32,3
Adair,13071,1016,848,32,22,10
Davis,12253,935,833,25,23,2
Decatur,11374,665,629,9,9,0
Ringgold,10921,581,536,24,18,6
Monroe,10621,1034,945,33,25,8
Lucas,10323,799,750,23,18,5
Osceola,9847,815,776,17,14,3
Taylor,9573,691,659,12,10,2
Van Buren,9524,592,550,18,15,3
Fremont,8167,683,637,10,8,2
Wayne,7927,602,528,23,18,5
Unknown,6309,6,0,0,0,0
Adams,6271,356,333,4,4,0
