date	Total Tested	positive	Recovered	deaths	hospitalized	new hospital	ICU	Admit	RMCC6-Hospitalized	RMCC6-ICU	RMCC6-Admit	RMCC6-Leave	negative	Percent Pos	discharged	never_hospitalized	New Positive	New Negative	New Percent Positive	Week Positivity Rate	Total Daily Tests	Still Sick	Percent Hospitalized	New Deaths	Bremer Positive	Butler P	BlackHawk P	Bremer Recovered	Butler R	BlackHawk R	Bremer Death	Butler D	BlackHawk D	Bremer SS	Butler SS	BlackHawk SS	Knights Positive	Knights Isolation	Kights Quarantine	TotalTested2	TotalPositive2	TotalRecovered2	TotalDeaths2	New Positive Tests	Individuals Reported	Individuals Positive		Bremer Rep	Bremer Pos	Black Hawk Rep	Black Hawk Pos	Butler Rep	Butler Pos	Bremer Pct	Black Hawk Pct	Butler Pct	State 7Day	State 14Day	Bremer 7Day	Black Hawk 7Day	Butler 7Day	Bremer School	Black Hawk School	Butler School	Total Tests	Positive Tests	PCR Individuals	Antigen Individuals	Positive PCR Individuals	Positive Antigen Individuals	Individuals Tested	Individuals Postive	Bremer Total Tests	Bremer Positive Tests	Bremer PCR Individuals	Bremer Antigen Individuals	Bremer Positive PCR Individuals	Bremer Positive Antigen Individuals	Bremer Individuals Tested	Bremer Individuals Postive	Butler Total Tests	Butler Positive Tests	Butler PCR Individuals	ButlerAntigen Individuals	Positive Butler PCR Individuals	Positive ButlerAntigen Individuals	Butler Individuals Tested	Butler Individuals Postive	Black Hawk Total Tests	Black Hawk Positive Tests	BH PCR Individuals	BH Antigen Individuals	Positive BH PCR Individuals	Positive BH Antigen Individuals		
2021-06-09	1773559	372239	363060	6078	85		18	16	20	5	4	1	1401320	21%			130	1633	7.4%	6.6%	1763	3101	3%	5	2877	1659	15992	2781	1610	15511	60	35	310	36	14	171									7721	169	0.021888356	74	5	521	23	37	-2	0.067567568	0.044145873	-0.054054054	0.018901467	0.019135985	0.037174721	0.046227056	0.011235955				5099173	402747	1476752	296807	306918	65321	1773559	372239	41884	3014	9543	3449	2219	659	12992	2878	30888	1751	5576	1877	1194	465	7453	1659	226003	17495	69011	5345	15145	863	74356	16008
2021-06-10	1774522	372286	363281	6084	74		19	13	25	7	6	1	1402236	21%			47	916	4.9%	6.6%	963	2921	3%	6	2878	1659	16008	2783	1612	15518	60	35	310	35	12	180									4298	67	0.015588646	27	-1	201	3	13	1	-0.037037037	0.014925373	0.076923077	0.018527056	0.019467534	0.019230769	0.046184739	0.012738854				5103471	402814	1477610	296912	306957	65329	1774522	372286	41911	3013	9546	3451	2218	659	12997	2877	30901	1752	5576	1880	1194	465	7456	1659	226204	17498	69075	5331	15150	863	74406	16013
2021-06-11	1775675	372376	363481	6095	73		18	12	28	7	8	5	1403299	21%			90	1063	7.8%	6.6%	1153	2800	3%	11	2877	1659	16020	2789	1613	15526	60	35	311	28	11	183									5116	75	0.014659891	78	-1	191	23	27	0	-0.012820513	0.120418848	0	0.018815901	0.018523536	0.020761246	0.058823529	-0.007142857				5108587	402889	1478498	297177	307031	65345	1775675	372376	41989	3012	9549	3455	2218	659	13004	2877	30928	1752	5585	1876	1194	465	7461	1659	226395	17521	69112	5337	15169	865	74449	16034
2021-06-12	1777671	372516	363693	6097	81		19	19	32	7	7	3	1405155	21%			140	1856	7.0%	6.7%	1996	2726	3%	2	2877	1659	16033	2790	1613	15531	60	35	311	27	11	191									7472	190	0.025428266	34	5	406	21	104	-2	0.147058824	0.051724138	-0.019230769	0.019826627	0.019494768	0.028776978	0.053211009	-0.004608295				5116059	403079	1480215	297456	307151	65365	1777671	372516	42023	3017	9560	3458	2218	659	13018	2877	31032	1750	5598	1877	1194	465	7475	1659	226801	17542	69232	5341	15189	864	74573	16053
2021-06-13	1778410	372571	363766	6099	82		18	13	30	7	4	6	1405839	21%			55	684	7.4%	6.8%	739	2706	3%	2	2877	1659	16053	2790	1613	15536	60	35	312	27	11	205									2524	46	0.01822504	3	-7	72	17	6	3	-2.333333333	0.236111111	0.5	0.019614711	0.019520107	0.010989011	0.061538462	0				5118583	403125	1480897	297513	307197	65374	1778410	372571	42026	3010	9560	3458	2218	659	13018	2877	31038	1753	5590	1876	1194	465	7466	1659	226873	17559	69266	5343	15202	864	74609	16066
2021-06-14	1779146	372625	363863	6102	81		20	15	28	8	5	7	1406521	21%			54	682	7.3%	6.7%	736	2660	3%	3	2877	1659	16066	2791	1615	15540	60	35	312	26	9	214									2155	66	0.03062645	16	3	108	1	7	0	0.1875	0.009259259	0	0.019279327	0.019265113	0.014440433	0.05558987	0				5120738	403191	1481602	297544	307246	65379	1779146	372625	42042	3013	9564	3461	2218	659	13025	2877	31045	1753	5590	1878	1195	465	7468	1660	226981	17560	69300	5343	15207	864	74643	16071
2021-06-15	1780117	372715	364207	6102	86		21	21	28	8	8	8	1407402	21%			90	881	9.3%	7.3%	971	2406	4%	0	2877	1660	16075	2797	1615	15547	60	35	312	20	10	216									4063	166	0.04085651	24	-3	97	12	14	1	-0.125	0.12371134	0.071428571	0.023359021	0.02106158	0.00390625	0.062656642	0.004807692				5124801	403357	1482385	297732	307318	65397	1780117	372715	42066	3010	9566	3466	2220	359	13032	2579	31059	1754	5595	1880	1195	465	7475	1660	227078	17572	69326	5347	15215	864	74673	16079
2021-06-16	1781339	372804	364405	6103	83		22	13	29	7	6	5	1408535	21%			89	1133	7.3%	7.3%	1222	2296	4%	1	2877	1660	16075	2800	1615	15557	60	35	312	17	10	206									4932	91	0.018450933	51	6	232	25	30	1	0.117647059	0.107758621	0.033333333	0.022938482	0.020694366	0.008583691	0.078041316	0.019900498				5129733	403448	1483376	297963	307398	65406	1781339	372804	42117	3016	9572	3476	2223	659	13048	2882	31089	1755	5595	1886	1196	465	7481	1661	227310	17597	69377	5358	15237	865	74735	16102
2021-06-17	1782924	372894	364611	6109	75		18	10	30	8	5	4	1410030	21%			90	1495	5.7%	7.2%	1585	2174	3%	6	2877	1660	16075	2800	1615	15557	60	35	312	17	10	206									7052	125	0.017725468	63	0	297	15	38	-2	0	0.050505051	-0.052631579	0.022783214	0.020611585	0.011152416	0.081254455	0.004424779				5136785	403573	1484646	298278	307477	65417	1782924	372894	42180	3016	9577	3476	2222	659	13053	2881	31127	1753	5602	1887	1197	465	7489	1662	227607	17612	69439	5375	15249	865	74814	16114
2021-06-18	1784094	372964	364757	6109	68		17	14	26	7	4	8	1411130	21%			70	1100	6.0%	7.0%	1170	2098	3%	0	2881	1662	16114	2799	1615	15570	61	35	312	21	12	232									4833	68	0.014069936	42	7	208	7	31	0	0.166666667	0.033653846	0	0.022766492	0.020792004	0.0472103	0.069014085	0.004347826				5141618	403641	1485669	298425	307535	65429	1784094	372964	42222	3023	9593	3478	2224	659	13071	2883	31158	1753	5607	1891	1197	465	7498	1662	227815	17619	69491	5373	15261	865	74864	16126
2021-06-19	1785160	373043	364941	6109	68		17	13	23	5	2	5	1412117	21%			79	987	7.4%	7.0%	1066	1993	3%	0	2883	1662	16126	2800	1618	15582	61	35	312	22	9	232									5164	91	0.017621998	107	-2	394	17	18	2	-0.018691589	0.043147208	0.111111111	0.021254435	0.02050286	0.013071895	0.066761364	0.034722222				5146782	403732	1486492	298668	307595	65448	1785160	373043	42329	3021	9597	3483	2225	659	13080	2884	31176	1755	5611	1892	1198	465	7503	1663	228209	17636	69514	5404	15272	867	74918	16139
2021-06-20	1785965	373100	365018	6112	65		15	14	24	5	5	4	1412865	21%			57	748	7.1%	7.0%	805	1970	3%	3	2884	1663	16139	2800	1618	15590	61	35	312	23	10	237									2648	62	0.023413897	11	-3	116	18	3	1	-0.272727273	0.155172414	0.333333333	0.021687684	0.020596864	0.025477707	0.065426997	0.021276596				5149430	403794	1487289	298676	307654	65446	1785965	373100	42340	3018	9601	3487	2225	659	13088	2884	31179	1756	5612	1891	1198	465	7503	1663	228325	17654	69565	5402	15292	867	74967	16159
2021-06-21	1786442	373130	365083	6114	54		14	6	18	5	2	8	1413312	21%			30	447	6.3%	6.9%	477	1933	3%	2	2884	1663	16159	2801	1618	15590	61	35	312	22	10	257									1822	45	0.024698134	4	4	64	8	3	-1	1	0.125	-0.333333333	0.021236154	0.020209732	0.029801325	0.072443182	0.01459854				5151252	403839	1487764	298678	307684	65446	1786442	373130	42344	3022	9602	3487	2227	659	13089	2886	31182	1755	5613	1891	1198	465	7504	1663	228389	17662	69584	5404	15296	867	74988	16163
2021-06-22	1787272	373186	365294	6114	62		15	11	21	5	3	0	1414086	21%			56	774	6.7%	6.6%	830	1778	3%	0	2886	1663	16163	2802	1619	15611	61	35	312	23	9	240									3484	70	0.020091848	48	-1	194	11	23	3	-0.020833333	0.056701031	0.130434783	0.018439953	0.021032172	0.033742331	0.067109635	0.02739726				5154736	403909	1488468	298804	307734	65452	1787272	373186	42392	3021	9606	3493	2227	660	13099	2887	31205	1758	5617	1892	1199	466	7509	1665	228583	17673	69632	5406	15309	868	75038	16177
2021-06-23	1788804	373310	365447	6117	69		21	19	24	6	7	4	1415494	21%			124	1408	8.1%	6.8%	1532	1746	4%	3	2887	1665	16180	2803	1620	15621	61	35	312	23	10	247									6126	161	0.026281423	127	6	328	30	44	-1	0.047244094	0.091463415	-0.022727273	0.019981368	0.021446287	0.027363184	0.06620862	0.0125				5160862	404070	1489792	299012	307833	65477	1788804	373310	42519	3027	9611	3499	2228	660	13110	2888	31249	1757	5624	1896	1199	466	7520	1665	228911	17703	69695	5414	15330	868	75109	16198
2021-06-24	1789811	373372	365552	6120	57		20	7	21	20	2	5	1416439	21%			62	945	6.2%	6.9%	1007	1700	3%	3	2888	1665	16198	2804	1620	15628	61	35	312	23	10	258									5003	62	0.012392564	32	-2	258	14	33	2	-0.0625	0.054263566	0.060606061	0.019222834	0.021123826	0.02425876	0.067221511	0.038709677				5165865	404132	1490646	299165	307896	65476	1789811	373372	42551	3025	9612	3504	2229	660	13116	2889	31282	1759	5627	1899	1199	466	7526	1665	229169	17717	69731	5433	15344	869	75164	16213
2021-06-25	1790663	373428	365656	6124	46		18	2	18	7	1	4	1417235	21%			56	796	6.6%	7.1%	852	1648	3%	4	2889	1665	16213	2804	1621	15630	62	35	312	23	9	271									3534	104	0.02942841	80	4	149	22	16	-3	0.05	0.147651007	-0.1875	0.021417516	0.022150234	0.014669927	0.079840319	0.021428571				5169399	404236	1491388	299275	307948	65480	1790663	373428	42631	3029	9616	3506	2228	661	13122	2889	31298	1756	5631	1899	1199	466	7530	1665	229318	17739	69786	5431	15361	869	75217	16230
2021-06-26	1791932	373519	365744	6125	56		20	18	19	7	6	5	1418413	21%			91	1178	7.2%	7.0%	1269	1650	3%	1	2889	1665	16228	2806	1621	15634	62	35	312	21	9	282									6492	66	0.010166359	127	-2	850	17	22	3	-0.015748031	0.02	0.136363636	0.019581573	0.020440567	0.013986014	0.061255743	0.027777778				5175891	404302	1492455	299477	308025	65494	1791932	373519	42758	3027	9614	3509	2228	661	13123	2889	31320	1759	5637	1899	1199	466	7536	1665	230168	17756	69786	5504	15379	870	75290	16249
2021-06-27	1792539	373568	365780	6131	63		21	19	26	6	9	2	1418971	21%			49	558	8.1%	7.1%	607	1657	4%	6	2889	1665	16249	2806	1621	15633	62	35	314	21	9	302									1872	111	0.059294872	10	1	196	17	8	1	0.1	0.086734694	0.125	0.021847316	0.021764109	0.023364486	0.058361942	0.026845638				5177763	404413	1493026	299513	308066	65502	1792539	373568	42768	3028	9618	3508	2229	661	13126	2890	31328	1760	5636	1900	1200	466	7536	1666	230364	17773	69851	5506	15390	870	75357	16260
2021-06-28	1793110	373613	365821	6133	67		23	15	30	8	6	2	1419497	21%			45	526	7.9%	7.2%	571	1659	4%	2	2890	1666	16260	2806	1621	15637	62	35	315	22	10	308									1921	33	0.017178553	6	2	87	7	7	-1	0.333333333	0.08045977	-0.142857143	0.021349184	0.021290673	0.018604651	0.057225994	0.026143791				5179684	404446	1493587	299523	308108	65505	1793110	373613	42774	3030	9620	3507	2229	661	13127	2890	31335	1759	5637	1899	1201	466	7536	1667	230451	17780	69862	5510	15394	871	75372	16265
2021-06-29	1794228	373706	365848	6133	66		18	12	30	6	4	4	1420522	21%			93	1025	8.3%	7.5%	1118	1725	4%	0	2890	1667	16265	2807	1621	15640	62	35	315	21	11	310									5282	99	0.0187429	114	1	217	20	21	1	0.00877193	0.092165899	0.047619048	0.021038703	0.019745699	0.02016129	0.060911271	0.013245033				5184966	404545	1494456	299772	308190	65516	1794228	373706	42888	3031	9628	3511	2229	661	13139	2890	31356	1760	5641	1902	1201	466	7543	1667	230668	17800	69899	5527	15411	871	75426	16282
2021-06-30	1795400	373823	365989	6134	70		21	12	29	6	2	3	1421577	21%			117	1055	10.0%	7.8%	1172	1700	4%	1	2890	1667	16282	2808	1622	15651	62	35	315	20	10	316									5091	161	0.031624435	142	-2	378	15	46	-2	-0.014084507	0.03968254	-0.043478261	0.021784552	0.020854055	0.003913894	0.052459016	0.006535948				5190057	404706	1495449	299951	308279	65544	1795400	373823	43030	3029	9628	3519	2230	661	13147	2891	31402	1758	5641	1905	1201	466	7546	1667	231046	17815	69939	5547	15422	871	75486	16293
2021-07-01	1796536	373942	366097	6138	71		23	13	29	7	5	5	1422594	21%			119	1017	10.5%	8.5%	1136	1707	4%	4	2891	1667	16293	2809	1622	15661	62	35	315	20	10	317									5102	82	0.016072129	142	6	331	17	36	4	0.042253521	0.051359517	0.111111111	0.022393664	0.020814061	0.01610306	0.052083333	0.019230769				5195159	404788	1496356	300180	308376	65566	1796536	373942	43172	3035	9634	3524	2230	664	13158	2894	31438	1762	5642	1911	1202	467	7553	1669	231377	17832	70005	5556	15442	871	75561	16313
2021-07-02	1797491	374038	366197	6140	72		19	9	29	4	2	2	1423453	21%			96	859	10.1%	8.9%	955	1701	4%	2	2894	1669	16313	2809	1622	15671	62	35	316	23	12	326									4698	112	0.023839932	70	-3	420	16	24	1	-0.042857143	0.038095238	0.041666667	0.021800512	0.021617816	0.004909984	0.043969342	0.042682927				5199857	404900	1497051	300440	308450	65588	1797491	374038	43242	3032	9639	3524	2230	664	13163	2894	31462	1763	5646	1909	1202	467	7555	1669	231797	17848	70053	5560	15455	871	75613	16326
2021-07-03	1798414	374114	366285	6142	74		19	13	29	5	6	6	1424300	21%			76	847	8.2%	9.2%	923	1687	4%	2	2894	1669	16326	2810	1622	15678	62	35	316	22	12	332									4307	111	0.025771999	58	1	296	22	19	1	0.017241379	0.074324324	0.052631579	0.025076929	0.02228922	0.011070111	0.059220779	0.031055901				5204164	405011	1497760	300654	308503	65611	1798414	374114	43300	3033	9644	3523	2232	663	13167	2895	31481	1764	5646	1910	1202	467	7556	1669	232093	17870	70096	5566	15465	872	75662	16337
2021-07-04	1799087	374175	366327	6146	72		19	10	29	5	4	4	1424912	21%			61	612	9.1%	9.3%	673	1702	4%	4	2895	1669	16337	2810	1622	15681	62	35	316	23	12	340									2227	79	0.035473731	7	2	110	8	13	-3	0.285714286	0.072727273	-0.230769231	0.023648177	0.02275241	0.012987013	0.057096248	0.006024096				5206391	405090	1498392	300695	308556	65619	1799087	374175	43307	3035	9645	3523	2232	663	13168	2895	31494	1761	5652	1910	1203	467	7562	1670	232203	17878	70122	5564	15479	872	75686	16351
2021-07-05	1799409	374198	366327	6146	78		22	13	27	5	4	6	1425211	21%			23	299	7.1%	9.3%	322	1725	5%	0	2895	1670	16351	2813	1622	15687	62	35	316	20	13	348									1087	7	0.006439742	6	0	31549	1	2	4	0	3.16967E-05	2	0.023422321	0.022373991	0.009276438	0.002972884	0.037267081				5207478	405097	1498721	300688	308580	65618	1799409	374198	43313	3035	9646	3523	2233	663	13169	2896	31496	1765	5653	1910	1205	467	7563	1672	263752	17879	70144	5563	15480	872	75707	16352
2021-07-06	1799958	374253	366489	6146	76		24	8	26	5	2	3	1425705	21%			55	494	10.0%	9.5%	549	1618	5%	0	2896	1672	16352	2814	1622	15700	62	35	316	20	15	336									2081	62	0.029793369	9	-3	-31366	8	9	1	-0.333333333	-0.000255053	0.111111111	0.024966454	0.022800649	0.002304147	0.050640279	0.040268456				5209559	405159	1499251	300707	308621	65632	1799958	374253	43322	3032	9649	3523	2233	663	13172	2896	31505	1766	5654	1910	1205	467	7564	1672	232386	17887	70172	5565	15491	872	75737	16363
2021-07-07	1800984	374320	366482	6148	85		25	12	24	7	1	3	1426664	21%			67	959	6.5%	9.1%	1026	1690	5%	2	2896	1672	16363	2814	1622	15700	62	35	316	20	15	347									4439	102	0.022978148	64	3	458	23	38	1	0.046875	0.050218341	0.026315789	0.023181989	0.022414182	0.016853933	0.052836485	0.063829787				5213998	405261	1500083	300901	308676	65644	1800984	374320	43386	3035	9656	3525	2233	663	13181	2896	31543	1767	5657	1913	1206	467	7570	1673	232844	17910	70239	5565	15509	873	75804	16382
2021-07-08	1801504	374381	366566	6149	80		26	16	24	8	2	2	1427123	21%			61	459	11.7%	9.1%	520	1666	5%	1	2896	1673	16382	2824	1621	15749	62	35	316	10	17	317									2311	42	0.018173951	18	-1	92	3	6	0	-0.055555556	0.032608696	0	0.024349882	0.023213861	-0.004310345	0.051956382	0.045045045				5216309	405303	1500404	301100	308704	65677	1801504	374381	43404	3034	9665	3531	2243	665	13196	2908	31549	1767	5654	1915	1202	468	7569	1670	232936	17913	70290	5568	15545	877	75858	16422
2021-07-09																												2824	1621		62	35	316																																																															
2021-07-10	1803507	374627	366744	6149	78		22	15					1428880	21%			246	1757	12.3%	9.8%	2003	1734	4%	0	2910	1670	16478	2824	1621	15794	62	35	316	24	14	368									8825	296	0.033541076	159	13	497512	35915	58	-7	0.081761006	0.072189214	-0.120689655	0.028040057	0.026338769	0.053231939	0.072153385	-0.031746032				5225134	405599	1502024	301483	308887	65740	1803507	374627	43563	3048	9671	3531	2244	666	13202	2910	31607	1760	5654	1920	1202	468	7574	1670	233760	18002	70367	5578	15583	876	75945	16459
2021-07-11					79		20	19																	2912	1670	16489	2824	1622	15801	62	35	316	26	13	372																																																												
2021-07-12	1803507	374627	366744	6149	74		18	9					1428880																		62	35	316																																																															
2021-07-13	1807222	375076	367052	6149	77		22	15	16	7	5		1432146	21%			449	3266	12.1%	11.3%	3715	1875	4%	0	2915	1671	16519	2828	1622	15829	62	35	316	25	14	374																																																												
2021-07-14																															62	35	316																																																															
2021-07-15	1809767	375474	367181	6158									1434293	21%			398	2147	15.6%	13.1%	2545	2135	0%	9	2919	1672	16553	2829	1623	15856	62	35	316	28	14	381																																																												
2021-07-16	1808471	375278	367127	6158	71		24	17	14	5	4		1433193	21%			-196	-1100	15.1%	12.9%	-1296	1993	4%	0	2920	1673	16581	2831	1624	15864	62	35	316	27	14	401																																																												
2021-07-17	1812055	375859	367308	6158	84	5	22	23					1436196	21%			385	1903	16.8%	13.9%	2288	2393	4%	0	2921	1674	16606	2833	1624	15880	62	35	316	26	15	410																																																												
2021-07-18	1812651	375960	367340	6158	88	4	23	16					1436691	21%			101	495	16.9%	14.5%	596	2462	4%	0	2921	1674	16615	2833	1624	15887	62	35	316	26	15	412																																																												
2021-07-19	1813360	376101	367376	6158	88		23	13					1437259	21%			141	568	19.9%	14.9%	709	2567	3%	0	2922	1675	16630	2834	1624	15897	62	35	316	26	16	417																																																												
2021-07-20	1814783	376350	367482	6158	95	7	27	18					1438433	21%			249	1174	17.5%	15.3%	1423	2710	4%	0	2924	1677	16662	2835	1625	15920	62	35	316	27	17	426																																																												
2021-07-21	1816265	376674	367558	6158	101	6	31	26	17	6	2		1439591	21%			324	1158	21.9%	18.1%	1482	2958	3%	0	2927	1678	16680	2836	1625	15935	62	35	316	29	18	429																																																												
2021-07-22					106		39	23	15	6	2	4													2927	1678	16680	2836	1625	15935	62	35	316												53842	2239	0.041584637	478	17	501543	36247	241	5	0.035564854	0.072270972	0.020746888									5278976	407838	1512653	303622	310505	66168	1816275	376673	44041	3065	9733	3545	2259	668	13278	2927	31848	1772	5683	1931	1207	471	7614	1678	237791	18245	71026	5647	15800	880	76673	16680
2021-07-28	1826331	378831	368102	6170	157	56	54	34	17	5	1	-1	1447500	21%			2157	7909	21.4%	20.7%	10066	4559	3%	12	2946	1691	16850	2842	1628	16030	63	35	319	41	28	501																																																												
2021-08-02	1826330	378831	368095	6183	158		40	30	16	6	2	3	1447499	21%			0	-1	0.0%	20.3%	-1	4553	3%	13	2946	1691	16850	2842	1628	16030	63	35	319	41	28	501									39341	2328	0.059174907	282	19	504712	36675	171	14	0.067375887	0.072665203	0.081871345									5318317	410166	1520705	305625	312177	66654	1826330	378831	44323	3084	9799	3556	2276	670	13355	2946	32019	1786	5722	1942	1219	472	7664	1691	240960	18430	71524	5671	15959	891	77195	16850
2021-08-04	1838685	382401	368613	6193	201	44	54	34					1456284	21%			3570	8784	28.9%	24.6%	12354	7595	3%	10	2969	1719	17114	2844	1632	16110	63	35	320	62	52	684									53445	3822	0.07151277	336	28	508258	37157	310	27	0.083333333	0.073106572	0.087096774									5371762	413988	1529873	308811	314928	67473	1838684	382401	44659	3112	9853	3570	2293	673	13423	2966	32329	1813	5754	1977	1230	489	7731	1719	244506	18727	72095	5760	16218	896	77855	17114
2021-08-05					201		56	44	39	9	14																																																																																					
2021-08-06					214		61	47	46	7	8	1																																																																																				
2021-08-10					336		93	70	62	16	10	-6																																																																																				
2021-08-11	1854609	387273	369547	6210	355	141	103	62	74	19	18	6	1467336	21%			4872	11052	30.6%	27.6%	15924	11516	3%	17	2992	1756	17408	2855	1633	16232	63	36	320	74	87	856									69659	5250	0.075367146	468	23	513095	37774	516	40	0.049145299	0.073619895	0.07751938									5441421	419238	1541795	312813	318584	68689	1854608	387273	45127	3135	9928	3597	2308	684	13525	2992	32845	1853	5843	1967	1257	499	7810	1756	249343	19047	72841	5836	16503	905	78677	17408
2021-08-17					401		103	63	109	19	13	-22																																																																																				
2021-08-18	1871216	392970	370993	6226	396		99	64	115	22	17	11	1478246	21%			5697	10910	34.3%	31.5%	16607	15751	3%	16	3023	1793	17762	2862	1641	16362	63	36	324	98	116	1076									79001	6125	0.077530664	661	34	517544	38485	459	39	0.051437216	0.074360827	0.08496732									5520422	425363	1553703	317513	322974	69996	1871216	392970	45788	3169	9993	3670	2328	695	13663	3023	33304	1892	5854	2028	1277	516	7882	1793	253792	19438	73637	5891	16848	914	79528	17762
2021-08-24					483		133	81	108	18	17	24																																																																																				
2021-08-25	1890758	400082	373249	6268	498		133	89	108	20	22	22	1490676	21%			7112	12430	36.4%	34.0%	19542	20565	2%	42	3077	1827	18159	2886	1654	16533	64	36	328	127	137	1298									172239	13744	0.079796097	1543	87	522885	38907	944	75	0.056383668	0.074408331	0.079449153									5613660	432982	1567512	323246	328341	71741	1890758	400082	46670	3222	10107	3722	2366	711	13829	3077	33789	1928	5905	2050	1301	526	7955	1827	259133	19860	74499	6085	17233	926	80584	18159
2021-08-31					548		149	76	131	24	18																										2	2	3																																																									
2021-09-01	1912356	408390	376954	6307	524		143	79	131	24	18	18	1503966	21%			8308	13290	38.5%	35.3%	21598	25129	2%	39	3131	1847	18512	2904	1683	16807	65	36	330	162	128	1375	2	2	3						195774	16526	0.084413661	1734	107	527424	39670	1032	57	0.061707036	0.075214628	0.055232558									5716196	441889	1582989	329367	334523	73867	1912356	408390	47522	3276	10203	3769	2399	732	13972	3131	34336	1949	5962	2063	1313	534	8025	1847	263672	20232	75458	6123	17570	942	81581	18512
2021-09-02					527		142	100																																																																																								
2021-09-05					539		137	81																																																										448636																														
2021-09-06					555		157	78	129	27	24																																																																																					
2021-09-07	1935943	416794	380841	6337	578		158	86	138	23	20	11	1519149	22%			8404	15183	35.6%	36.3%	23587	29616	2%	30	3179	1863	18794	2926	1719	17046	65	36	332	188	108	1416	2	2	5						205537	17933	0.087249498	1640	111	531643	40425	1058	38	0.067682927	0.076037868	0.035916824									5819197	450915	1600146	335796	340657	76137	1935942	416794	48310	3333	10315	3824	2441	747	14139	3188	34847	1966	6003	2105	1322	541	8108	1863	267891	20565	76539	6164	17850	944	82703	18794
2021-09-09					554		153	77																																																										454989																														
2021-09-14	1967386	428517	386822	6401	565		158	68	119	23	13		1538869	22%			11723	19720	37.3%	37.0%	31443	35294	2%	94	3253	1888	19121	2963	1757	17441	65	36	334	225	95	1346	2	2	5																																																									
2021-09-15					578		157	95	125	26	28	22																																	242979	21487	0.088431511	2311	127	536729	41169	1044	50	0.054954565	0.076703513	0.04789272									5959175	463376	16200748	347337	348771	79746	16548085	428517	49833	3403	10456	3935	2479	774	14391	3253	35380	1999	6056	2144	1377	551	8200	1928	272977	20937	77711	6221	18170	951	83932	19121
2021-09-16					581		148	95																																																										468223																														
2021-09-19					579		158	72																																																										472681																														
2021-09-21	1998035	440680	393763	6483	636		163	124	141	37	24		1557355	22%			12163	18486	39.7%	37.7%	30649	40434	2%	82	3313	1919	19397	3017	1792	17825	65	36	338	231	91	1234								1830.5	275424	25427	0.092319478	2888	139	545296	41804	1144	59	0.048130194	0.07666295	0.051573427									6094621	476342	1642260	355774	357468	83212	1998034	440680	51198	3472	10568	3987	2518	795	14555	3313	35991	2025	6167	2145	1355	564	8312	1919	277405	21239	78938	6208	18436	961	85146	19397
2021-09-22	0	0			638		161	101	139	38	18	20													3313	1919	19397	3017	1792	17825	65	36	338	231	91	1234	1	1	1																																																									
2021-09-23				6482	642		165	108																																				2159																						480660																														
2021-09-26					641		155	80																																				1318.666667																						484616																														
2021-09-27					646		151	86	125	29	13																																																																																					
2021-09-28	2023941	451492	402525	6563	624		157	92	109	26	10	26	1572449	22%			10812	15094	41.7%	39.4%	25906	42404	1%	80	3389	1965	19654	3074	1811	18185	66	37	344	249	117	1125								1708.5	255181	15352	0.060161219	2929	150	554210	42447	1164	71	0.051212018	0.076590101	0.060996564									6214356	488033	1661111	362829	365253	86239	2023940	451492	52762	3553	10683	4036	2566	823	14719	3389	36544	2070	6229	2172	1383	582	8401	1965	281233	21510	79884	6176	18686	968	86060	19654
2021-09-30					634		149	102																																				1841.5																						491716																														
2021-10-03					629		140	78																																				1364.666667																						495810																														
2021-10-04					631		141	91	112	19	18																																																																																					
2021-10-05	2047057	461352	411045	6651	626		141	92	125	20	27	14	1585705	23%			9860	13256	42.7%	41.2%	23116	43656	1%	88	3469	2000	19873	3120	1826	18499	66	37	345	283	137	1029								1414	111178	2828	0.025436687	1362	80	566263	43253	514	40	0.058737151	0.076383235	0.077821012									6325534	498638	1676381	370676	371936	89416	2047057	461352	54124	3633	10757	4100	2611	858	14857	3469	37058	2110	6249	2242	1395	605	8491	2000	285030	21743	80154	6226	18898	975	86380	19873
2021-10-06					600																																																																																											
2021-10-07				6654	573		145	87																																				1647																						501932																														
2021-10-10					566		152	59																																				1080.333333																						505173																														
2021-10-11					600		152	78	116	22	14																																																																																					
2021-10-12	2067504	469519	423885	6748	598		150	89	120	21	16	16	1597985	23%			8167	12280	39.9%	41.5%	20447	38886	2%	94	3538	2032	20130	3205	1855	18833	67	37	355	266	140	942								1176	105325	2352	0.022330881	1235	75	574262	43771	685	32	0.060728745	0.076221307	0.046715328									6430859	507525	1690447	377057	377767	91752	2067504	469519	55359	3708	10844	4157	2660	878	15001	3538	37743	2142	6284	2290	1415	617	8574	2032	289232	22028	81275	6288	19131	999	87563	20130
2021-10-17					562		135	54																																				1044.571429																						512485																														
2021-10-18					568		142	64	112	22	16																																																																																					
2021-10-19	2085115	476426	56213	6848	557		142	59	112	20	10	10	1608689	23%			6907	10704	39.2%	40.8%	17611	413365	0%	100	3571	2066	20335	3258	1889	19096	68	38	358	245	139	881								1192.5	96169	2385	0.024800092	854	26	582501	44282	647	27	0.030444965	0.07602047	0.041731066									6527028	514870	1702191	382924	382589	93837	2085115	476426	56213	3734	10926	4188	2683	888	15114	3571	38390	2169	6289	2365	1426	640	8654	2066	293269	22254	81869	6440	19314	1021	88309	20335
2021-10-21					526		138	82																																				1264.75																						517544																														
