County,Total Positive Tests,Total Positive Cases,Total Deaths
Polk,138205,119508,1020
Linn,56782,50983,548
Johnson,37516,33279,137
Scott,44364,40054,368
Black Hawk,36554,32214,449
Dubuque,28733,25432,290
Woodbury,31781,28419,314
Story,21551,19303,79
Dallas,25664,22302,132
Pottawattamie,27260,23883,290
Marshall,10219,9248,102
Cerro Gordo,12231,10857,157
Warren,13734,12214,129
Webster,11223,10197,151
Clinton,12790,11377,139
Lee,8607,7743,133
Muscatine,10411,9418,129
Des Moines,10031,8947,126
Jasper,9413,8472,101
Wapello,9874,8838,183
Boone,5866,5344,50
Washington,6133,5560,74
Marion,8117,7430,115
Sioux,8599,7951,85
Bremer,5944,5401,79
Poweshiek,3847,3500,56
Benton,6529,5937,71
Buena Vista,7647,6394,52
Fayette,4351,3994,71
Henry,6067,5485,65
Hardin,4476,4052,58
Winneshiek,4003,3731,46
Plymouth,6921,6262,95
Buchanan,4906,4503,56
Cedar,4441,4060,30
Carroll,5411,4884,63
Iowa,3951,3635,46
Tama,4185,3790,86
Clay,4388,4040,40
Mahaska,5244,4837,84
Delaware,4292,3962,65
Butler,3467,3154,51
Floyd,3902,3472,60
Jones,5847,5386,70
Clayton,3813,3385,71
Jackson,4982,4544,66
Kossuth,4072,3730,86
Jefferson,3925,3407,50
Dickinson,4526,4098,71
O'Brien,3768,3388,70
Crawford,4951,4494,52
Hamilton,3853,3421,69
Cherokee,3276,2934,58
Cass,3169,2912,75
Page,3600,3297,42
Hancock,3119,2795,45
Mills,3769,3298,40
Allamakee,3041,2809,59
Franklin,2763,2470,40
Madison,3442,3090,34
Harrison,3772,3388,91
Appanoose,3193,2822,63
Grundy,2755,2516,40
Calhoun,2798,2570,22
Wright,3837,3578,60
Sac,2612,2363,32
Mitchell,2688,2415,49
Guthrie,2536,2312,42
Palo Alto,2184,2005,36
Chickasaw,2880,2637,30
Winnebago,3236,2913,43
Louisa,2667,2449,60
Union,2929,2678,47
Monona,1889,1686,45
Shelby,2888,2683,49
Lyon,2878,2712,48
Keokuk,2234,2020,47
Howard,2182,2013,30
Greene,1849,1697,19
Emmet,2582,2327,51
Humboldt,2830,2585,36
Montgomery,2362,2163,51
Worth,1906,1729,12
Clarke,2422,2225,34
Audubon,1189,1093,18
Davis,1727,1573,27
Pocahontas,1714,1565,27
Ida,2028,1785,47
Decatur,1595,1487,22
Adair,1786,1565,49
Van Buren,1480,1360,26
Lucas,1850,1717,31
Ringgold,1182,1116,33
Monroe,2007,1862,48
Osceola,1458,1375,20
Wayne,1338,1229,33
Taylor,1405,1296,21
Fremont,1496,1367,23
Adams,876,809,13
Unknown,83,76,0
