County,Total Tests,Total Positive Tests,Total Recovered,Total Deaths,Underlying Cause Deaths,Contributing Factor Deaths
Polk,1109164,102908,82774,872,768,104
Linn,488157,41899,33265,456,411,45
Johnson,347809,25689,20302,118,108,10
Scott,346636,34626,27774,322,290,32
Black Hawk,340579,27891,22429,406,367,39
Dubuque,302193,23202,19266,268,245,23
Story,231561,16341,14161,66,58,8
Woodbury,223959,24022,20797,287,263,24
Dallas,201712,19374,15784,123,108,15
Pottawattamie,180614,20102,16463,255,222,33
Marshall,134206,7896,6734,95,84,11
Cerro Gordo,127839,9884,8327,142,123,19
Warren,124098,10443,8730,116,106,10
Webster,115317,8846,7496,132,110,22
Clinton,105115,10045,8295,122,105,17
Lee,97567,7009,6019,112,96,16
Des Moines,90218,8252,7119,115,100,15
Muscatine,89985,8009,6717,120,111,9
Jasper,82068,7540,6361,93,84,9
Wapello,75989,7862,6588,161,154,7
Boone,70975,4746,4017,45,41,4
Washington,70960,4795,3958,69,65,4
Marion,69790,6559,5699,106,90,16
Sioux,67542,6950,6208,78,74,4
Bremer,67256,4712,4021,75,65,10
Poweshiek,66940,2922,2432,50,46,4
Buena Vista,63543,6057,5015,50,44,6
Benton,63184,5064,4217,64,51,13
Fayette,61334,3434,2894,59,52,7
Henry,60954,4818,4260,57,53,4
Hardin,60754,3463,2914,55,42,13
Winneshiek,57633,3224,2747,45,38,7
Plymouth,54264,5659,4919,92,83,9
Carroll,52798,4254,3698,57,45,12
Buchanan,52566,3808,3224,46,39,7
Cedar,52315,3271,2722,27,25,2
Tama,50015,3343,2802,80,76,4
Iowa,49704,2808,2382,36,34,2
Mahaska,48656,4303,3727,72,65,7
Clay,48175,3368,2964,40,35,5
Delaware,46828,3449,3058,64,55,9
Butler,46339,2764,2390,48,41,7
Floyd,42746,3096,2634,55,44,11
Jones,42582,4754,4169,67,60,7
Clayton,42291,3085,2574,65,56,9
Kossuth,42075,3517,2958,81,72,9
Jackson,40882,4020,3380,59,54,5
Jefferson,39811,2891,2340,44,36,8
Dickinson,39402,3714,3168,61,53,8
Crawford,39349,4118,3573,49,43,6
O'Brien,38570,2941,2475,67,61,6
Hamilton,37743,3091,2591,61,54,7
Cass,35344,2666,2322,73,66,7
Page,35190,3039,2777,39,33,6
Cherokee,34667,2549,2158,54,42,12
Hancock,34483,2596,2256,43,34,9
Mills,33521,2787,2300,31,27,4
Franklin,33185,2223,1887,35,32,3
Allamakee,32742,2487,2086,57,47,10
Madison,32691,2806,2390,26,22,4
Harrison,30966,2936,2442,84,78,6
Appanoose,30960,2584,2079,59,53,6
Wright,30922,3163,2691,54,45,9
Calhoun,30861,2229,2000,20,19,1
Sac,30403,2034,1766,28,26,2
Mitchell,30107,2196,1856,47,43,4
Grundy,30037,2168,1870,38,32,6
Guthrie,29322,1977,1714,41,33,8
Palo Alto,29289,1762,1514,33,32,1
Winnebago,29284,2668,2287,41,35,6
Chickasaw,28851,2262,1903,26,22,4
Union,28752,2377,2006,44,35,9
Louisa,28471,2138,1791,55,48,7
Monona,27302,1446,1251,41,38,3
Shelby,26631,2311,2020,46,41,5
Howard,26255,1771,1537,24,20,4
Lyon,26023,2338,2088,44,40,4
Keokuk,25775,1786,1521,44,43,1
Emmet,24827,2109,1788,49,46,3
Humboldt,24536,2282,1877,33,28,5
Greene,23885,1469,1286,18,17,1
Montgomery,22746,1855,1620,48,45,3
Worth,22667,1454,1265,10,9,1
Clarke,21997,1926,1632,31,29,2
Audubon,20818,908,780,18,17,1
Davis,20559,1488,1255,27,24,3
Pocahontas,20556,1402,1208,25,25,0
Ida,19283,1581,1347,43,39,4
Adair,17415,1516,1181,44,33,11
Decatur,16721,1212,1088,18,18,0
Lucas,16360,1449,1274,29,23,6
Van Buren,16192,1154,963,24,21,3
Monroe,16190,1632,1438,43,32,11
Ringgold,15884,900,811,31,25,6
Osceola,15107,1192,1056,19,16,3
Taylor,14599,1127,1021,20,18,2
Wayne,14194,1043,874,26,20,6
Fremont,11357,1154,999,19,15,4
Adams,9623,685,589,12,10,2
Unknown,7223,52,0,0,0,0
