"","date","Adair","Adams","Allamakee","Appanoose","Audubon","Benton","Black.Hawk","Boone","Bremer","Buchanan","Buena.Vista","Butler","Calhoun","Carroll","Cass","Cedar","Cerro.Gordo","Cherokee","Chickasaw","Clarke","Clay","Clayton","Clinton","Crawford","Dallas","Davis","Decatur","Delaware","Des.Moines","Dickinson","Dubuque","Emmet","Fayette","Floyd","Franklin","Fremont","Greene","Grundy","Guthrie","Hamilton","Hancock","Hardin","Harrison","Henry","Howard","Humboldt","Ida","Iowa","Jackson","Jasper","Jefferson","Johnson","Jones","Keokuk","Kossuth","Lee","Linn","Louisa","Lucas","Lyon","Madison","Mahaska","Marion","Marshall","Mills","Mitchell","Monona","Monroe","Montgomery","Muscatine","O.Brien","Osceola","Page","Palo.Alto","Pending.Investigation","Plymouth","Pocahontas","Polk","Pottawattamie","Poweshiek","Ringgold","Sac","Scott","Shelby","Sioux","Story","Tama","Taylor","Union","Van.Buren","Wapello","Warren","Washington","Wayne","Webster","Winnebago","Winneshiek","Woodbury","Worth","Wright"
"1","2020-07-31","16","10","130","31","15","85","2231","148","88","55","1708","83","68","144","34","83","220","81","44","128","136","63","113","672","1260","39","11","67","88","261","709","87","49","89","119","8","31","39","79","217","87","80","66","83","34","69","23","52","34","328","63","1342","65","21","35","53","1546","347","27","75","50","104","102","1040","38","66","76","45","28","691","89","62","37","46","0","317","93","6490","776","102","19","65","850","128","471","795","438","83","31","18","742","287","259","10","354","32","54","3234","21","383"
"2","2020-08-01","  16","  10"," 132","  32","  15","  88","2246"," 152","  90","  58","1709","  89","  69"," 144","  34","  84"," 221","  82","  45"," 130"," 136","  68"," 113"," 672","1269","  39","  11","  68","  88"," 261"," 719"," 102","  49","  90"," 119","  10","  31","  39","  80"," 217","  89","  81","  68","  83","  35","  72","  23","  52","  36"," 334","  63","1363","  67","  21","  35","  52","1572"," 349","  28","  78","  51"," 104"," 106","1042","  38","  66","  76","  45","  29"," 691","  90","  63","  37","  46","   0"," 321","  95","6564"," 779"," 105","  20","  65"," 863"," 129"," 475"," 807"," 441","  83","  31","  18"," 743"," 292"," 261","  10"," 354","  32","  55","3238","  21"," 385"
